"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-8.008338045E-5,-2.292316112E-1,-2.415744987E-1,-2.416215688E-1,4.114442277E-1
9.886916669E-3,-2.225622770E-1,-4.132165906E-1,2.173287266E-1,5.172172593E-1
1.985391666E-2,-2.760128447E-1,-4.268625301E-1,6.543373454E-1,8.285843781E-1
2.982091665E-2,-3.431730866E-1,-4.116343340E-1,8.489350212E-1,1.003942858E0
3.978791664E-2,-3.633503661E-1,-3.844272396E-1,8.161315566E-1,9.725628560E-1
4.975491663E-2,-3.129836199E-1,-2.369215769E-1,5.368053871E-1,6.650192505E-1
5.972191662E-2,-1.721350121E-1,-9.209540069E-2,8.311407745E-2,2.121791109E-1
6.968891667E-2,4.866345227E-3,2.561869830E-2,-3.775500369E-1,3.784495071E-1
7.965591666E-2,9.629370153E-2,1.819533643E-1,-7.134105957E-1,7.425188090E-1
8.962291665E-2,1.073730057E-1,3.586135367E-1,-9.539334726E-1,1.024754459E0
9.958991664E-2,1.224558985E-1,5.290844312E-1,-1.082357039E0,1.210959348E0
1.095569166E-1,2.089420652E-1,6.067927578E-1,-1.048326829E0,1.229163691E0
1.195239166E-1,3.120711619E-1,6.239563823E-1,-8.758018076E-1,1.119704775E0
1.294909166E-1,4.699936393E-1,4.692264846E-1,-5.180709082E-1,8.422974420E-1
1.394579167E-1,5.488336945E-1,2.080389628E-1,-1.563802743E-1,6.074153640E-1
1.494249167E-1,5.446660915E-1,-1.067906231E-2,-4.147371590E-2,5.463471998E-1
1.593919166E-1,4.701187697E-1,-8.928172052E-2,-1.420423168E-1,4.991581944E-1
1.693589166E-1,4.003003836E-1,-3.301718026E-2,-3.922692329E-1,5.614318145E-1
1.793259166E-1,4.485355273E-1,1.141347259E-1,-8.664357376E-1,9.823043023E-1
1.892929166E-1,5.417696732E-1,2.987462345E-1,-1.445686063E0,1.572504971E0
1.992589167E-1,6.874317089E-1,4.985248357E-1,-1.999667646E0,2.172500877E0
2.092259167E-1,7.504810658E-1,5.806422552E-1,-2.342811497E0,2.527673430E0
2.191929166E-1,8.088783780E-1,6.469982126E-1,-2.611839550E0,2.809732506E0
2.291599166E-1,1.002007233E0,7.057416800E-1,-2.901498919E0,3.149727892E0
2.391269166E-1,1.296316600E0,6.880927366E-1,-3.143319878E0,3.469058690E0
2.490937083E-1,1.671790291E0,5.602997920E-1,-3.216880774E0,3.668397545E0
2.590607083E-1,2.121772420E0,3.851492245E-1,-3.123069216E0,3.795236416E0
2.690277083E-1,2.607189844E0,1.273744301E-1,-2.416033255E0,3.556807532E0
2.789947083E-1,2.933494006E0,-5.096728447E-1,-8.115508479E-1,3.086060316E0
2.889617083E-1,3.003548327E0,-9.799696621E-1,6.325155365E-1,3.222067504E0
2.989287083E-1,2.812496988E0,-9.599642909E-1,1.391275383E0,3.281359160E0
3.088957083E-1,2.210109084E0,-6.322544584E-1,1.576799349E0,2.787583909E0
3.188627083E-1,1.601457350E0,-4.809005968E-2,1.008355263E0,1.893081782E0
3.288297083E-1,1.135796936E0,4.546648711E-1,1.115064025E-1,1.228490335E0
3.387967083E-1,5.468013485E-1,7.945909989E-1,-5.236093909E-1,1.097512353E0
3.487637083E-1,-3.590979785E-2,1.226443689E0,-9.772311187E-1,1.568577156E0
3.587307083E-1,-4.568338957E-1,1.609079926E0,-1.447702768E0,2.212166070E0
3.686977083E-1,-5.034318191E-1,1.828000119E0,-1.851326124E0,2.649988009E0
3.786647083E-1,5.274480879E-3,2.000944093E0,-2.174977112E0,2.955390080E0
3.886317083E-1,4.949385922E-1,2.139790468E0,-2.241229573E0,3.137957530E0
3.985977083E-1,9.119000320E-1,1.984657844E0,-1.178151389E0,2.481626305E0
4.085647083E-1,1.591647476E0,1.067514321E0,1.946384309E0,2.731545422E0
4.185317083E-1,2.190232497E0,-1.015305410E-1,5.716488867E0,6.122554354E0
4.284987083E-1,1.805381919E0,-1.237521678E0,8.322229187E0,8.605252025E0
4.384657083E-1,6.706859411E-1,-2.221764631E0,9.290183113E0,9.575675432E0
4.484327083E-1,-8.828354964E-1,-2.377392807E0,8.671617279E0,9.034840414E0
4.583997083E-1,-2.620482904E0,-2.187851657E0,7.060842099E0,7.842774807E0
4.683667083E-1,-3.752189274E0,-2.068816234E0,5.031096375E0,6.608392822E0
4.783337083E-1,-4.290068503E0,-2.133871332E0,3.241494629E0,5.784927143E0
4.883007083E-1,-4.372427997E0,-2.364544867E0,1.976657683E0,5.349427503E0
4.982677083E-1,-4.387774599E0,-2.471110226E0,1.008561085E0,5.135771329E0
5.082347083E-1,-4.340609204E0,-2.374492881E0,2.564273036E-1,4.954276906E0
5.182017083E-1,-4.219816253E0,-2.167609035E0,-2.394224310E-1,4.750021183E0
5.281687083E-1,-3.937641613E0,-1.801802254E0,-6.669953978E-1,4.381369157E0
5.381357083E-1,-3.500653751E0,-1.286749971E0,-1.155207499E0,3.904459827E0
5.481027083E-1,-3.083312535E0,-6.458558129E-1,-1.664674814E0,3.563016721E0
5.580697083E-1,-2.591363478E0,-5.293537321E-2,-2.227990308E0,3.417880577E0
5.680367083E-1,-1.976184644E0,4.638868073E-1,-2.771382583E0,3.435266822E0
