"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.858333316E-4,-9.135545382E-2,-2.500094910E-2,-2.834607357E-1,2.988659483E-1
1.055283332E-2,-3.110075533E-1,6.610740504E-2,-1.159923863E-1,3.384525387E-1
2.051983331E-2,-6.060485900E-1,2.376676633E-1,2.675814521E-1,7.038328247E-1
3.048683330E-2,-9.897735424E-1,3.125700755E-1,7.422777146E-1,1.276059530E0
4.045383330E-2,-1.217008110E0,2.603895413E-1,9.962439251E-1,1.594181110E0
5.042083329E-2,-1.082185424E0,2.425586947E-1,1.188005117E0,1.625212653E0
6.038783333E-2,-6.755266316E-1,2.277745216E-1,1.296996047E0,1.480005476E0
7.035483333E-2,-3.185927077E-1,3.044256716E-1,1.329939260E0,1.401040591E0
8.032083331E-2,-1.384500799E-1,4.831389475E-1,1.350662962E0,1.441139169E0
9.028783330E-2,-3.983288852E-1,3.978258419E-1,1.318894454E0,1.434020182E0
1.002548333E-1,-8.936523338E-1,4.253837327E-1,1.180221303E0,1.540288330E0
1.102218333E-1,-4.414210738E-1,2.880202848E-1,5.229363763E-1,7.424760620E-1
1.201888333E-1,4.857793674E-3,3.809079101E-2,1.470416862E-1,1.519729055E-1
1.301558333E-1,8.100856818E-2,-1.912938528E-2,-5.583506227E-3,8.342360003E-2
1.401228333E-1,-2.933704506E-1,-1.771794051E-1,5.390606582E-2,3.469360558E-1
1.500898333E-1,-1.716109554E-1,-3.115416965E-1,-1.239656496E-1,3.766643479E-1
1.600568333E-1,2.082588181E-1,-3.042868368E-1,-5.067752570E-1,6.267243217E-1
1.700238333E-1,3.726018307E-1,-3.411857642E-1,-8.347046524E-1,9.756903744E-1
1.799908333E-1,2.003247312E-1,-3.350511579E-1,-2.225233930E-1,4.493394450E-1
1.899568333E-1,-3.796278450E-1,-1.653151122E-1,1.120459836E0,1.194519414E0
1.999238333E-1,-5.258770873E-1,-1.179273762E-1,1.743561355E0,1.824954732E0
2.098908333E-1,-8.363272548E-3,-3.216642500E-1,1.195839216E0,1.238373637E0
2.198578333E-1,5.292556085E-1,-3.656579697E-1,1.755252278E-1,6.668030860E-1
2.298248333E-1,8.154524025E-1,-1.833172274E-1,-4.239757597E-1,9.371890266E-1
2.397918333E-1,1.435611164E0,2.543991968E-1,-3.284088671E-1,1.494506859E0
2.497588333E-1,1.626732671E0,7.820025283E-1,1.782336581E-1,1.813712869E0
2.597258333E-1,1.035056573E0,1.297636902E0,7.581453037E-1,1.824825455E0
2.696928333E-1,8.076519245E-1,1.451736177E0,1.465939064E0,2.215585001E0
2.796598333E-1,6.073222232E-1,1.379673922E0,1.862727025E0,2.396266343E0
2.896268333E-1,7.968813533E-1,1.158198935E0,1.193358827E0,1.844058013E0
2.995938333E-1,3.373956283E0,7.479848894E-1,-5.081308170E0,6.145140772E0
3.095598333E-1,2.824904779E0,1.652254013E0,-5.876834139E0,6.726604629E0
3.195268333E-1,-7.295082727E-1,2.321442701E0,2.386915875E0,3.408613491E0
3.294938333E-1,-8.079475012E-1,2.238581077E0,4.238222119E0,4.860715084E0
3.394608333E-1,-3.818579730E-1,1.204090514E0,2.402840767E0,2.714644218E0
3.494278333E-1,-6.398511609E-1,5.464584093E-1,-6.270010275E-1,1.049360086E0
3.593948333E-1,-1.089549553E0,8.834433876E-1,-2.782455456E0,3.116030939E0
3.693618333E-1,-1.717012511E0,1.684773303E0,-2.876540664E0,3.749810560E0
3.793288333E-1,-1.650162756E0,1.782195663E0,-2.709637740E0,3.638872790E0
3.892958333E-1,-9.335755143E-1,1.376794168E0,-3.267251614E0,3.666341300E0
3.992628333E-1,5.601827015E-1,1.095964972E0,-4.021583948E0,4.205720073E0
4.092298333E-1,2.370433890E0,4.612874275E-1,-2.526045694E0,3.494660179E0
4.191968333E-1,1.987652788E0,-8.102134435E-1,2.729414778E0,3.472306792E0
4.291628333E-1,2.828086980E-1,-1.969512386E0,5.002605817E0,5.383774211E0
4.391298333E-1,-9.843765624E-2,-2.155563625E0,6.651201373E0,6.992469107E0
4.490968333E-1,-1.760660952E-1,-1.781472070E0,6.005207419E0,6.266351263E0
4.590638333E-1,-4.428056945E-1,-1.253635873E0,4.341051253E0,4.540088740E0
4.690308333E-1,-6.191495325E-1,-1.073543385E0,1.951548570E0,2.311792241E0
4.789978333E-1,-4.308418527E-2,-5.540482414E-1,-6.204755348E-1,8.329559353E-1
4.889648333E-1,1.764876795E-1,2.380467273E-1,-2.568240956E0,2.585280595E0
4.989318333E-1,3.621760259E-1,2.909565738E-1,-4.021203294E0,4.047950486E0
5.088988333E-1,4.878088629E-1,-1.224927360E-1,-5.048336306E0,5.073328435E0
5.188658333E-1,2.932098349E-1,-9.930552922E-2,-4.932252703E0,4.941958146E0
5.288328333E-1,3.169925897E-2,-7.692386413E-1,-4.692289989E0,4.755030838E0
5.387998333E-1,-7.654478183E-1,-2.267994911E0,-4.722265155E0,5.294289327E0
5.487658333E-1,-2.252432692E0,-4.167149505E0,-2.953961307E0,5.582515153E0
5.587328333E-1,-4.035037807E0,-5.747922329E0,-1.861852282E0,7.265441151E0
5.686998333E-1,-5.501287358E0,-7.116022273E0,-1.491680261E0,9.117403445E0
5.786668333E-1,-6.521206659E0,-7.508641169E0,-1.343125901E0,1.003542803E1
5.886336666E-1,-6.132860908E0,-7.665309711E0,-1.387791027E0,9.914379447E0
5.986006666E-1,-4.701215471E0,-7.665230774E0,-2.037234837E0,9.219952034E0
6.085676667E-1,-2.880185233E0,-7.437020379E0,-2.839227827E0,8.465574626E0
6.185346667E-1,-1.588156689E0,-7.375148651E0,-3.097878826E0,8.155483586E0
6.285016667E-1,-6.227547795E-1,-7.310219414E0,-2.652923841E0,7.801611135E0
6.384686666E-1,4.834372652E-1,-6.615170245E0,-1.542639331E0,6.809840311E0
6.484356666E-1,1.203534737E0,-6.261992573E0,-6.313139337E-1,6.407776847E0
6.584016666E-1,4.406297994E-1,-6.189912191E0,-2.265948093E-1,6.209711166E0
6.683686667E-1,-3.519941962E-1,-5.367159247E0,7.682457840E-1,5.433277085E0
6.783356667E-1,2.347078210E-1,-4.718370910E0,1.865296876E0,5.079118451E0
6.883026666E-1,1.495241801E0,-4.015374497E0,2.174455540E0,4.804918032E0
6.982696666E-1,2.922597427E0,-2.818343326E0,2.138651869E0,4.588950495E0
7.082366666E-1,4.386112821E0,-1.227103547E0,1.540349561E0,4.807956485E0
7.182036666E-1,5.146588824E0,4.423877648E-1,5.280094206E-1,5.192482779E0
7.281706667E-1,4.654826294E0,1.678874193E0,-5.999044454E-1,4.984567356E0
7.381376667E-1,4.519771107E0,2.782236185E0,-1.062544919E0,5.412778469E0
7.481046667E-1,4.761440915E0,3.696560034E0,-4.952667671E-1,6.048236507E0
7.580716666E-1,4.913039922E0,4.207168141E0,8.605920303E-1,6.525246637E0
7.680376666E-1,4.512588387E0,4.234687477E0,1.968756925E0,6.493999986E0
7.780046667E-1,3.944717621E0,3.686433241E0,2.303074989E0,5.869816143E0
7.879716667E-1,3.177718755E0,3.495690635E0,2.102533033E0,5.170918164E0
7.979386667E-1,2.720808261E0,3.989099449E0,1.027529452E0,4.936752858E0
8.079056666E-1,2.217729906E0,4.445880720E0,-1.631969583E-1,4.970997341E0
8.178726666E-1,1.783018366E0,4.784068471E0,-7.578792554E-1,5.161477171E0
8.278396666E-1,1.887854265E0,5.429975885E0,-7.275246048E-1,5.794646140E0
8.378066666E-1,2.160227803E0,5.623057378E0,-6.218706805E-1,6.055747813E0
8.477736667E-1,2.549056826E0,5.250585648E0,-2.720475554E-2,5.836701161E0
8.577406667E-1,3.252626558E0,4.667595443E0,7.743543702E-1,5.741572209E0
8.677076666E-1,2.916883821E0,3.917224597E0,7.547708756E-1,4.941916515E0
8.776736666E-1,2.291731098E0,3.569667853E0,7.018693614E-1,4.299672151E0
8.876406666E-1,1.301402216E0,3.151879617E0,2.380442423E-1,3.418282889E0
8.976076667E-1,-3.163054231E-1,1.895896964E0,-6.989451689E-1,2.045238071E0
9.075746667E-1,-2.527727938E0,-3.684330583E-3,-1.909777815E0,3.168070928E0
9.175416667E-1,-3.625203830E0,-1.243359830E0,-2.119294077E0,4.379435336E0
9.275086666E-1,-3.857426000E0,-2.511765039E0,-2.221369506E0,5.111084174E0
9.374756666E-1,-2.951992842E0,-3.040834560E0,-1.825043474E0,4.614295206E0
9.474426666E-1,-1.053223580E0,-2.665450332E0,-1.351095071E0,3.168495427E0
9.574096666E-1,1.040205631E0,-1.786287691E0,-8.526170129E-1,2.236024874E0
9.673766667E-1,1.184269038E0,-1.248186999E0,-2.188799345E0,2.784116828E0
9.773436667E-1,3.584851903E-1,-1.061918974E0,-3.366625628E0,3.548288554E0
9.873096666E-1,-1.554300433E0,-1.283787479E0,-4.088090179E0,4.558118190E0
9.972766666E-1,-3.053935246E0,-1.210855451E0,-3.478879305E0,4.784902573E0
1.007243667E0,-3.792235685E0,-1.467652591E0,-2.489342721E0,4.767796430E0
1.017210667E0,-3.500129256E0,-1.562424262E0,-1.323355880E0,4.055039478E0
1.027177667E0,-1.387895107E0,-8.219843271E-1,8.680864066E-1,1.831798316E0
1.037144667E0,1.584668532E0,2.369242081E-1,2.791660143E0,3.218800054E0
1.047111667E0,4.324357452E0,1.260621103E0,3.353568211E0,5.615661376E0
1.057078667E0,5.615423253E0,2.117489919E0,2.980235771E0,6.700637814E0
1.067045667E0,5.108213548E0,2.449999000E0,9.812645280E-1,5.749714847E0
1.077012667E0,3.742623230E0,2.346776640E0,-1.104661828E0,4.553555423E0
1.086979667E0,1.775847926E0,2.073866474E0,-2.881305560E0,3.969443253E0
1.096945667E0,2.534884930E-1,1.825107209E0,-3.976732880E0,4.382884569E0
