"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.911750005E-3,-3.978417025E-1,1.346786258E-1,-5.018302667E-1,6.544081059E-1
1.187775005E-2,-2.481293919E-1,2.931913065E-1,-4.812480676E-1,6.157345531E-1
2.184475004E-2,-1.141910054E-1,3.404877529E-1,-2.588363564E-1,4.426824539E-1
3.181175003E-2,4.182688773E-2,3.771993501E-1,-5.271089494E-2,3.831543772E-1
4.177875002E-2,2.470995693E-1,2.962920850E-1,1.483771902E-1,4.133557637E-1
5.174475000E-2,4.369438608E-1,4.980914108E-2,2.418361616E-1,5.018820749E-1
6.171175005E-2,4.472147509E-1,-1.449987421E-1,3.390431982E-1,5.796343321E-1
7.167875004E-2,3.714731719E-1,-1.683868373E-1,4.111498922E-1,5.791292414E-1
8.164575003E-2,3.366055306E-1,-1.328611650E-1,2.400855052E-1,4.342768958E-1
9.161175002E-2,1.890233058E-1,-8.577130806E-2,1.666222572E-2,2.082406233E-1
1.015787500E-1,3.387803659E-3,-1.223280272E-1,-2.121480936E-1,2.449131215E-1
1.115457500E-1,-1.867276524E-1,-1.446894244E-1,-3.832387930E-1,4.501935342E-1
1.215127500E-1,-2.407094397E-1,-9.019827157E-2,-4.408151561E-1,5.102889029E-1
1.314787500E-1,-1.228610009E-1,-1.150557355E-1,-3.329609245E-1,3.730892991E-1
1.414457500E-1,4.500857703E-2,-1.983356180E-1,-8.248257816E-2,2.194679136E-1
1.514127500E-1,2.440461899E-1,-1.797089471E-1,2.643760085E-1,4.021797140E-1
1.613797500E-1,4.740136731E-1,-5.570240356E-2,6.563236445E-1,8.115124438E-1
1.713457500E-1,5.232688636E-1,1.269138157E-3,7.781603229E-1,9.377341854E-1
1.813127500E-1,3.294594656E-1,-1.766809300E-2,6.357051927E-1,7.162239824E-1
1.912797500E-1,1.410857854E-1,-5.767949335E-2,5.770161045E-1,5.968079319E-1
2.012467500E-1,2.925405845E-2,-1.844844778E-1,5.410691768E-1,5.724038579E-1
2.112127500E-1,-8.882110611E-2,-3.348878379E-1,3.082611161E-1,4.637498987E-1
