"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.000833348E-3,-2.703319824E-1,-1.119943526E-1,-1.873709850E0,1.896420502E0
1.096783334E-2,2.313933268E-1,6.236055493E-2,-3.299794292E0,3.308485164E0
2.093483333E-2,4.945504832E-1,1.240399092E-2,-4.034958869E0,4.065172458E0
3.090183332E-2,-8.013705531E-1,-4.525569499E-2,-3.103649443E0,3.205757743E0
4.086883331E-2,-1.061774840E0,3.982333928E-2,-2.319807381E0,2.551559914E0
5.083583336E-2,-6.307938239E-1,-9.416736156E-2,-1.946676085E0,2.048491181E0
6.080283335E-2,-2.212223876E-1,-1.000154543E-1,-1.545682222E0,1.564632853E0
7.076983334E-2,2.565404472E-1,-2.290412843E-2,-9.121679807E-1,9.478333319E-1
8.073683333E-2,1.234728170E0,-2.402971745E-1,-1.038369021E0,1.631105947E0
9.070383332E-2,1.608069381E0,-8.375534159E-1,-1.360147145E0,2.266579607E0
1.006708333E-1,1.548951985E0,-1.629044806E0,-1.813176550E0,2.888018080E0
1.106378334E-1,1.146929596E0,-1.498589332E0,-1.343994797E0,2.316795092E0
1.206048334E-1,5.600667804E-1,-1.122190027E0,-1.001039227E0,1.604700841E0
1.305718333E-1,1.774621180E-1,-9.517480758E-1,-9.655723554E-1,1.367350422E0
1.405388333E-1,1.092961550E-2,-1.101188582E0,-7.786076349E-1,1.348690327E0
1.505058333E-1,2.255902576E-1,-1.244094533E0,-2.200307250E-2,1.264573567E0
1.604728333E-1,7.089789909E-1,-1.296664656E0,1.437803432E0,2.061860603E0
1.704398334E-1,1.497320486E0,-1.494260784E0,2.167463440E0,3.028643540E0
1.804068334E-1,2.126490245E0,-1.762219089E0,2.154941043E0,3.503019809E0
1.903738333E-1,2.269241537E0,-2.048707805E0,2.090797087E0,3.703794444E0
2.003408333E-1,1.741332104E0,-2.004437951E0,2.385074587E0,3.569116106E0
2.103078333E-1,2.926282927E-1,-1.487235501E0,2.976422217E0,3.340148195E0
2.202758333E-1,-1.324311900E0,-1.050447614E0,3.188904186E0,3.609203805E0
2.302428333E-1,-1.870768993E0,-1.129915514E0,2.565261215E0,3.370022373E0
2.402098333E-1,-1.240436515E0,-1.612144306E0,8.797755754E-1,2.216234887E0
2.501768334E-1,-8.090494090E-1,-1.998841727E0,-2.076913458E-1,2.166348285E0
2.601438334E-1,-1.458007901E0,-2.020578167E0,1.017600296E0,2.691474229E0
2.701108333E-1,-1.684064181E0,-1.653957745E0,-1.105917225E0,2.606664785E0
2.800778333E-1,-1.909105970E0,-5.855460227E-1,-2.221727940E0,2.987243678E0
2.900448333E-1,-2.814175139E0,1.327140198E0,-1.274476665E0,3.362316699E0
3.000118333E-1,-2.374311325E0,3.462525812E0,-4.199739254E-1,4.219338499E0
3.099788334E-1,-2.645414847E-1,5.844411913E0,7.870504296E-1,5.903099286E0
3.199458334E-1,2.964978923E0,6.935421662E0,2.180005717E0,7.851343743E0
3.299128333E-1,3.692832142E0,7.570091897E0,3.790728858E0,9.236499653E0
3.398798333E-1,1.924198803E0,7.225006186E0,8.098073251E0,1.102188939E1
3.498468333E-1,1.193141018E0,4.960073755E0,1.002949161E1,1.125240504E1
3.598138333E-1,-7.234248295E-1,2.019250849E0,9.243418252E0,9.489019889E0
3.697808334E-1,-7.258171009E0,1.052237447E0,9.514487568E0,1.201306471E1
3.797478334E-1,-1.233952537E1,1.409412276E0,1.043873940E1,1.622398255E1
3.897148333E-1,-1.268151615E1,1.812189102E0,1.174118564E1,1.737700554E1
3.996818333E-1,-7.993554271E0,3.010912603E0,1.259158481E1,1.521546951E1
4.096488333E-1,-2.205700576E0,4.387555329E0,1.200282866E1,1.296856402E1
4.196158333E-1,2.244786435E0,5.142075359E0,1.008431160E1,1.154007563E1
4.295828333E-1,5.058194126E0,4.876061545E0,7.606629978E0,1.035481162E1
4.395498334E-1,5.494647260E0,3.483161514E0,5.738003697E0,8.674574864E0
4.495168334E-1,4.607371168E0,1.368575322E0,2.195318406E0,5.283965405E0
4.594838333E-1,2.927263505E0,7.570188376E-1,-6.121146011E-1,3.084904121E0
4.694508333E-1,1.048353288E0,1.212405547E-1,-2.151238586E0,2.396157620E0
4.794178333E-1,-7.540012358E-1,-1.257146395E0,-3.309387819E0,3.619527961E0
4.893848333E-1,-2.233567967E0,-2.322159716E0,-4.361097847E0,5.422215971E0
4.993518334E-1,-2.636819732E0,-3.262671197E0,-5.671976938E0,7.054726361E0
5.093188334E-1,-2.539235843E0,-4.150035582E0,-7.168327956E0,8.663454258E0
5.192868334E-1,-2.687294360E0,-4.944068756E0,-8.049138488E0,9.821099594E0
5.292540833E-1,-2.828282131E0,-5.721473619E0,-8.630383299E0,1.073396274E1
5.392210833E-1,-2.824563010E0,-6.415477890E0,-8.886274413E0,1.131823245E1
5.491880833E-1,-2.901244858E0,-6.976932800E0,-7.956581742E0,1.097278479E1
5.591550833E-1,-2.574363576E0,-7.167571911E0,-6.529381067E0,1.003166248E1
5.691220834E-1,-1.546434174E0,-7.007393870E0,-5.862503783E0,9.266281784E0
5.790890834E-1,-9.369454839E-1,-6.693441659E0,-5.568685874E0,8.757299266E0
5.890560834E-1,-5.107598421E-1,-5.943477194E0,-5.516463806E0,8.125095058E0
5.990230833E-1,1.210570984E-1,-4.938689902E0,-5.475385362E0,7.374629322E0
6.089900833E-1,7.100522473E-1,-4.098881215E0,-5.430537218E0,6.840740887E0
6.189570833E-1,1.224966536E0,-3.611338620E0,-5.384497996E0,6.598115512E0
6.289240833E-1,1.706227614E0,-3.361122229E0,-5.365640141E0,6.557320293E0
6.388910834E-1,1.660623863E0,-3.518323452E0,-5.512528630E0,6.747165585E0
6.488580834E-1,1.005834236E0,-3.898125252E0,-5.982957010E0,7.211300685E0
6.588250833E-1,2.332967417E-1,-4.242302890E0,-6.356625665E0,7.645799568E0
6.687920833E-1,-2.323000107E-1,-4.542601853E0,-6.419789627E0,7.867839204E0
6.787590833E-1,-3.045802208E-1,-4.857261577E0,-6.334582831E0,7.988285097E0
6.887260833E-1,-9.605908200E-2,-5.036746539E0,-6.263346203E0,8.037882103E0
6.986930834E-1,1.183352560E-1,-4.934325541E0,-6.085773280E0,7.835700874E0
7.086600834E-1,4.290511795E-1,-4.625466254E0,-6.080975055E0,7.652272905E0
7.186270833E-1,7.532953307E-1,-4.094386461E0,-6.311476974E0,7.560833019E0
7.285940833E-1,6.307007070E-1,-3.570883489E0,-6.571030784E0,7.505160747E0
7.385610833E-1,2.433159457E-1,-3.063960590E0,-6.692340043E0,7.364405774E0
7.485280833E-1,4.759504720E-2,-1.941231450E0,-6.394982230E0,6.683295785E0
7.584950833E-1,2.183329768E-2,-3.999024805E-1,-5.771922811E0,5.785800862E0
7.684620834E-1,-1.921704098E-2,9.815492874E-1,-4.752614543E0,4.852953049E0
7.784290834E-1,-7.185817361E-2,2.161236447E0,-3.338437956E0,3.977596581E0
7.883960833E-1,2.884773909E-1,3.112862024E0,-1.017916630E0,3.287747474E0
7.983630833E-1,1.106536519E0,3.389687924E0,2.038763300E0,4.107427794E0
8.083300833E-1,1.359875250E0,2.816560803E0,5.295977583E0,6.150581599E0
8.182970833E-1,1.010348871E0,2.272770039E0,8.194697320E0,8.563839832E0
8.282650833E-1,7.107664116E-1,2.172685880E0,1.030584389E1,1.055633322E1
8.382320834E-1,5.527505250E-1,2.221504576E0,1.125735193E1,1.148775819E1
8.481990834E-1,4.734904935E-1,2.331050407E0,1.110671129E1,1.135856615E1
8.581660833E-1,4.568863745E-1,2.841304173E0,9.723318536E0,1.014025039E1
8.681330833E-1,2.148925573E-1,3.705666195E0,7.950072037E0,8.773926496E0
8.781000833E-1,3.520265934E-2,4.430421267E0,6.912711076E0,8.210690973E0
8.880670833E-1,1.539380202E-1,4.606437660E0,7.196257181E0,8.545705486E0
8.980340834E-1,4.446865245E-1,4.117179200E0,8.413156314E0,9.377105621E0
9.080010834E-1,5.375411130E-1,3.251376716E0,9.562004966E0,1.011396757E1
9.179680833E-1,2.432822329E-1,2.391951205E0,9.943880188E0,1.023041397E1
9.279350833E-1,5.284271311E-2,2.055341618E0,9.445883356E0,9.667054045E0
