"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.137958294E-3,1.663694017E-1,1.592287454E-1,-1.878517431E0,1.892580331E0
6.829041697E-3,-2.397097120E-2,-1.289644343E-1,-2.004679880E0,2.008966862E0
1.679604169E-2,-2.210298132E-1,-4.474730882E-1,-1.491579689E0,1.572862458E0
2.676304168E-2,-6.529002459E-1,-8.086099908E-1,-7.107892889E-1,1.259106930E0
3.673004167E-2,-1.049017312E0,-1.143757482E0,-9.538212061E-2,1.554900719E0
4.669704172E-2,-1.223483755E0,-1.433613317E0,1.234113336E-1,1.888753557E0
5.666404171E-2,-1.243124041E0,-1.796468424E0,6.561084670E-1,2.281038031E0
6.663104170E-2,-8.097692744E-1,-2.056038314E0,1.070750901E0,2.455509584E0
7.659804169E-2,-5.158445808E-1,-1.918154536E0,1.119953467E0,2.280286873E0
8.656504168E-2,-4.228701974E-1,-1.548553205E0,1.134716517E0,1.965812251E0
9.653204167E-2,-8.481386304E-4,-1.355903236E0,8.570445246E-1,1.604057238E0
1.064990417E-1,2.351213653E-1,-1.190472934E0,2.228408968E-1,1.233760888E0
1.164660417E-1,1.576641767E-1,-9.189156675E-1,-4.618715644E-2,9.334866095E-1
1.264330417E-1,3.191974559E-1,-7.165572748E-1,-1.319424212E-1,7.954559362E-1
1.363990417E-1,4.487185451E-1,-7.031481475E-1,8.670134425E-2,8.386195640E-1
1.463660417E-1,2.957840350E-1,-9.112274560E-1,4.298674142E-1,1.050052221E0
1.563330417E-1,8.249631912E-2,-1.149752632E0,1.794639122E-1,1.166595068E0
1.663000417E-1,-1.791309133E-1,-1.042746246E0,-5.804238617E-2,1.059611503E0
1.762670417E-1,-6.131273389E-2,-8.622321743E-1,-1.049885112E-1,8.707618280E-1
1.862340417E-1,9.230853170E-2,-7.265718010E-1,-1.940106153E-3,7.324146442E-1
1.962010417E-1,2.510882109E-1,-5.584108490E-1,3.445623851E-1,7.025604623E-1
