"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.342383336E-2,-8.615740702E-1,1.767578208E-1,-1.677046938E0,1.893684144E0
2.339183335E-2,-9.435923794E-1,2.645163417E-2,-1.076501638E0,1.431754882E0
3.335883335E-2,-9.809891242E-1,-1.721800357E-1,-3.808741790E-1,1.066325826E0
4.332683334E-2,-9.659945244E-1,-3.285158712E-1,1.051750374E-1,1.025733829E0
5.329383333E-2,-8.168569037E-1,-3.586383873E-1,2.142525065E-1,9.174861473E-1
6.326183333E-2,-6.534741502E-1,-2.545544404E-1,2.075416571E-1,7.313685579E-1
7.322883332E-2,-4.843232645E-1,1.865144849E-2,2.521962583E-2,4.853379550E-1
8.319683332E-2,-2.558091067E-1,2.326168567E-1,-5.719489074E-1,6.683370809E-1
9.316383337E-2,-2.624701086E-1,-5.432063341E-2,-1.260828094E0,1.289003015E0
1.031318334E-1,-8.502651165E-1,2.925914553E-1,-1.422008933E0,1.682459489E0
1.130988334E-1,-8.423867244E-1,5.873814636E-1,-1.895018858E0,2.155395289E0
1.230668334E-1,-8.083195303E-1,3.457090241E-1,-2.368770211E0,2.526651441E0
1.330338334E-1,-1.032479120E0,1.793732804E-1,-2.770995498E0,2.962533368E0
1.430018333E-1,-1.118968649E0,-1.164367747E-1,-2.555273001E0,2.791964984E0
1.529688333E-1,-1.048974116E0,-3.049086151E-1,-1.912264636E0,2.202287901E0
1.629368333E-1,-1.110205281E0,-5.258447814E-1,-1.111422379E0,1.656601402E0
1.729038333E-1,-9.772276103E-1,-6.633025888E-1,-1.274365568E-1,1.187932743E0
1.828718333E-1,-8.488427813E-1,-7.788157958E-1,1.103476013E0,1.595226449E0
1.928398333E-1,-5.760880052E-1,-7.147819139E-1,2.125180469E0,2.314990842E0
2.028068334E-1,-8.517280899E-1,8.802953929E-2,2.398636034E0,2.546889233E0
2.127748334E-1,-8.511173482E-1,5.394259630E-1,2.741505650E0,2.920827681E0
2.227418334E-1,-3.229317802E-1,8.170779285E-1,2.710556923E0,2.849389427E0
2.327098334E-1,2.576794848E-3,5.255278623E-1,2.618338146E0,2.670558147E0
2.426768334E-1,6.856315704E-1,-5.773643062E-2,2.770697290E0,2.854853344E0
2.526448334E-1,1.737603334E0,-5.208365681E-1,2.288087990E0,2.919911425E0
2.626118333E-1,2.725447734E0,-1.363190767E0,1.484633197E0,3.389762551E0
2.725798333E-1,3.027660198E0,-2.342351175E0,1.058869359E0,3.971717465E0
2.825468333E-1,3.128027363E0,-2.782789332E0,1.101728865E0,4.329235283E0
2.925148333E-1,2.467862974E0,-2.467254279E0,1.877323430E0,3.962579286E0
3.024818333E-1,1.839001801E0,-1.985331881E0,2.814095324E0,3.904177609E0
3.124498333E-1,1.482893212E0,-1.464015184E0,3.391921268E0,3.980884654E0
3.224168334E-1,1.581732206E0,-1.304797987E0,3.420134084E0,3.987692529E0
3.323848334E-1,2.493393380E0,-1.448765499E0,1.380681397E0,3.197219595E0
3.423518334E-1,1.785992845E0,1.904220329E-1,-1.106828222E0,2.109762950E0
3.523198334E-1,-3.927175681E-1,1.885853055E0,-1.095574086E0,2.216066653E0
3.622868333E-1,-1.251356044E0,1.365717788E0,-4.473400640E-1,1.905568198E0
3.722548333E-1,-1.056334445E0,2.866989237E-1,7.843981326E-2,1.097356613E0
3.822218333E-1,-8.612612441E-1,-6.385796839E-1,1.699504924E-1,1.085558894E0
3.921898333E-1,-7.199264404E-1,-1.240843188E0,-2.638982910E-1,1.458639162E0
4.021568333E-1,-1.149087511E0,-1.359332336E0,-8.661556560E-1,1.979497948E0
4.121248333E-1,-2.252900762E0,-1.537936123E0,-4.451620932E0,5.220894395E0
4.220918334E-1,-3.930528182E0,-1.749019438E0,-4.724438565E0,6.389713651E0
4.320598334E-1,-4.358838483E0,-1.992427332E0,-1.335896988E0,4.975325151E0
4.420268334E-1,-3.933628084E0,-2.112278003E0,-2.015362158E0,4.898656233E0
4.519948334E-1,-3.089585428E0,-1.251822213E0,-2.249158983E0,4.021357121E0
4.619618334E-1,-1.946508270E0,3.446003920E-1,-9.724369866E-1,2.203015562E0
4.719298334E-1,-8.044430456E-1,1.128903800E0,-4.481557506E-1,1.456844528E0
4.818978333E-1,1.351831308E-1,7.616393074E-1,-5.314838362E-1,9.385328879E-1
4.918648333E-1,9.027016309E-1,4.622697598E-1,-7.115149283E-1,1.238877338E0
5.018328333E-1,1.353951290E0,7.146674547E-1,-5.718582755E-1,1.634305832E0
5.117998333E-1,1.505044365E0,6.043877980E-1,9.290430450E-1,1.869107844E0
5.217678333E-1,1.494680468E0,-2.322654390E-1,2.133565376E0,2.615361954E0
5.317348333E-1,9.435688443E-1,-7.113064751E-1,5.915815187E-1,1.321456681E0
5.417028333E-1,1.124901234E-1,3.807677597E-2,-7.577067626E-1,7.669572392E-1
5.516698334E-1,-6.951981269E-1,5.614397067E-1,-1.487355076E0,1.735148438E0
5.616378334E-1,-1.381913259E0,7.334627447E-1,-1.995452973E0,2.535642803E0
5.716048334E-1,-2.006770259E0,7.652335909E-1,-2.455250530E0,3.262049124E0
5.815732917E-1,-2.315829228E0,7.631160218E-1,-2.470449198E0,3.471099295E0
5.915402917E-1,-1.802192556E0,7.527673271E-1,-1.481303793E0,2.451288963E0
6.015082917E-1,-1.150020142E0,4.953190997E-1,-1.580695934E0,2.016553241E0
6.114752917E-1,-6.106998673E-1,2.921415120E-2,-1.838052945E0,1.937071610E0
6.214432917E-1,1.039517999E-1,-2.250603537E-1,-1.754889166E0,1.772313213E0
6.314102917E-1,8.702829131E-1,-1.480705038E-1,-1.404983010E0,1.659305422E0
6.413782917E-1,1.572893117E0,1.654528141E-2,-1.134328262E0,1.939321301E0
6.513452917E-1,2.106759109E0,-3.680336203E-1,-2.143551251E0,3.027985247E0
6.613132917E-1,2.261755932E0,-3.499566608E-1,-1.533232915E0,2.754779979E0
6.712802917E-1,1.882279822E0,-6.464370078E-2,-1.219926236E0,2.243964384E0
6.812482917E-1,1.472985544E0,3.828984851E-1,-6.407355523E-1,1.651314540E0
6.912152917E-1,1.423549382E0,7.367157700E-1,2.336114681E-1,1.619820140E0
7.011832917E-1,1.374105619E0,9.448008527E-1,5.509041935E-1,1.756220468E0
7.111502917E-1,8.868407661E-1,9.679255673E-1,9.285776067E-1,1.607987195E0
7.211182917E-1,1.098884779E-1,5.901071432E-1,1.220964702E0,1.360535454E0
7.310862917E-1,-5.403812519E-1,8.178749040E-2,1.077536595E0,1.208216125E0
7.410532917E-1,-7.609712631E-1,-3.251465593E-1,8.892802244E-1,1.214749713E0
7.510212917E-1,-5.774885595E-1,-5.343293837E-1,1.059604939E0,1.319758899E0
7.609882917E-1,-4.123748839E-1,-8.137724975E-1,6.975202024E-1,1.148395905E0
7.709562917E-1,-3.387631166E-1,-1.089267864E0,-9.192232311E-2,1.144427648E0
7.809232917E-1,-5.627974302E-1,-8.464584330E-1,-1.070300665E0,1.476067865E0
7.908912917E-1,-9.115049064E-1,-5.678786606E-1,-1.944479871E0,2.221335034E0
8.008582917E-1,-8.004294437E-1,-5.145348045E-1,-1.552338107E0,1.820765487E0
8.108262917E-1,-9.483856344E-1,-3.933003893E-1,-6.504939705E-1,1.215427050E0
8.207932917E-1,-1.419404583E0,-5.323214498E-1,2.049706364E-1,1.529734767E0
8.307612917E-1,-1.658136458E0,-9.011676139E-1,7.700888264E-1,2.038272892E0
8.407282917E-1,-1.731499134E0,-9.824094129E-1,5.091246682E-1,2.054854115E0
8.506962917E-1,-1.580336330E0,-9.056392720E-1,-6.335844076E-1,1.928490241E0
8.606632917E-1,-1.427877198E0,-9.281241551E-1,-1.461037928E0,2.243853731E0
8.706312917E-1,-9.546602815E-1,-6.156229305E-1,-1.550659372E0,1.922215475E0
8.805982917E-1,-1.920985758E-1,4.172543854E-2,-1.383433097E0,1.397329599E0
8.905662917E-1,-2.887296617E-2,1.939606217E-1,-9.428027129E-1,9.629804393E-1
9.005332917E-1,3.185680032E-2,-2.105208135E-1,-4.608395308E-1,5.076484431E-1
9.105012917E-1,-2.460157514E-1,-4.532118380E-1,-3.798146635E-1,6.404560084E-1
9.204682917E-1,-8.031495684E-1,-2.860352647E-1,-4.793974239E-1,9.781039270E-1
9.304362917E-1,-9.265112007E-1,-8.160432637E-2,-6.903614563E-1,1.158309635E0
9.404042917E-1,-5.598059946E-1,4.490778565E-2,-1.086806771E0,1.223334957E0
9.503712917E-1,-2.204423690E-1,2.638023967E-1,-1.225385197E0,1.272696124E0
9.603392917E-1,3.368838215E-1,3.411043417E-1,-1.194252867E0,1.286888803E0
9.703062917E-1,1.198482158E0,3.978030378E-1,-1.344674243E0,1.844655946E0
9.802742917E-1,1.983453902E0,5.979877281E-1,-1.607148737E0,2.621946942E0
9.902412917E-1,2.762911722E0,8.954092759E-1,-1.651336146E0,3.341010330E0
1.000209292E0,3.792122834E0,1.240969196E0,-1.464039304E0,4.250130729E0
1.010176292E0,4.314398475E0,1.516489998E0,-1.290571126E0,4.751773347E0
1.020144292E0,3.771549990E0,1.427676639E0,-1.404500030E0,4.270300955E0
1.030111292E0,3.190650750E0,1.204054554E0,-1.237946478E0,3.628017511E0
1.040079292E0,2.639833680E0,8.905549175E-1,-7.565724027E-1,2.886903483E0
1.050046292E0,2.107740564E0,5.301734751E-1,2.955855221E-2,2.173597917E0
1.060014292E0,1.600413330E0,2.372080904E-1,9.849433038E-1,1.894123495E0
1.069981292E0,9.622756952E-1,-9.748887241E-2,1.582838061E0,1.854954156E0
1.079949292E0,1.931364566E-1,-6.324974102E-1,1.831474535E0,1.947216895E0
1.089916292E0,-4.061452603E-1,-8.911986959E-1,1.806216609E0,2.054655087E0
1.099884292E0,-7.166066837E-1,-1.009621185E0,1.330293601E0,1.817289504E0
1.109852292E0,-8.323605037E-1,-9.305329156E-1,7.224442515E-1,1.442442793E0
1.119819292E0,-8.159105319E-1,-4.850271231E-1,6.675482520E-1,1.160423188E0
1.129787292E0,-6.312092686E-1,-1.479158449E-1,1.017560242E0,1.206537643E0
1.139754292E0,-6.612329668E-1,-4.383832991E-2,1.339073780E0,1.494078119E0
1.149722292E0,-1.058717331E0,-1.376808786E-1,1.437371030E0,1.790495432E0
1.159689292E0,-1.624190447E0,-2.946487981E-1,1.100156549E0,1.983723004E0
1.169657292E0,-2.081431017E0,-4.620750475E-1,2.262512854E-1,2.144075109E0
1.179624292E0,-2.235800434E0,-4.189278585E-1,-7.582122543E-1,2.397746849E0
1.189592292E0,-2.215397744E0,-2.000227225E-1,-1.279697352E0,2.566246591E0
1.199559292E0,-2.017566558E0,-9.176620245E-2,-1.652171275E0,2.609342019E0
1.209527292E0,-1.536705576E0,-4.267297983E-3,-1.790457925E0,2.359496094E0
1.219494292E0,-1.051539874E0,1.465195298E-2,-1.691394397E0,1.991674118E0
1.229462292E0,-7.657431757E-1,-1.848597229E-2,-1.733294960E0,1.894997562E0
1.239429292E0,-5.240789223E-1,-4.287763238E-2,-1.771031135E0,1.847443772E0
1.249397292E0,-5.783305585E-1,-1.594904083E-1,-1.506112652E0,1.621196701E0
1.259364292E0,-6.546226895E-1,-3.101942056E-1,-1.210818028E0,1.410968323E0
1.269332292E0,-4.816924560E-1,-4.668767810E-1,-7.395891649E-1,9.984957103E-1
1.279299292E0,6.737395763E-2,-8.418037570E-1,1.807538080E-1,8.636230396E-1
1.289267292E0,9.016786605E-1,-1.384500214E0,1.508528282E0,2.237302579E0
1.299235292E0,1.473130555E0,-1.869369462E0,3.095097306E0,3.904392802E0
1.309202292E0,8.773589212E-1,-1.661765240E0,3.337579585E0,3.830229742E0
1.319170292E0,9.188098329E-1,-1.803299434E0,3.385278831E0,3.944136549E0
1.329137292E0,1.258346536E0,-1.666588608E0,3.782311791E0,4.320513404E0
1.339105292E0,2.000171092E0,-1.982796090E0,3.638645702E0,4.601294087E0
1.349072292E0,2.083875153E0,-1.835448595E0,3.382763944E0,4.376585324E0
1.359040292E0,1.529768440E0,-1.636930361E0,3.143020501E0,3.859832943E0
1.369007292E0,8.868968993E-1,-1.539604041E0,2.785204232E0,3.303684205E0
1.378975292E0,4.111563241E-1,-1.468520610E0,2.398413109E0,2.842180104E0
1.388942292E0,3.745895916E-1,-5.148830062E-1,4.637701553E-1,7.877211621E-1
1.398910292E0,8.978645217E-1,-9.042134285E-3,-2.067677781E-2,8.981480884E-1
1.408877292E0,1.349939076E0,8.389117241E-2,2.864865236E-1,1.382551181E0
1.418845292E0,1.142992081E0,1.281294519E-1,4.752309904E-1,1.244464764E0
1.428812292E0,5.299910420E-1,2.758991164E-1,1.020020458E0,1.182138977E0
1.438780292E0,-1.989515126E-1,6.475908279E-2,1.704590686E0,1.717383140E0
1.448748292E0,-4.714762008E-1,-9.446410775E-2,1.432159699E0,1.510726540E0
1.458715292E0,-9.560706300E-1,1.194399047E-1,6.160199565E-1,1.143598499E0
1.468683292E0,-9.661676019E-1,6.020053500E-1,-8.316624923E-1,1.409805936E0
1.478650292E0,-1.376212370E-1,1.321633290E0,-2.577137495E0,2.899533036E0
1.488618292E0,8.582917356E-1,1.815123088E0,-4.547840958E0,4.971337236E0
1.498585292E0,4.738232732E-1,1.902760572E0,-5.153732952E0,5.514160828E0
1.508553292E0,-3.189387167E-1,1.774221815E0,-4.868192655E0,5.191231518E0
1.518520292E0,-9.001262248E-1,1.660268353E0,-4.635311211E0,5.005280037E0
1.528488292E0,-9.504058474E-1,1.667234141E0,-3.873686230E0,4.323006588E0
1.538455292E0,-1.316827464E0,1.718218938E0,-3.049281448E0,3.739575943E0
1.548423292E0,-1.652150078E0,1.307411692E0,-2.043635784E0,2.935195468E0
1.558390292E0,-1.933352619E0,9.827777874E-1,-1.342877102E0,2.550886795E0
1.568358292E0,-2.254264187E0,1.226780342E0,-1.079627559E0,2.784293932E0
1.578324667E0,-1.298415751E0,6.176244324E-1,8.015947938E-3,1.437848273E0
1.588292667E0,2.549748552E-1,-2.644964612E-1,2.288288111E0,2.317592077E0
1.598259667E0,-1.251534530E0,-2.549865496E-1,2.596799342E0,2.893911478E0
