"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.383335959E-5,-2.690924092E-1,7.464043871E-3,-8.541934222E-1,8.956075252E-1
9.990833350E-3,-5.265978662E-1,-1.449702369E-1,-1.052273115E0,1.185580192E0
1.995783334E-2,-5.858707258E-1,-1.399465285E-1,-8.901432735E-1,1.074795137E0
2.992583334E-2,-3.857906276E-1,-1.268184330E-1,-5.222668701E-1,6.615738862E-1
3.989283333E-2,2.151125588E-1,-8.172865279E-2,-8.951853275E-2,2.469140607E-1
4.985983332E-2,2.503796015E-1,-1.765529125E-1,-1.609346706E-1,3.460647973E-1
5.982783332E-2,-5.742751125E-1,-4.255424115E-1,-7.354814959E-1,1.025578510E0
6.979483337E-2,-1.225119441E0,1.069091480E-1,-3.839872366E-1,1.288329697E0
7.976183336E-2,-1.048639363E0,1.908005853E-2,-3.678512603E-1,1.111450904E0
8.972883335E-2,-8.614564680E-1,-4.466633219E-1,1.317781144E-1,9.792756716E-1
9.969683335E-2,-4.115779449E-1,-1.274299933E0,7.555304289E-1,1.537550960E0
1.096638333E-1,-3.137763561E-1,-2.071040661E0,1.274930994E0,2.452165178E0
1.196308333E-1,-3.389339284E-1,-2.060918984E0,2.274694358E0,3.088122033E0
1.295978333E-1,-1.334093780E-1,-1.522155949E0,3.003367356E0,3.369713975E0
1.395658333E-1,-1.402052952E-1,-1.078355497E0,3.546086617E0,3.709075141E0
1.495328334E-1,9.301699497E-2,-1.047956847E0,3.368284484E0,3.528768351E0
1.594998334E-1,4.967032453E-1,-1.068980949E0,2.568112317E0,2.825709691E0
1.694678334E-1,8.109762859E-1,-1.033988287E0,1.117827419E0,1.725210843E0
1.794348333E-1,5.857771339E-1,-8.000199924E-1,-1.405623865E-1,1.001461244E0
1.894018333E-1,1.753068343E-1,-2.181018747E-1,1.896877688E-1,3.380567460E-1
1.993688333E-1,1.923842123E-1,4.561338378E-1,1.408667926E0,1.493122596E0
2.093368333E-1,9.448356436E-1,1.260042667E0,2.006084965E0,2.550450706E0
2.193038333E-1,1.647756042E0,1.885282660E0,6.884763139E-1,2.596803865E0
2.292708334E-1,8.199319544E-1,1.767997454E0,-3.471491933E-3,1.948875434E0
2.392388334E-1,-2.958696967E-1,1.320712792E0,7.343173152E-1,1.539819170E0
2.492058334E-1,-5.482516772E-1,8.943344115E-1,7.711068267E-1,1.301929214E0
2.591728334E-1,-4.698308674E-1,4.387271154E-1,2.146004158E-1,6.776989481E-1
2.691398333E-1,-8.737785248E-1,1.002012496E-1,-8.868752646E-1,1.249030398E0
2.791078333E-1,-1.343269742E0,-2.315716669E-2,-2.201362672E0,2.578935337E0
2.890748333E-1,-1.395483916E0,2.747397597E-1,-2.973693906E0,3.296318058E0
2.990418333E-1,-1.205821436E0,1.035680763E0,-3.605395510E0,3.940243237E0
3.090088334E-1,-1.026562981E0,1.702648972E0,-2.194133760E0,2.960923510E0
3.189768334E-1,-6.180357841E-1,1.409948173E0,-3.356475447E0,3.692675115E0
3.289438334E-1,1.755499323E-1,7.076895337E-1,-4.422017648E0,4.481727606E0
3.389108334E-1,1.587567435E0,6.077582793E-1,-3.017829275E0,3.463673486E0
3.488788333E-1,2.391772572E0,-4.592695534E-3,-1.326669497E0,2.735077528E0
3.588458333E-1,1.232327304E0,-4.383536245E-1,-6.825437289E-1,1.475347561E0
3.688128333E-1,2.116484490E-1,-6.253258002E-1,2.098032432E0,2.199447091E0
3.787798333E-1,-3.469605109E-1,-7.570675157E-1,4.518799008E0,4.594896875E0
3.887478333E-1,-2.809880213E-1,-2.059615640E0,3.247986792E0,3.856214343E0
3.987148334E-1,-6.058510637E-1,-3.171867154E0,7.494078094E-1,3.315027725E0
4.086818334E-1,-8.458435252E-1,-2.540086320E0,-1.051662081E0,2.876366269E0
4.186488334E-1,-1.579325456E-1,-1.159235500E0,-2.418249350E0,2.686391548E0
4.286168333E-1,5.208006077E-1,-3.317267235E-1,-3.217653776E0,3.276365626E0
4.385835833E-1,9.097869945E-1,-3.515968779E-1,-4.167871343E0,4.280477108E0
4.485505833E-1,7.859831665E-1,-6.663334930E-1,-4.827891598E0,4.936629127E0
4.585185833E-1,1.789936499E-1,-9.475528447E-1,-5.020007715E0,5.111787611E0
4.684855834E-1,-3.116162485E-1,-1.491617989E0,-4.594775389E0,4.840866636E0
