"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.203333472E-4,-4.660083233E-1,2.260469252E-1,4.226993126E-1,6.685324813E-1
9.646666644E-3,-4.122393747E-1,2.857224387E-1,3.367832494E-1,6.041535989E-1
1.961366663E-2,-1.953326708E-1,2.215504164E-1,1.463464522E-1,3.296311929E-1
2.958066663E-2,4.443167612E-2,9.000092804E-2,-3.795427680E-2,1.073073531E-1
3.954766667E-2,1.574371585E-1,-1.700955033E-2,-1.187358999E-1,1.979242219E-1
4.951466667E-2,1.549158391E-1,-4.803896964E-2,-1.124156445E-1,1.973421824E-1
5.948166666E-2,8.193250135E-2,-2.831631124E-2,-1.056428146E-1,1.366570618E-1
6.944866665E-2,5.095044449E-2,1.585764885E-3,-1.277622467E-1,1.375560036E-1
7.941566664E-2,6.492792115E-2,4.431604743E-2,-2.407532573E-1,2.532620735E-1
8.938266663E-2,4.328649893E-2,6.685823321E-2,-2.972046161E-1,3.076919371E-1
9.934966668E-2,4.026421934E-2,6.654950023E-2,-1.898947603E-1,2.052073666E-1
1.093166667E-1,8.133813187E-2,5.539535165E-2,-6.175770700E-2,1.161832650E-1
1.192836667E-1,1.855513023E-1,1.009989560E-2,-7.109044790E-3,1.859619106E-1
1.292506667E-1,2.253839971E-1,-1.951917529E-2,-1.763169408E-2,2.269136862E-1
1.392186666E-1,2.374975276E-1,-5.166482806E-2,-3.461727083E-2,2.455049603E-1
1.491856666E-1,2.056519832E-1,-4.356409550E-2,-2.208610296E-2,2.113725728E-1
1.591526666E-1,1.517801236E-1,-4.149242699E-2,-3.816126823E-2,1.619108082E-1
1.691196667E-1,1.127802184E-1,-3.293619633E-2,-7.740368664E-2,1.406964868E-1
1.790866667E-1,4.974650279E-2,-3.283094645E-2,-1.489192271E-1,1.604042449E-1
1.890536667E-1,-4.663943857E-2,-1.163829803E-2,-1.229821479E-1,1.320427806E-1
1.990206667E-1,-1.815345575E-1,7.342874944E-2,-3.530665755E-2,1.989802424E-1
2.089876666E-1,-2.503258802E-1,1.222167474E-1,1.042581940E-1,2.974386502E-1
2.189546666E-1,-2.410197441E-1,1.334036404E-1,1.647809690E-1,3.209981559E-1
2.289216666E-1,-2.220218481E-1,1.147054142E-1,5.977082312E-2,2.569505485E-1
2.388886667E-1,-2.034990384E-1,7.478530347E-2,8.990094066E-3,2.169919861E-1
2.488556667E-1,-1.550848237E-1,5.171102107E-2,2.806605041E-2,1.658705381E-1
2.588226667E-1,-5.786463082E-2,5.370959938E-2,5.835170388E-2,9.817310177E-2
2.687896666E-1,-9.828869842E-2,9.397352636E-2,1.308723807E-2,1.366124727E-1
2.787566666E-1,-1.803273998E-1,1.533075625E-1,-8.945479810E-2,2.530283398E-1
2.887236666E-1,-2.241546931E-1,2.625399828E-1,-2.090923387E-1,4.035990276E-1
2.986906667E-1,-3.915275136E-1,3.576572245E-1,-3.193608856E-1,6.190346189E-1
3.086576667E-1,-6.581008326E-1,5.140100169E-1,-3.016794902E-1,8.878702147E-1
3.186246667E-1,-6.821654141E-1,6.719193381E-1,-3.987935561E-1,1.037237461E0
3.285916667E-1,-6.173118257E-1,7.283882385E-1,-5.691732341E-1,1.111567131E0
3.385586666E-1,-4.920532836E-1,8.759719616E-1,-1.057953100E0,1.459009278E0
3.485256666E-1,-6.140646476E-1,8.718368107E-1,-1.578891483E0,1.905275080E0
3.584926666E-1,-8.315879403E-1,6.807001019E-1,-1.619456542E0,1.943587050E0
3.684596667E-1,-6.730745286E-1,7.994003338E-1,-1.561465026E0,1.878894154E0
3.784266667E-1,-4.632706204E-1,8.448279369E-1,-1.650433921E0,1.911095507E0
3.883936667E-1,-4.128784753E-2,8.887218153E-1,-1.893276388E0,2.091895464E0
3.983616667E-1,2.506757995E-1,8.442712820E-1,-2.456568493E0,2.609666859E0
4.083286666E-1,5.329666170E-1,5.424847877E-1,-2.751079881E0,2.854257114E0
4.182956666E-1,9.194278836E-1,6.087460202E-1,-2.470161515E0,2.705109473E0
4.282626666E-1,9.892044622E-1,2.287094548E-1,-1.483059711E0,1.797303422E0
4.382296667E-1,1.705256976E0,-2.694683486E-1,-9.732707995E-1,1.981860387E0
4.481966667E-1,2.323191311E0,-6.150057569E-1,-4.429452968E-1,2.443696070E0
4.581645000E-1,2.318973568E0,-1.817311994E0,5.155162597E-1,2.990989519E0
4.681315000E-1,4.434856964E0,-1.928876868E0,-1.129448760E0,4.966304136E0
4.780985000E-1,4.951608156E0,-3.321170543E0,-2.263215689E0,6.377361709E0
4.880655000E-1,5.537623125E0,-3.562015894E0,-2.788871605E0,7.150596614E0
4.980325000E-1,3.682016255E0,-1.219789704E0,-1.402303816E0,4.124510470E0
5.079995000E-1,-1.158318730E0,1.350224713E0,-1.368919138E0,2.244715720E0
5.179665000E-1,-2.649401186E0,2.795124033E-1,-8.849053377E-1,2.807224837E0
5.279335000E-1,-5.978640595E-1,-6.292212152E-1,-1.808029246E-1,8.865948731E-1
5.379005000E-1,7.226340667E-1,-9.265372208E-1,9.274245358E-1,1.496926012E0
5.478675000E-1,2.374609094E-1,-1.034488224E0,2.572032875E0,2.782428199E0
5.578345000E-1,2.841248332E-1,-9.448232183E-1,2.602535461E0,2.783273012E0
5.678015000E-1,8.898767135E-1,-7.910192272E-1,1.641094748E0,2.027506832E0
5.777685000E-1,1.498514780E0,-1.070124080E0,5.233088440E-1,1.914305158E0
5.877355000E-1,1.869342857E0,-1.428385029E0,-6.134892815E-1,2.431274482E0
5.977025000E-1,2.214095862E0,-1.506267603E0,-1.792971497E0,3.222702183E0
6.076695000E-1,2.632110677E0,-1.264769995E0,-2.580904856E0,3.897270793E0
6.176365000E-1,2.824496351E0,-1.065399822E0,-2.939647323E0,4.213594998E0
6.276035000E-1,3.237861169E0,-1.342106146E0,-2.781411728E0,4.474510594E0
6.375705000E-1,4.421197869E0,-1.974729856E0,-2.525711233E0,5.461297083E0
6.475375000E-1,5.549070804E0,-2.793612235E0,-2.688014737E0,6.769186017E0
6.575045000E-1,4.909125795E0,-3.467538338E0,-2.437214209E0,6.485626516E0
6.674725000E-1,4.027345210E0,-3.447547585E0,-1.599895266E0,5.537576966E0
6.774395000E-1,3.154118808E0,-2.847706874E0,-1.708656401E0,4.580109889E0
6.874065000E-1,3.055337116E0,-2.153259091E0,-2.187152769E0,4.330732830E0
6.973735000E-1,4.395829723E0,-1.564152114E0,-2.095888842E0,5.114942896E0
7.073405000E-1,4.808019835E0,-6.160962626E-1,-2.304688236E0,5.367328684E0
7.173075000E-1,4.939587450E0,2.751348853E-2,-2.998384944E0,5.778459435E0
7.272745000E-1,3.830916771E0,-6.117052960E-1,-3.887824212E0,5.492293126E0
7.372415000E-1,2.210117124E0,-1.427213539E0,-4.231387893E0,4.982589657E0
7.472085000E-1,1.180703114E0,-1.688118056E0,-3.751302837E0,4.279728424E0
7.571755000E-1,5.267633790E-1,-2.045880092E0,-2.352989160E0,3.162224375E0
7.671425000E-1,-2.737099189E-1,-2.739046604E0,3.135271186E-1,2.770485999E0
7.771095000E-1,-1.301258667E0,-3.247581580E0,3.600095594E-1,3.517053756E0
7.870765000E-1,-1.744729044E0,-3.514610763E0,3.171898144E-1,3.936645479E0
7.970435000E-1,-2.003198195E0,-3.204965903E0,1.014102491E0,3.913184549E0
8.070105000E-1,-1.958292164E0,-3.011399091E0,1.188190473E0,3.783547183E0
8.169775000E-1,-2.145220631E0,-2.831658021E0,9.576499629E-1,3.679314088E0
8.269445000E-1,-2.543808950E0,-2.590377930E0,2.506894308E-1,3.639212413E0
8.369115000E-1,-2.811889755E0,-2.163832026E0,-8.194668084E-1,3.641485807E0
8.468785000E-1,-2.972512769E0,-1.662525378E0,-1.632005251E0,3.776673660E0
8.568455000E-1,-3.282797021E0,-1.326888621E0,-1.759838249E0,3.954038487E0
8.668125000E-1,-3.343743719E0,-1.087997191E0,-1.472164010E0,3.812037096E0
8.767795000E-1,-2.888643231E0,-8.401003899E-1,-6.732180047E-1,3.082734316E0
8.867465000E-1,-2.203788682E0,-7.948978315E-1,8.514925933E-1,2.492706713E0
8.967135000E-1,-1.422369121E0,-9.887436285E-1,3.020021396E0,3.481562452E0
9.066805000E-1,-1.007998583E0,-1.315905796E0,5.371086237E0,5.621052978E0
9.166475000E-1,-9.696718383E-1,-2.086765870E0,7.226182061E0,7.583703743E0
9.266145000E-1,-1.363419247E0,-2.946927692E0,8.477835290E0,9.078380145E0
9.365825000E-1,-2.161244926E0,-3.351800306E0,8.958698026E0,9.806315069E0
9.465495000E-1,-3.022840923E0,-3.197510996E0,8.337954104E0,9.427784599E0
9.565165000E-1,-3.193536351E0,-2.722762985E0,6.839782264E0,8.024632958E0
9.664835000E-1,-2.401967193E0,-2.069034189E0,5.341124520E0,6.211115842E0
9.764505000E-1,-1.178424454E0,-1.455834052E0,4.517178159E0,4.890095654E0
9.864175000E-1,2.781684208E-1,-6.825869253E-1,4.606583256E0,4.665180798E0
9.963845000E-1,1.529298908E0,6.873964794E-2,5.088855756E0,5.314125817E0
1.006351500E0,2.204162319E0,4.300015347E-1,5.597483411E0,6.031173467E0
1.016318500E0,2.287095718E0,4.487733628E-1,6.133611106E0,6.561508176E0
1.026285500E0,1.932024132E0,4.094327112E-1,6.188718774E0,6.496198308E0
1.036252500E0,1.385407117E0,3.855696394E-1,5.745731378E0,5.922959217E0
1.046219500E0,8.724782503E-1,5.442997634E-1,4.913278488E0,5.019739638E0
1.056186500E0,6.593530869E-1,7.874477479E-1,3.853540525E0,3.988056548E0
1.066153500E0,8.517574722E-1,8.508567086E-1,3.004717478E0,3.236939149E0
1.076120500E0,1.273284418E0,1.042561328E0,2.638555771E0,3.109688712E0
1.086087500E0,2.026583549E0,1.696901305E0,2.301627510E0,3.504854365E0
1.096054500E0,2.701156939E0,2.384946240E0,1.899852605E0,4.073531306E0
1.106021500E0,3.188558031E0,2.646638669E0,1.661963460E0,4.464719600E0
1.115988500E0,3.539443595E0,2.531744682E0,1.692135093E0,4.669123395E0
1.125955500E0,3.371831405E0,2.431226660E0,1.765461516E0,4.516299864E0
1.135922500E0,2.966547439E0,2.480028691E0,1.614993947E0,4.190364121E0
1.145889500E0,2.587335624E0,2.516030875E0,1.217694354E0,3.808870769E0
1.155856500E0,2.254254246E0,2.619912508E0,5.582822102E-1,3.501040243E0
1.165823500E0,1.813356060E0,2.855706450E0,-4.574966776E-1,3.413593815E0
1.175790500E0,1.290590422E0,3.022602064E0,-1.569328946E0,3.642051650E0
1.185757500E0,7.677283055E-1,3.070892757E0,-2.320559479E0,3.924893039E0
1.195724500E0,3.057251787E-1,3.195229120E0,-2.554702898E0,4.102372961E0
1.205691500E0,-9.955644786E-2,3.189632457E0,-2.466100624E0,4.033028513E0
1.215658500E0,-3.470842892E-1,2.815107477E0,-2.350582593E0,3.683820861E0
1.225626500E0,-3.416995883E-1,2.320394734E0,-2.274927223E0,3.267458370E0
1.235593500E0,-9.184572458E-2,1.847901702E0,-2.218758724E0,2.888955973E0
1.245560500E0,2.819895762E-1,1.385947400E0,-2.104770178E0,2.535828429E0
1.255527500E0,6.627433026E-1,9.466004795E-1,-1.903619382E0,2.226891983E0
1.265494500E0,1.106848102E0,5.259368750E-1,-1.444354067E0,1.894170264E0
1.275461500E0,1.567684125E0,1.679913828E-1,-8.437982422E-1,1.788253364E0
1.285428500E0,1.953200993E0,-1.208467448E-1,-2.750693965E-1,1.976173380E0
1.295395500E0,2.135274518E0,-3.036473706E-1,1.624198633E-1,2.162863658E0
1.305362500E0,2.320005602E0,-5.240710285E-1,4.456759465E-1,2.419856087E0
1.315329500E0,2.690582249E0,-6.120476505E-1,6.416649672E-1,2.832943539E0
1.325296500E0,2.884457794E0,-5.195701343E-1,6.335694972E-1,2.998576362E0
1.335263500E0,2.877697243E0,-4.322331977E-1,5.548726988E-1,2.962406230E0
1.345230500E0,2.745672376E0,-4.841500407E-1,4.368039662E-1,2.822041063E0
1.355197500E0,2.351957127E0,-5.312084323E-1,3.662558475E-1,2.438857944E0
1.365164500E0,1.898231903E0,-4.533501247E-1,3.090151146E-1,1.975930423E0
1.375131500E0,1.542155766E0,-4.120991877E-1,1.840820432E-1,1.606846709E0
