"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.611208336E-3,-1.122064604E-1,5.212909698E-2,-2.179689968E-1,2.506356241E-1
1.457620831E-2,-3.549113721E-2,5.223873228E-2,-1.357787794E-1,1.497477309E-1
2.454020834E-2,3.918409243E-2,6.231114596E-2,2.945885718E-2,7.928364445E-2
3.450420831E-2,7.183260575E-2,7.115067422E-2,1.120221269E-1,1.509016190E-1
4.446920834E-2,3.634892374E-2,1.090710372E-1,6.498186171E-2,1.320620224E-1
5.443320831E-2,7.839654386E-4,1.118163049E-1,-2.825316131E-2,1.153331772E-1
6.439820834E-2,-7.813853547E-2,7.991681993E-2,-4.427394748E-2,1.202185978E-1
7.436220831E-2,-1.604724482E-1,6.077391297E-2,-2.188145041E-2,1.729846033E-1
8.432620834E-2,-1.654703557E-1,3.662257344E-2,1.081881076E-1,2.010629706E-1
9.429120831E-2,-1.434456486E-1,2.570552945E-2,2.061845183E-1,2.524866015E-1
1.042552083E-1,-1.377128921E-1,5.149935186E-2,1.854789430E-1,2.366843091E-1
1.142192083E-1,-1.154586817E-1,1.243080041E-1,1.341912603E-1,2.163110756E-1
1.241842083E-1,-6.954824477E-2,1.578888559E-1,7.715810359E-2,1.889952966E-1
1.341482083E-1,-7.496481299E-2,1.538838056E-1,-2.664576173E-2,1.732337883E-1
1.441132083E-1,-1.331900708E-1,1.705536327E-1,-1.062959486E-1,2.410953448E-1
1.540772083E-1,-1.141617693E-1,1.947821555E-1,-1.032314229E-1,2.482533471E-1
1.640412083E-1,-2.775614798E-2,1.677381983E-1,-1.740482211E-2,1.709076791E-1
1.740062083E-1,-2.575318426E-2,9.774644226E-2,1.455816364E-1,1.772331976E-1
1.839702083E-1,-6.211891875E-2,8.604557902E-2,3.503938133E-1,3.661125866E-1
1.939342083E-1,-6.671599969E-2,3.701053619E-2,4.182875884E-1,4.251885593E-1
2.038992083E-1,-4.104701534E-2,-1.249316096E-2,3.950016367E-1,3.973250931E-1
2.138632083E-1,-5.941428915E-2,3.288298666E-2,3.332474381E-1,3.400958741E-1
2.238282083E-1,-4.715560153E-2,1.203821835E-1,2.075328863E-1,2.445105718E-1
2.337922083E-1,-6.571978033E-3,1.763739511E-1,2.647034526E-3,1.765161985E-1
2.437562083E-1,2.533379272E-2,2.685170066E-1,-2.452942050E-1,3.645715717E-1
2.537212083E-1,9.128673077E-3,3.005059540E-1,-4.972045344E-1,5.810331403E-1
2.636852083E-1,-9.309088916E-2,3.317572752E-1,-7.106846237E-1,7.898110139E-1
2.736492083E-1,-1.712930862E-1,3.915652281E-1,-9.512197798E-1,1.042824874E0
2.836142083E-1,-3.324116517E-1,2.853534794E-1,-1.349992286E0,1.419296758E0
