"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.939416646E-3,1.529543322E0,-7.090354165E-1,-2.911882989E0,3.364713441E0
1.590441668E-2,4.027182072E-1,-7.881728026E-1,-2.442545700E0,2.597966093E0
2.586941666E-2,-5.691068682E-1,-6.675593618E-1,-2.296953539E0,2.458762633E0
3.583341668E-2,-1.596507682E0,-3.456987914E-1,-2.152924338E0,2.702485456E0
4.579841666E-2,-3.207238424E0,-7.739889193E-1,-2.007939702E0,3.862286758E0
5.576241668E-2,-2.571604567E0,-2.971274328E-1,-1.371690134E0,2.929670388E0
6.572741666E-2,-1.001491363E0,-1.196101464E0,-1.054465236E0,1.882960593E0
7.569241669E-2,1.046645828E0,-1.930254472E0,-6.317144680E-1,2.284822309E0
8.565641666E-2,2.949772947E0,-4.478636822E-1,-3.048001492E-1,2.999107442E0
9.562141669E-2,3.557885129E0,1.130404195E-1,2.762417632E-1,3.570382926E0
1.055854167E-1,1.366944241E0,-7.160500288E-3,4.313257098E0,4.524685031E0
1.155504167E-1,-3.983458421E-1,1.131901667E0,6.548021990E0,6.657061873E0
1.255154167E-1,-4.301753798E-1,1.067121534E0,5.371730016E0,5.493567383E0
1.354794167E-1,-8.006487143E-1,5.999339738E-1,3.396933501E0,3.541202670E0
1.454444167E-1,-6.721905027E-1,5.914087334E-1,1.083848664E0,1.405820859E0
1.554084167E-1,-4.274527334E-1,8.754252470E-1,-9.481669486E-2,9.788132651E-1
1.653734167E-1,-8.813237719E-2,1.256727150E0,-6.761878055E-1,1.429811314E0
1.753384167E-1,-4.464546494E-2,1.294149622E0,-7.423192298E-1,1.492599846E0
1.853024167E-1,-2.432423439E-1,1.033576351E0,-8.388608533E-1,1.353194162E0
1.952674167E-1,-5.983178765E-1,6.337817511E-1,-3.996957815E-1,9.588640712E-1
2.052324167E-1,-1.180179057E0,-1.339038697E-1,-4.789980590E-1,1.280699806E0
2.151964167E-1,-1.181171110E0,-4.184542340E-1,-9.758576077E-1,1.588259175E0
2.251614167E-1,-3.431027008E-1,1.365646452E-1,-1.345868245E0,1.395611227E0
2.351254167E-1,1.126246313E0,4.903735247E-1,-1.315301925E0,1.799698893E0
2.450904167E-1,2.915774604E0,3.729807302E-1,-3.055886462E0,4.240200259E0
2.550554167E-1,2.468101248E0,1.330911067E-1,-4.120408909E0,4.804894025E0
2.650194167E-1,7.525000363E-1,-4.403403622E-1,-2.667443063E0,2.806315811E0
2.749844167E-1,-3.335472906E-1,-3.565810445E-1,-1.954495566E0,2.014561182E0
2.849484167E-1,-1.787812644E0,-6.776845466E-1,-9.552520198E-1,2.137296614E0
2.949134167E-1,-3.344468774E0,-1.404160746E0,6.020380944E-1,3.676899325E0
3.048784166E-1,-1.609513059E0,-4.750862718E-1,9.224572091E0,9.375978323E0
3.148424167E-1,5.233107443E-1,2.039136060E-1,4.576513950E0,4.610847517E0
3.248074166E-1,3.666689825E0,3.317613682E-1,2.600752645E0,4.507615134E0
3.347714167E-1,4.739579930E0,1.991261981E-1,-8.441835737E-1,4.818289641E0
3.447364166E-1,6.531820525E0,1.688433806E0,-3.125211636E0,7.435215925E0
3.547014167E-1,5.992639414E0,3.270045998E0,-3.389928537E0,7.622108859E0
3.646654167E-1,3.199939637E0,4.176166204E0,-2.338864626E0,5.757626731E0
3.746304167E-1,7.298898035E-1,4.741271822E0,-7.394956094E-1,4.853787323E0
3.845954167E-1,-1.461424429E0,4.191721551E0,1.196671860E0,4.597642272E0
3.945594167E-1,-1.758466931E0,2.916937323E0,4.446350836E0,5.600961083E0
4.045244167E-1,-2.952341044E-1,1.682373751E0,7.577272278E0,7.767406246E0
4.144884167E-1,4.940692574E-2,7.639363861E-1,6.894540269E0,6.936910362E0
4.244534167E-1,9.146390140E-1,4.493517986E-1,7.040483848E0,7.113852288E0
4.344184167E-1,1.056652387E0,7.237332702E-2,6.021308897E0,6.113747869E0
