"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.368416637E-3,-1.176832549E-1,1.062398154E-1,-1.526269466E-1,2.200709696E-1
7.599583361E-3,-3.821418554E-2,9.377647519E-2,-1.049043113E-1,1.458055754E-1
1.756658335E-2,7.714377791E-3,6.256930053E-2,-1.906110442E-1,2.007660309E-1
2.753458335E-2,3.252513707E-2,9.798413157E-2,-3.560790610E-1,3.707439444E-1
3.750158334E-2,3.846912414E-2,1.312156123E-1,-5.616911370E-1,5.780954452E-1
4.746958334E-2,4.149710476E-2,1.593021280E-1,-7.468484831E-1,7.647756758E-1
5.743658333E-2,8.191773713E-2,1.420610279E-1,-8.358173776E-1,8.517526284E-1
6.740358332E-2,9.538621366E-2,9.021669030E-2,-8.048569554E-1,8.154951255E-1
7.737158332E-2,1.204147817E-1,6.117181599E-2,-6.692226022E-1,6.827156085E-1
8.733858337E-2,1.370311068E-1,8.304858863E-2,-5.137042075E-1,5.381139332E-1
9.730658337E-2,3.259705782E-2,7.246688247E-2,-5.055005640E-1,5.117077656E-1
1.072735834E-1,-7.246278942E-2,1.303016925E-1,-6.090535837E-1,6.270372037E-1
1.172415834E-1,-1.746108694E-1,2.298119473E-1,-7.440815806E-1,7.980976667E-1
1.272085833E-1,-1.905167578E-1,3.998191577E-1,-7.625120044E-1,8.818030113E-1
1.371755833E-1,-1.373519728E-1,5.289595932E-1,-7.011255956E-1,8.889549575E-1
1.471435833E-1,-1.418651462E-2,6.026181382E-1,-6.791698855E-1,9.080867861E-1
1.571105833E-1,1.058039054E-1,5.543242300E-1,-5.732428962E-1,8.044111115E-1
1.670785833E-1,2.782507204E-1,4.646688724E-1,-3.866412878E-1,6.654563169E-1
1.770455833E-1,4.286786753E-1,3.010491604E-1,-2.042011428E-1,5.622224740E-1
1.870135834E-1,5.985970080E-1,1.592734766E-1,-6.433048189E-2,6.227558344E-1
1.969805834E-1,8.411137855E-1,1.129261065E-1,1.136558390E-1,8.562373242E-1
2.069475834E-1,9.722263406E-1,1.495384473E-1,2.365660661E-1,1.011706137E0
2.169155834E-1,1.015071813E0,2.166212136E-1,4.081871080E-1,1.115308142E0
2.268825833E-1,1.050207147E0,4.584842724E-1,5.317820442E-1,1.263303219E0
2.368505833E-1,1.028076459E0,6.878857452E-1,4.537948054E-1,1.317595435E0
2.468175833E-1,9.646938112E-1,8.597295660E-1,2.928273904E-1,1.324959228E0
2.567845833E-1,9.115049064E-1,1.012689804E0,-2.257317603E-2,1.362678018E0
2.667525833E-1,1.014040511E0,1.185401351E0,-5.862131900E-1,1.666463449E0
2.767195834E-1,1.174336081E0,1.362732784E0,-1.232475531E0,2.180619592E0
2.866875834E-1,1.731166135E0,1.620816604E0,-2.207406939E0,3.239850004E0
2.966545834E-1,2.773401042E0,1.934494581E0,-3.419807809E0,4.809273134E0
3.066225834E-1,3.333024311E0,1.712995035E0,-3.203201798E0,4.929899067E0
3.165895834E-1,3.765051687E0,1.277154105E0,-3.167047879E0,5.083003943E0
3.265565833E-1,4.069274424E0,9.653355432E-1,-3.036756712E0,5.168438678E0
3.365245833E-1,4.210568297E0,7.565694791E-1,-2.596625095E0,5.004372552E0
3.464915833E-1,4.090813227E0,5.838737190E-1,-1.711132697E0,4.472542508E0
3.564595833E-1,4.067655037E0,5.586763126E-1,-9.257194877E-1,4.208906425E0
3.664265833E-1,4.177287115E0,6.886277568E-1,-5.933701819E-1,4.275046666E0
3.763945833E-1,4.031987314E0,7.022745734E-1,-4.158177245E-1,4.113759310E0
3.863615834E-1,3.999846047E0,6.506471676E-1,-2.960720104E-1,4.063221477E0
3.963285834E-1,4.009022959E0,6.536263239E-1,-6.523691726E-1,4.114009966E0
4.062965834E-1,3.818048218E0,6.331622386E-1,-1.282998982E0,4.077311983E0
4.162635833E-1,3.471949770E0,2.694598702E-1,-1.197397499E0,3.682499776E0
4.262315833E-1,3.139764771E0,-1.839797169E-1,-7.064699507E-1,3.223518442E0
4.361985833E-1,3.200661183E0,-1.885881999E-1,-8.250070453E-2,3.207273590E0
4.461655833E-1,3.189028147E0,-4.033526301E-2,1.148987816E0,3.389941070E0
4.561335833E-1,3.152333361E0,5.935216248E-2,2.015375022E0,3.741986742E0
4.661005833E-1,3.587260956E0,1.463142926E-1,2.231702705E0,4.227333202E0
4.760685833E-1,4.175339407E0,-2.070817736E-1,2.267001176E0,4.755590012E0
4.860355834E-1,4.682456142E0,-9.209616083E-1,2.176700871E0,5.245149424E0
4.960035834E-1,5.205267388E0,-1.449581478E0,1.894021908E0,5.725680224E0
5.059705834E-1,5.231949987E0,-1.866972688E0,1.396237915E0,5.727858937E0
5.159375833E-1,4.696648504E0,-2.298443409E0,1.164636135E0,5.357025910E0
5.259055833E-1,3.959616911E0,-2.402798228E0,9.430857182E-1,4.726670718E0
5.358725833E-1,3.161561437E0,-2.328000938E0,6.280564499E-1,3.976117955E0
5.458405833E-1,2.052894266E0,-2.406809126E0,7.688685125E-1,3.255497477E0
5.558075833E-1,1.682455612E0,-1.916069127E0,2.966789514E-1,2.567098788E0
5.657755833E-1,2.162085755E0,-1.223306219E0,-1.165870482E-1,2.486902785E0
5.757425834E-1,2.751510821E0,-7.014656112E-1,7.353282988E-2,2.840470538E0
5.857095834E-1,2.702909934E0,-4.462403855E-1,6.758129990E-1,2.821626446E0
5.956775834E-1,2.285703496E0,-2.794436437E-1,1.086315604E0,2.546097173E0
6.056445834E-1,1.246553872E0,-3.150094608E-1,1.397049508E0,1.898650796E0
