"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.794333279E-3,-1.100948846E-1,-6.984227201E-1,-1.646858933E0,1.792221952E0
1.176133333E-2,-2.363269150E-1,-8.111508983E-1,-1.156186908E0,1.431986158E0
2.172833332E-2,-5.457937270E-2,-9.539185622E-1,-6.459243715E-1,1.153324683E0
3.169533331E-2,2.528613791E-1,-1.260910248E0,-3.789241326E-1,1.340677824E0
4.166233330E-2,4.805776843E-1,-1.373866467E0,-7.740427136E-2,1.457551166E0
5.162933329E-2,7.286770910E-1,-1.431756241E0,2.872035384E-2,1.606773505E0
6.159633328E-2,1.013022510E0,-1.448992079E0,8.265156269E-2,1.769922013E0
7.156333333E-2,1.161965126E0,-1.254129817E0,2.341453189E-1,1.725638601E0
8.153033332E-2,1.466073550E0,-9.338295758E-1,3.039382696E-3,1.738222819E0
9.149633331E-2,1.975328319E0,-7.270834324E-1,-4.249154073E-1,2.147353112E0
1.014633333E-1,2.422838829E0,-7.457597315E-1,-9.320397431E-1,2.700926443E0
1.114303333E-1,2.507309168E0,-8.910066149E-1,-1.232049268E0,2.932309236E0
1.213973333E-1,1.982042092E0,-9.808673559E-1,-6.401718807E-1,2.302262292E0
1.313643333E-1,1.607956823E0,-1.047385720E0,-4.001483560E-2,1.919412195E0
1.413313333E-1,1.502181568E0,-1.372519561E0,3.388823998E-1,2.062813780E0
1.512983333E-1,1.220670002E0,-1.688719004E0,9.202225202E-1,2.277853510E0
1.612653333E-1,1.415868479E0,-1.661630900E0,9.409538233E-1,2.377203167E0
1.712323333E-1,1.588360464E0,-1.412616112E0,8.581970108E-1,2.292351490E0
1.811993333E-1,1.369425507E0,-1.236954936E0,8.686044699E-1,2.039572862E0
1.911663333E-1,1.202122926E0,-1.321713105E0,5.612373930E-1,1.872701918E0
2.011333333E-1,1.018590522E0,-1.381577191E0,6.079572308E-1,1.820959686E0
2.110993333E-1,1.508626077E0,-7.831830081E-1,1.318737749E0,2.151371078E0
2.210663333E-1,2.490659222E0,-5.937435997E-1,1.774567970E0,3.115285910E0
2.310333333E-1,3.046784102E0,-9.288838546E-1,1.584934580E0,3.557771241E0
2.410003333E-1,3.030923822E0,-1.505628064E0,1.760587277E0,3.814850277E0
2.509673333E-1,3.100166842E0,-2.059418004E0,2.413577424E0,4.435943298E0
2.609343333E-1,3.234885813E0,-2.155331783E0,2.817134707E0,4.800644673E0
2.709013333E-1,3.530517821E0,-1.999729334E0,3.196725422E0,5.165513229E0
2.808683333E-1,3.842615587E0,-1.633475241E0,3.663530867E0,5.554763211E0
2.908353333E-1,4.027479696E0,-1.266955684E0,3.859918376E0,5.720554105E0
3.008023333E-1,3.882086924E0,-1.114415569E0,3.463319280E0,5.320441841E0
3.107693333E-1,3.366769470E0,-1.204500550E0,2.359728661E0,4.284189258E0
3.207363333E-1,2.539828166E0,-7.814632688E-1,-3.957161665E-2,2.657626359E0
3.307033333E-1,9.710927117E-1,2.614772514E-2,-2.976262588E0,3.130789637E0
3.406693333E-1,-3.783350256E-1,6.054161771E-1,-3.287516894E0,3.364139335E0
3.506363333E-1,-6.140795580E-1,9.651662663E-1,-2.879520405E0,3.098431440E0
3.606033333E-1,-1.107864641E0,3.726345751E-1,-1.483535675E0,1.888676438E0
3.705703333E-1,-2.226339639E0,-1.296098061E0,1.482843364E0,2.972420363E0
3.805373333E-1,-7.126855409E-1,-3.040692180E0,-4.269401227E0,5.289755802E0
3.905043333E-1,3.438284133E-1,-3.423273454E0,-4.271354781E0,5.484659587E0
4.004713333E-1,8.032847853E-1,-3.551027222E0,-4.034006358E0,5.433991909E0
4.104383333E-1,1.028495997E0,-3.498166931E0,-4.500770288E0,5.792400976E0
4.204053333E-1,1.435160783E0,-3.081405758E0,-5.171776875E0,6.188862898E0
4.303723333E-1,1.633678139E0,-2.366629107E0,-5.724959144E0,6.406636777E0
4.403393333E-1,1.784223916E0,-1.718308985E0,-6.120109885E0,6.602407572E0
4.503063333E-1,9.063625726E-1,-8.653800228E-1,-4.506894661E0,4.677870796E0
4.602723333E-1,-7.784290025E-1,-3.600636461E-1,-2.381714192E0,2.531434383E0
4.702393333E-1,-6.319752538E-1,-1.408175151E0,-1.918812933E0,2.462558233E0
4.802063333E-1,-2.116111730E-1,-2.825687429E0,-1.269524658E0,3.104993010E0
4.901733333E-1,-9.305127427E-2,-3.619509519E0,-5.518964660E-1,3.662526097E0
5.001409166E-1,-5.860374811E-1,-3.907955006E0,8.923166835E-1,4.051145681E0
5.101079167E-1,-1.009054151E0,-3.951650664E0,2.437898918E0,4.751534950E0
5.200749167E-1,-1.133823062E0,-3.847582505E0,2.749051482E0,4.862790343E0
5.300419166E-1,-1.191906087E0,-4.047616337E0,3.765013973E0,5.655012674E0
