"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.701958340E-3,-1.093835708E-1,-1.366546338E0,5.448067170E-1,1.475204399E0
1.366595837E-2,5.031853589E-1,-1.310427686E0,-4.163012892E-1,1.464145822E0
2.363095834E-2,1.030945396E0,-1.037562105E0,-1.056518778E0,1.804332414E0
3.359595838E-2,1.636525441E0,-6.526966166E-1,-6.079198086E-1,1.863811924E0
4.355995834E-2,2.509607416E0,-5.227820098E-1,8.151053703E-1,2.689949289E0
5.352495832E-2,2.821668638E0,-6.582314448E-1,1.946640417E0,3.490629091E0
6.348995835E-2,2.702708497E0,-1.030346202E0,2.576335841E0,3.873467811E0
7.345395832E-2,2.090414679E0,-1.496116252E0,2.230153193E0,3.403201527E0
8.341895835E-2,1.370863630E0,-1.723427637E0,1.486662766E0,2.656997571E0
9.338395833E-2,9.609972015E-1,-1.766956796E0,7.085305095E-1,2.132526066E0
1.033479584E-1,4.870490903E-1,-1.675153025E0,-4.926828825E-1,1.812757815E0
1.133129583E-1,-1.301917648E-1,-1.326206836E0,-1.464728690E0,1.980203172E0
1.232779584E-1,-5.876118439E-1,-8.004934707E-1,-2.055767587E0,2.283036979E0
1.332419583E-1,-7.348043883E-1,-3.944117989E-1,-2.822952102E0,2.943561911E0
1.432069584E-1,-8.810236636E-1,-1.641078083E-1,-3.191113265E0,3.314564517E0
1.531719583E-1,-8.257455486E-1,6.894101143E-2,-2.989366783E0,3.102083548E0
1.631359584E-1,-4.230881524E-1,4.268369485E-1,-2.248401768E0,2.327338367E0
1.731009583E-1,2.760163531E-1,7.833437334E-1,-1.081269457E0,1.363435393E0
1.830659583E-1,9.797518533E-1,9.441602902E-1,-8.861630738E-2,1.363526750E0
1.930299583E-1,1.430746720E0,1.040671362E0,-1.969985425E-2,1.769299619E0
2.029949583E-1,1.354420967E0,1.022227928E0,-7.165897268E-1,1.841984509E0
2.129599584E-1,9.327085184E-1,9.454981332E-1,-1.700557423E0,2.157732015E0
2.229239583E-1,4.787879978E-1,1.060917492E0,-2.440660558E0,2.703998489E0
2.328889584E-1,2.389486603E-1,1.182904006E0,-3.037926155E0,3.268845923E0
2.428539583E-1,4.333429992E-2,1.134691228E0,-3.613250660E0,3.787477046E0
2.528179584E-1,-1.366801277E-1,1.054996309E0,-3.857965990E0,4.001949556E0
2.627829583E-1,-3.783391187E-1,9.783973458E-1,-3.808388618E0,3.950218440E0
2.727479584E-1,-3.479205872E-1,9.747960457E-1,-3.271829984E0,3.431639187E0
2.827119583E-1,1.567711607E-2,1.013990956E0,-2.317666715E0,2.529822609E0
