"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.979791654E-3,-3.540225953E-2,2.503807563E0,-5.921019208E-1,2.573109076E0
1.394479163E-2,-4.697606277E-1,2.285494750E0,-1.306262130E0,2.674038528E0
2.391079167E-2,-1.078256972E0,2.032887433E0,-1.496177355E0,2.744779789E0
3.387579165E-2,-1.431417688E0,2.009559089E0,-1.360213804E0,2.817350869E0
4.384179163E-2,-1.469723967E0,2.009784499E0,-1.035521427E0,2.696595427E0
5.380679166E-2,-1.585308802E0,2.343869843E0,-2.679007101E-1,2.842305513E0
6.377279165E-2,-1.565656603E0,2.942414811E0,7.825398874E-1,3.423660934E0
7.373779168E-2,-1.321386538E0,3.341623519E0,1.809010994E0,4.023062378E0
8.370379166E-2,-7.181944951E-1,2.993535848E0,1.842483965E0,3.587730113E0
9.366979165E-2,-8.178304651E-1,2.247951679E0,1.037977842E0,2.607591115E0
1.036347917E-1,-1.533415640E0,1.257857124E0,1.411102706E-1,1.988336033E0
1.136007917E-1,-3.012858849E0,2.422639585E-1,-4.420658755E-1,3.054739352E0
1.235647083E-1,-4.727477948E0,-6.513453982E-1,-3.778558463E-1,4.787073596E0
1.335307083E-1,-5.021929695E0,-1.264857411E0,3.479900229E-1,5.190446916E0
1.434957083E-1,-4.339302936E0,-1.503302918E0,1.122174824E0,4.727446030E0
1.534617083E-1,-3.061544228E0,-1.304727235E0,2.528519066E0,4.179566352E0
1.634267083E-1,-1.891854053E0,-5.599705207E-1,3.654670581E0,4.153227155E0
1.733927083E-1,-1.091219372E0,-5.788414133E-2,4.935519542E0,5.055043367E0
1.833577083E-1,-1.624906147E-1,1.231878146E-2,6.017463183E0,6.019669270E0
1.933237083E-1,1.004571237E0,-4.105131304E-1,5.581770188E0,5.686285504E0
2.032887083E-1,1.985420321E0,-1.655109500E0,4.621533417E0,5.295266984E0
2.132547083E-1,3.430473130E0,-3.343760676E0,3.040152774E0,5.673747461E0
2.232197083E-1,3.423009744E0,-4.285797404E0,1.408420588E0,5.662923596E0
2.331857083E-1,1.209217061E0,-3.783343532E0,1.916386338E0,4.410037503E0
2.431507083E-1,7.960095334E-1,-3.321774853E0,1.550617272E0,3.751297546E0
2.531167083E-1,1.624759966E0,-2.875015710E0,4.046191370E-1,3.327052288E0
2.630817083E-1,1.729407585E0,-2.248054736E0,7.156822389E-1,2.925201148E0
2.730477083E-1,2.145584913E0,-1.122185568E0,4.816743296E-1,2.468774033E0
2.830127083E-1,1.546443821E0,4.828266697E-1,4.617452645E-1,1.684582671E0
2.929787083E-1,-2.825971019E-1,1.525239186E0,1.229353117E0,1.979273802E0
3.029437083E-1,-1.437254378E0,1.650654068E0,8.827857220E-1,2.360014752E0
3.129097083E-1,-1.551727658E0,1.285003261E0,-3.805327016E-1,2.050340763E0
3.228747083E-1,-1.629371080E0,-8.250621370E-2,-1.841988121E0,2.460605135E0
3.328407083E-1,-1.752626878E0,-1.354167636E0,-3.673894472E0,4.289868477E0
3.428067083E-1,-2.061989902E0,-1.613889700E0,-5.049603982E0,5.688140530E0
3.527717083E-1,-2.978497978E0,-5.694317176E-1,-4.483861894E0,5.413013964E0
3.627377083E-1,-3.411908221E0,4.340313992E-1,-2.562487881E0,4.289037783E0
3.727027084E-1,-2.552795536E0,9.084826268E-1,-2.236104489E0,3.513156560E0
3.826687083E-1,-6.494394252E-1,6.902951635E-1,-3.501299869E0,3.627310264E0
3.926337083E-1,1.377687038E0,8.447762621E-1,-3.346822863E0,3.716569895E0
4.025997084E-1,2.850371743E0,1.151464989E0,-3.020961628E0,4.310069587E0
4.125647083E-1,3.757994390E0,1.162878023E0,-3.064171967E0,4.986377139E0
4.225307083E-1,4.015444372E0,6.430387706E-1,-3.496387623E0,5.363023287E0
4.324957083E-1,3.393930956E0,-2.933665037E-2,-4.785507470E0,5.866916543E0
4.424617083E-1,2.874003557E0,-5.148970395E-2,-6.096439771E0,6.740113168E0
4.524267083E-1,2.196367688E0,2.005536497E-1,-6.693892479E0,7.047868423E0
4.623927083E-1,1.349904285E0,-2.123416364E-2,-7.141178164E0,7.267676247E0
4.723577083E-1,7.429057056E-1,-1.197705647E-1,-7.445742670E0,7.483671411E0
4.823237083E-1,-7.184234867E-1,1.591278809E-1,-7.188796134E0,7.226357578E0
4.922887083E-1,-2.203671738E0,5.275507066E-1,-6.879197760E0,7.242778520E0
5.022547083E-1,-2.420131568E0,-8.097545832E-2,-6.250958877E0,6.703587152E0
5.122197083E-1,-1.814747112E0,-1.454084419E0,-4.810490284E0,5.343078266E0
5.221857083E-1,-1.063684395E0,-2.799824025E0,-4.992853246E0,5.822286715E0
5.321507083E-1,-1.108890242E0,-3.486401456E0,-6.627730064E0,7.570431856E0
5.421167083E-1,-1.201371559E0,-2.939329235E0,-7.648486102E0,8.281442485E0
5.520817083E-1,-1.621030612E0,-2.687294067E0,-8.267393414E0,8.843024568E0
5.620477083E-1,-1.727297909E0,-3.195127086E0,-8.618571923E0,9.352656155E0
5.720127083E-1,-1.699301441E0,-4.273155139E0,-8.472569287E0,9.640119842E0
5.819787083E-1,-1.839955044E0,-5.738041120E0,-7.588550388E0,9.690028248E0
5.919437083E-1,-1.331056078E0,-7.468562599E0,-6.291235083E0,9.855494733E0
6.019097083E-1,-1.350852411E0,-8.598745185E0,-5.478954502E0,1.028504562E1
6.118747083E-1,-1.790575308E0,-9.397653183E0,-5.337780497E0,1.095508767E1
6.218407083E-1,-2.415214645E0,-1.051361651E1,-4.167742120E0,1.156457817E1
