"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.483291636E-3,1.749919617E-1,-1.782669872E0,2.158178061E0,2.804686543E0
1.544929168E-2,-8.088701919E-1,-1.852663090E0,7.534382951E-1,2.157382854E0
2.541529166E-2,3.047808534E-1,-2.578589943E0,-6.390831292E-2,2.597325882E0
3.538129164E-2,2.061177139E0,-2.784755166E0,1.269603011E0,3.689878634E0
4.534729169E-2,1.796282190E0,-2.756628304E0,2.016376650E0,3.858938210E0
5.531329167E-2,1.584684904E0,-2.482551180E0,3.089373466E0,4.268315244E0
6.527929165E-2,2.069581634E0,-2.306796888E0,3.486550267E0,4.664816480E0
7.524529163E-2,2.455805723E0,-1.617603997E0,2.307489637E0,3.737931629E0
8.521129168E-2,1.857046163E0,-9.094855705E-1,5.137854838E-1,2.130671250E0
9.517729166E-2,1.358265804E0,-2.945330232E-1,-7.820101297E-1,1.594733689E0
1.051422916E-1,9.533376414E-1,1.700969651E-1,-1.595689949E0,1.866550843E0
1.151082917E-1,7.959001905E-1,4.197457378E-1,-1.984659013E0,2.179108762E0
1.250742917E-1,2.520687890E-1,3.104805730E-1,-1.241834584E0,1.304641711E0
1.350402916E-1,-9.999931598E-1,3.678398582E-1,-3.238948166E-1,1.113642821E0
1.450062917E-1,-1.572040885E0,1.984425125E-1,-1.127491112E0,1.944718022E0
1.549722917E-1,-2.355308751E0,-1.946321744E-1,-9.888594764E-1,2.561875106E0
1.649382917E-1,-2.904047720E0,-4.715390584E-1,-1.402398541E0,3.259227503E0
1.749042916E-1,-3.201070488E0,-9.735162364E-1,-1.984208778E0,3.889944807E0
1.848702917E-1,-3.570220415E0,-1.137406528E0,-1.941845700E0,4.220300007E0
1.948362917E-1,-4.204445677E0,-1.199559361E0,-1.859423933E0,4.751185481E0
2.048013333E-1,-4.525382972E0,-1.378465303E0,-2.233097851E0,5.231250677E0
2.147673334E-1,-5.087796825E0,-1.709038663E0,-2.381193790E0,5.871675532E0
2.247333333E-1,-5.874233297E0,-2.089693571E0,-2.128976482E0,6.588321251E0
2.346993333E-1,-6.291853133E0,-2.675827385E0,-1.492920456E0,6.998305476E0
2.446653333E-1,-6.662660161E0,-3.605755699E0,-2.999516380E-1,7.581720489E0
2.546313333E-1,-6.869863265E0,-4.639352222E0,1.270522778E0,8.386467578E0
2.645973333E-1,-6.601335148E0,-5.324073454E0,3.083482981E0,9.023926594E0
2.745633333E-1,-6.027537936E0,-5.660621645E0,4.468905301E0,9.399200262E0
2.845293334E-1,-5.388253078E0,-5.717232049E0,5.459263419E0,9.566795211E0
2.944953333E-1,-4.011822022E0,-5.584123693E0,5.829613194E0,9.014518475E0
3.044603333E-1,-2.674913465E0,-6.140748217E0,4.288415787E0,7.953267296E0
3.144263334E-1,-2.314389351E0,-7.607759660E0,2.105049675E0,8.225912670E0
3.243923333E-1,-4.429213232E-1,-4.798411691E0,3.140469360E0,5.751824220E0
3.343583333E-1,2.414774934E0,-2.508923292E0,3.226578382E0,4.747277338E0
3.443243333E-1,4.010525694E0,-2.229238688E0,2.398813789E0,5.177656716E0
3.542903333E-1,4.885841013E0,-1.281346559E0,2.416812104E0,5.599488562E0
3.642563333E-1,5.604457385E0,1.639338537E-1,2.559061997E0,6.163247131E0
3.742223333E-1,6.513114697E0,2.138557437E0,2.562975538E0,7.318670274E0
3.841883334E-1,7.391965828E0,3.843336841E0,1.916081114E0,8.548904240E0
3.941533333E-1,8.206644936E0,4.877768347E0,2.484540403E-1,9.550045789E0
4.041193333E-1,8.723382679E0,5.450900731E0,-1.641329221E0,1.041651025E1
4.140853334E-1,8.446316459E0,5.494720935E0,-3.543365323E0,1.068118241E1
