"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.539958339E-3,-3.635126263E-1,-2.234302962E-1,-8.610633159E-1,9.609852031E-1
7.428041659E-3,-4.132051885E-1,-1.331829080E-1,-1.226476287E0,1.301045848E0
1.739504165E-2,-3.861797963E-1,-1.208561003E-1,-1.486952788E0,1.541028755E0
2.736304165E-2,-4.264644809E-1,-1.704077446E-1,-1.826527498E0,1.883378202E0
3.733104165E-2,-6.996567750E-1,-2.726352006E-1,-2.086048563E0,2.217081001E0
4.729804164E-2,-1.033399618E0,-3.866100052E-1,-2.221559540E0,2.480465452E0
5.726604164E-2,-1.156629396E0,-4.032769087E-1,-2.266410023E0,2.576244984E0
6.723404163E-2,-9.377464794E-1,-3.907369700E-1,-2.019739383E0,2.260838565E0
7.720104163E-2,-4.567948656E-1,-3.922502294E-1,-1.400338567E0,1.524293244E0
8.716904162E-2,4.852370381E-2,-4.151833016E-1,-5.499084127E-1,6.907466874E-1
9.713604167E-2,5.286811195E-1,-3.647671464E-1,3.610193735E-1,7.368132635E-1
1.071040417E-1,1.000349109E0,-3.526593170E-1,8.550254810E-1,1.362400641E0
1.170720417E-1,6.387511535E-1,-5.227206141E-1,7.887256569E-1,1.141633934E0
1.270390417E-1,3.887117869E-1,-6.084866962E-1,1.755275667E-1,7.430766040E-1
1.370070417E-1,8.235028490E-2,-6.186976889E-1,-1.284563112E-1,6.372357676E-1
1.469740417E-1,-6.175868641E-1,-4.166272715E-1,-2.538288009E-1,7.870329588E-1
1.569420416E-1,-1.218727265E0,-1.370677981E-1,-7.553257763E-2,1.228734673E0
1.669100416E-1,-1.313865703E0,-9.979939967E-2,5.213313156E-1,1.417035407E0
1.768770416E-1,-8.774157853E-1,-1.901706026E-1,1.105209712E0,1.423907240E0
1.868450416E-1,-5.807670933E-1,-2.833749278E-1,1.643668692E0,1.766136613E0
1.968120416E-1,-4.809750026E-1,-2.936002462E-1,2.005217239E0,2.082890835E0
2.067800416E-1,-2.320154706E-1,-4.063260855E-1,1.978639305E0,2.033210654E0
2.167480416E-1,-2.404413083E-1,-6.323532763E-1,2.176466398E0,2.279185966E0
2.267150417E-1,-3.025442934E-1,-8.059220257E-1,2.502708287E0,2.646619000E0
2.366830417E-1,-3.900165930E-1,-1.043088893E0,2.574875792E0,2.805375683E0
2.466498333E-1,-4.691291285E-1,-1.195320714E0,3.052272298E0,3.311380367E0
2.566178333E-1,-5.209240571E-1,-1.513047888E0,3.569395373E0,3.911682389E0
2.665858333E-1,-1.745662844E-1,-1.850314556E0,3.538099321E0,3.996534016E0
2.765528333E-1,6.579991642E-1,-1.934738117E0,3.579866567E0,4.122089169E0
2.865208333E-1,1.100918733E0,-1.915950136E0,3.292184141E0,3.965017453E0
2.964878333E-1,1.386773027E0,-1.959052740E0,3.004134511E0,3.845237473E0
3.064558333E-1,1.569185982E0,-2.069251705E0,2.449928395E0,3.570195569E0
3.164238333E-1,1.344104286E0,-1.943872491E0,1.976614999E0,3.080951711E0
3.263908333E-1,8.731556502E-1,-1.932826662E0,1.577305718E0,2.643125616E0
3.363588333E-1,7.551727255E-1,-1.998973289E0,8.783833534E-1,2.310354382E0
3.463268333E-1,1.097915676E0,-1.581136083E0,1.989316320E-1,1.935196098E0
3.562938333E-1,2.033112697E0,6.267826340E-1,-4.637268859E-1,2.177486241E0
3.662618333E-1,2.680470367E0,2.229255061E0,-1.242766630E0,3.701211749E0
3.762288333E-1,2.804327843E0,2.607778951E0,-2.119049664E0,4.376658221E0
3.861968333E-1,2.200842855E0,2.488605972E0,-5.459834107E0,6.391138978E0
3.961648333E-1,1.773672469E0,2.621388638E0,-8.014225348E0,8.616577067E0
4.061318333E-1,1.836526237E0,2.454518459E0,-7.063108479E0,7.699674725E0
4.160998333E-1,9.749830104E-1,1.358289193E0,-6.050195897E0,6.276974732E0
4.260668333E-1,1.250211451E-2,4.400763604E-1,-2.959487511E0,2.992054450E0
4.360348333E-1,-6.731779513E-1,-3.370978296E-2,6.748142946E-1,9.537710604E-1
4.460028333E-1,-2.642443000E-1,-4.175569788E-1,2.308982431E0,2.361266344E0
4.559698333E-1,1.670396022E-1,-8.855499932E-1,2.244784681E0,2.418916965E0
4.659378333E-1,-3.524705250E-1,-9.645409065E-1,1.279120524E0,1.640342631E0
4.759048333E-1,-1.567711899E0,-8.535633847E-1,2.287407374E-1,1.799614785E0
4.858728333E-1,-2.308259130E0,-7.921646968E-1,-4.082835871E-1,2.474324273E0
4.958408333E-1,-2.410876011E0,-7.046567291E-1,-1.656042570E-1,2.517198644E0
5.058078333E-1,-2.326585766E0,-2.071133485E-1,4.223011172E-1,2.373654461E0
5.157758333E-1,-2.438522816E0,5.093114868E-1,8.926178151E-1,2.646234736E0
5.257438333E-1,-2.667100708E0,1.513451492E0,7.025189871E-1,3.146028374E0
5.357108333E-1,-1.148784041E0,2.018938315E0,-8.560136604E-1,2.475596106E0
5.456788333E-1,-1.825413311E0,1.406361491E0,1.007034962E0,2.514777488E0
5.556458333E-1,-3.725291498E0,4.821397680E-1,4.201125044E0,5.635575138E0
5.656138333E-1,-1.460409791E0,1.282253462E-1,8.933761990E-1,1.716787561E0
5.755818333E-1,-1.026280633E0,-2.145340499E-1,7.109500873E-1,1.266778127E0
5.855488333E-1,-5.436109614E-1,-4.827645430E-1,-9.969853520E-1,1.233918260E0
5.955168333E-1,-5.572443295E-1,-2.445475155E-1,-8.659083188E-1,1.058358137E0
6.054838333E-1,1.071090040E-1,-6.576012611E-2,2.003291166E-1,2.364920461E-1
6.154518333E-1,1.148177392E0,-9.696320772E-2,1.170507324E-1,1.158194310E0
6.254198333E-1,2.374104918E0,-2.395893690E-1,-1.032101390E0,2.599809706E0
6.353868333E-1,3.943163138E0,-2.617456385E-1,-2.303579019E0,4.574223717E0
6.453548333E-1,4.486075942E0,1.681635833E-1,-2.795024046E0,5.288224255E0
6.553218333E-1,3.993498310E0,9.817451692E-1,-1.949577473E0,4.551121252E0
6.652898333E-1,3.909858567E0,1.291467505E0,-1.412780857E-1,4.120053620E0
6.752578333E-1,4.223965145E0,1.046552199E0,-5.581839770E-1,4.387336596E0
6.852248333E-1,4.885539882E0,5.833848917E-1,-2.475695904E0,5.507985846E0
6.951928333E-1,5.127898200E0,9.229897150E-1,-4.388906035E0,6.812469901E0
7.051608333E-1,4.694657819E0,1.233999900E0,-6.054638611E0,7.760233018E0
7.151278333E-1,3.389368958E0,1.193583068E0,-7.005894644E0,7.873691779E0
7.250958333E-1,1.416365785E0,9.231990454E-1,-6.375680571E0,6.596036026E0
7.350628333E-1,-1.129819474E-1,5.700877386E-1,-4.807093636E0,4.842098117E0
7.450308333E-1,-3.687224954E-1,-5.424190065E-1,-3.164797871E0,3.232045826E0
7.549988333E-1,-1.492552374E0,-1.532183924E0,-1.162833438E0,2.434642021E0
7.649658333E-1,-2.402905963E0,-2.437695727E0,-1.580894154E-1,3.426559468E0
7.749338333E-1,-2.693004751E0,-3.026793641E0,-7.203535795E-2,4.052029544E0
7.849008333E-1,-3.735629960E0,-4.241430193E0,1.073233044E0,5.752954932E0
7.948688333E-1,-2.879476551E0,-4.460820941E0,2.962111157E0,6.079836443E0
8.048368333E-1,5.070880830E-1,-3.528702845E0,3.176924996E0,4.775116179E0
8.148038333E-1,8.292427683E-1,-2.473382454E0,2.602098089E0,3.684586652E0
