"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.445583348E-3,-8.650413959E-1,6.102015384E-1,-1.208688473E0,1.606726597E0
7.521416643E-3,-1.436979413E0,1.063089587E0,-9.348335427E-1,2.017172044E0
1.748841663E-2,-1.354099809E0,1.080659447E0,-5.294168454E-1,1.811544459E0
2.745541662E-2,-5.280420189E-1,6.221196257E-1,-2.920345080E-1,8.666864232E-1
3.742241667E-2,5.651607285E-1,1.017387749E-1,-2.002308834E-1,6.081528049E-1
4.738941666E-2,1.382509091E0,-4.129674992E-1,-3.261658752E-1,1.479276080E0
5.735741666E-2,1.392293821E0,-8.261574849E-1,-2.572435749E-1,1.639265852E0
6.732441665E-2,8.762640300E-1,-8.478246349E-1,-5.070839900E-1,1.320522410E0
7.729141664E-2,9.716669083E-1,-8.038839787E-1,-1.752518705E0,2.159094218E0
8.725841664E-2,1.408317093E0,-1.234175316E0,-2.054350222E0,2.779730307E0
9.722541663E-2,2.435584590E-1,-1.100028787E0,-8.266208768E-1,1.397385462E0
1.071924167E-1,-3.912211195E-1,-5.060799500E-1,-1.678092420E-2,6.398847392E-1
1.171604167E-1,4.084163189E-2,-3.741346782E-1,2.800506395E-1,4.691195552E-1
1.271274167E-1,2.045578229E-1,-2.889134105E-1,7.875620610E-1,8.634632948E-1
1.370944167E-1,2.013444856E-1,-2.584714901E-1,1.401063037E0,1.438862310E0
1.470614166E-1,5.066398939E-1,-3.549853393E-1,2.003424482E0,2.096761367E0
1.570284166E-1,7.972225383E-1,-6.448745770E-1,2.709993836E0,2.897497815E0
1.669954166E-1,9.871424416E-1,-7.618955617E-1,3.331951055E0,3.557644288E0
1.769624166E-1,9.020049351E-1,-6.570320347E-1,3.815145661E0,3.975001938E0
1.869304167E-1,1.088286408E0,-8.338665272E-1,3.448405371E0,3.710956790E0
1.968974167E-1,1.716141129E0,-1.007000609E0,2.829056010E0,3.458720647E0
2.068644167E-1,2.129988050E0,-8.182204013E-1,2.411449038E0,3.319852433E0
2.168314166E-1,1.980653670E0,-2.846475743E-1,2.043703027E0,2.860198467E0
2.267984166E-1,1.222158411E0,4.866963935E-1,1.303506922E0,1.851938135E0
2.367654166E-1,-3.183346993E-1,1.180222326E0,4.003038919E-1,1.286275603E0
2.467324166E-1,-1.878620342E0,1.442670362E0,-1.998625088E-1,2.377069032E0
2.567004166E-1,-2.355528314E0,1.219000476E0,-6.093219709E-1,2.721350595E0
2.666674167E-1,-1.980966204E0,9.392574730E-1,-6.315080613E-1,2.281498221E0
2.766344167E-1,-1.254612504E0,7.400991882E-1,-2.954539597E-1,1.486301580E0
2.866014167E-1,-4.343247467E-1,7.291393865E-1,-6.301778197E-2,8.510308287E-1
2.965684166E-1,-7.017301977E-2,6.290639982E-1,1.916834235E-2,6.332560240E-1
3.065354166E-1,-1.287673831E-2,5.324378825E-1,-7.320304692E-2,5.376007768E-1
3.165024166E-1,5.576898873E-2,5.573979650E-1,-1.746738732E-2,5.604531927E-1
3.264704166E-1,2.967228055E-2,6.130873585E-1,3.660058790E-1,7.146445669E-1
3.364374167E-1,-4.401374638E-2,4.396251015E-1,5.616858745E-1,7.146316963E-1
3.464044167E-1,-1.999996260E-1,-1.010566972E-2,7.551714098E-1,7.812719329E-1
3.563714167E-1,-3.360134634E-1,-4.049724551E-1,7.641363609E-1,9.277996093E-1
3.663384166E-1,-5.209680574E-1,-6.291641318E-1,5.815827799E-1,1.002743113E0
3.763054166E-1,-6.513644747E-1,-5.716493107E-1,2.128544372E-1,8.923932008E-1
