"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.226083317E-3,5.995579979E-1,-9.359111845E-2,-5.736498624E-1,8.350468579E-1
1.119208330E-2,8.354408169E-1,-1.306998879E-1,-1.161683291E0,1.436854859E0
2.115908329E-2,1.100518784E0,-2.956469178E-1,-1.417859749E0,1.819031325E0
3.112608334E-2,1.011320094E0,-3.700343183E-1,-1.650565483E0,1.970801903E0
4.109208332E-2,8.851880506E-1,-4.774657962E-1,-1.293811653E0,1.638743441E0
5.105908331E-2,9.853730741E-1,-7.686205906E-1,-2.978045404E-1,1.284688776E0
6.102608331E-2,7.437231463E-1,-1.107480186E0,6.409366965E-1,1.480012274E0
7.099208329E-2,2.016760227E-1,-1.215795178E0,1.488671869E0,1.932608359E0
8.095908334E-2,7.488470614E-2,-7.066213936E-1,1.919935598E0,2.047211326E0
9.092608333E-2,7.662325877E-1,-3.809738740E-1,1.983302459E0,2.160032897E0
1.008920833E-1,1.448913141E0,-2.641853893E-1,1.571544456E0,2.153809460E0
1.108590833E-1,1.789966612E0,8.697280124E-2,7.213557923E-1,1.931812341E0
1.208260833E-1,1.944736271E0,1.734884964E-1,-5.458861130E-1,2.027335461E0
1.307920833E-1,1.443119135E0,1.883782849E-2,-1.773121369E0,2.286243008E0
1.407590833E-1,5.607421339E-1,-3.024764657E-2,-2.774076980E0,2.830344458E0
1.507250833E-1,-5.551925415E-1,1.823103368E-2,-3.026510051E0,3.077065845E0
1.606920833E-1,-1.523495547E0,3.315037984E-1,-1.781589891E0,2.367487273E0
1.706590833E-1,-1.549355443E0,4.222201332E-1,3.019022691E-1,1.633988099E0
1.806250833E-1,-8.451097727E-1,-1.643681556E-2,2.216999881E0,2.372671315E0
1.905920833E-1,2.652878818E-1,-9.885465042E-1,4.172585369E0,4.296285664E0
2.005590833E-1,1.050221912E0,-2.520488500E0,5.031123272E0,5.724336619E0
2.105250833E-1,1.217928827E0,-4.065870759E0,6.527707009E0,7.786245209E0
2.204920833E-1,1.453471923E0,-4.225949105E0,2.832967798E0,5.291212811E0
2.304590833E-1,9.752293244E-1,-4.124460445E0,3.750298870E-1,4.254749536E0
