"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.023332968E-4,2.336585382E-1,4.191064909E-1,-6.500588207E0,6.518273821E0
1.086933335E-2,-3.984438926E-2,6.078894031E-1,-6.284814840E0,6.314270716E0
2.083533333E-2,-1.315589900E-1,7.514423481E-1,-5.717183517E0,5.767855818E0
3.080133331E-2,7.374157548E-2,9.020999524E-1,-4.558599250E0,4.647585316E0
4.076733330E-2,4.680642043E-1,9.833563694E-1,-3.066474016E0,3.254126110E0
5.073433334E-2,7.211642960E-1,1.131684443E0,-1.679916751E0,2.150094861E0
6.070033333E-2,7.194164170E-1,1.351260255E0,-5.529027718E-1,1.627625796E0
7.066633331E-2,4.247570939E-1,1.597846694E0,1.713994324E-2,1.653428688E0
8.063333330E-2,4.675711378E-2,1.736745256E0,8.705159247E-2,1.739554049E0
9.059933334E-2,-1.528501640E-1,1.707606533E0,-2.265217191E-1,1.729333784E0
1.005653333E-1,-3.377725983E-1,1.613529511E0,-8.068701518E-1,1.835376597E0
1.105323333E-1,-6.880462512E-1,1.813955984E0,-1.248622617E0,2.307141607E0
1.204983333E-1,-1.039720897E0,2.174661655E0,-1.423616332E0,2.799438572E0
1.304643333E-1,-1.231658528E0,2.472459763E0,-1.267643609E0,3.039236800E0
1.404313333E-1,-1.263631688E0,2.596626557E0,-7.494972718E-1,2.983451136E0
1.503973333E-1,-1.211520133E0,2.577556155E0,7.803167760E-2,2.849151753E0
1.603633333E-1,-1.073615160E0,2.386719116E0,1.107158589E0,2.841632945E0
1.703293333E-1,-9.797778735E-1,1.905064082E0,2.423455126E0,3.234558484E0
1.802963333E-1,-7.768053769E-1,1.483024482E0,3.582561548E0,3.954432381E0
1.902623333E-1,-8.086851275E-1,1.256940719E0,3.998029025E0,4.268267528E0
2.002283333E-1,-1.122018996E0,1.426449162E0,3.901459334E0,4.302913987E0
2.101953333E-1,-1.373999053E0,1.997291923E0,3.628941663E0,4.364202793E0
2.201613333E-1,-1.229901586E0,2.575362280E0,3.226118206E0,4.307317897E0
2.301273333E-1,-8.019584906E-1,2.859277052E0,2.942887266E0,4.180811900E0
