"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.588958342E-3,-9.005177689E-1,1.599302359E0,5.899554080E-1,1.927886841E0
1.455495838E-2,-1.391249363E0,1.139398821E0,6.090565073E-1,1.898619048E0
2.451995836E-2,-1.629713727E0,4.981047133E-1,1.139070354E0,2.049769843E0
3.448595834E-2,-1.560473192E0,-2.567518240E-1,1.835394216E0,2.422740186E0
4.445095838E-2,-1.365256442E0,-9.377647519E-1,2.486729016E0,2.987833510E0
5.441695836E-2,-1.081409498E0,-1.457015336E0,2.793880915E0,3.331382710E0
6.438195833E-2,-5.857868548E-1,-1.696860228E0,2.652084766E0,3.202504407E0
7.434695837E-2,-1.238381072E-1,-1.670944199E0,2.186830587E0,2.754926208E0
8.431295835E-2,3.302038892E-1,-1.395161150E0,1.653713039E0,2.188669929E0
9.427795839E-2,7.808135701E-1,-1.105720394E0,1.003040729E0,1.684748683E0
1.042439584E-1,1.019614077E0,-8.533717422E-1,4.379324788E-1,1.399871798E0
1.142089583E-1,1.074596249E0,-7.519236470E-1,-7.962738276E-3,1.311567640E0
1.241749584E-1,9.350933053E-1,-8.468494655E-1,-4.126152045E-1,1.327329957E0
1.341399584E-1,8.519353737E-1,-9.686653863E-1,-8.514417225E-1,1.545658280E0
1.441059583E-1,4.412581923E-1,-1.311601807E0,-9.546830857E-1,1.681198348E0
1.540709584E-1,-3.806967891E-1,-1.566772836E0,-8.241627073E-1,1.810787490E0
1.640359584E-1,-3.410320190E-1,-1.199421074E0,-6.973459554E-1,1.428707504E0
1.740019583E-1,1.545291737E-1,-1.101910129E0,-8.975996429E-1,1.429604951E0
1.839669584E-1,2.341495764E-1,-1.099047843E0,-1.424543116E0,1.814402181E0
1.939329584E-1,3.896782585E-1,-9.783066409E-1,-2.026385913E0,2.283675305E0
2.038979584E-1,5.271918337E-1,-7.578957738E-1,-2.451223553E0,2.619319404E0
2.138639584E-1,4.990661782E-1,-5.258630539E-1,-2.759941337E0,2.853572355E0
2.238289583E-1,2.936476452E-1,-3.398077217E-1,-2.929593621E0,2.963817979E0
2.337949584E-1,1.215777564E-1,-9.832063884E-2,-2.794466221E0,2.798837180E0
2.437599584E-1,8.492823092E-2,1.711068524E-1,-2.561025492E0,2.568139780E0
2.537249583E-1,-1.145614996E-1,4.071402372E-1,-1.776184725E0,1.825847663E0
2.636909584E-1,-6.693817927E-1,8.319319028E-1,7.900465429E-2,1.070712104E0
2.736559584E-1,1.503475557E-1,1.333261355E0,-3.045212370E-1,1.375835533E0
2.836219583E-1,2.528406215E-1,8.810736573E-1,5.936333066E-1,1.092071276E0
2.935869584E-1,7.814800065E-1,4.441224875E-1,7.145870554E-1,1.148298935E0
3.035529584E-1,1.287419623E0,-6.853521466E-3,9.155207741E-1,1.579770409E0
3.135179583E-1,1.799507807E0,-4.822479415E-1,6.908953071E-1,1.986989620E0
3.234839584E-1,2.003168520E0,-4.425984107E-1,3.914769351E-1,2.088499860E0
3.334489584E-1,1.958312629E0,-1.849823682E-1,9.972016990E-2,1.969556026E0
3.434139584E-1,1.760955944E0,1.011160465E-1,-2.530283171E-1,1.781912911E0
3.533799584E-1,1.392419683E0,1.115670674E-1,-7.263762116E-2,1.398769462E0
3.633449583E-1,4.922070654E-1,-2.379579958E-1,1.159095313E0,1.281559108E0
3.733109584E-1,-6.115412816E-1,-6.734765978E-1,3.160179740E0,3.288508697E0
3.832759584E-1,-8.784850949E-1,-1.175543969E0,4.547278456E0,4.778219443E0
3.932419583E-1,-6.039705992E-2,-1.844351419E0,5.560890951E0,5.859077413E0
4.032069584E-1,9.502552816E-1,-2.765248269E0,6.822910708E0,7.423051503E0
4.131729584E-1,2.014356729E0,-3.498176286E0,7.564762160E0,8.574409420E0
4.231379583E-1,3.015927760E0,-3.465275758E0,8.755028395E0,9.887086453E0
4.331029584E-1,3.363665476E0,-2.808838970E0,9.613470404E0,1.056516138E1
4.430689584E-1,3.113148830E0,-2.040880138E0,1.003320576E1,1.070150014E1
4.530339584E-1,1.776874697E0,-2.065345765E0,8.890827055E0,9.298910825E0
4.629999584E-1,-6.535713601E-1,-3.152431009E0,6.418826006E0,7.180968186E0
4.729649583E-1,-2.617953399E0,-2.580487657E0,2.690241941E0,4.555216597E0
4.829309584E-1,-3.732977078E0,1.902085949E0,-1.647714965E0,4.502001047E0
4.928959584E-1,-2.267640862E0,4.752476257E0,-3.649155487E0,6.406602955E0
5.028619583E-1,-7.163371271E-1,3.900013026E0,-3.698357468E0,5.422277053E0
5.128269584E-1,-7.888893789E-1,2.759736976E0,-7.824948639E-1,2.975028209E0
5.227919584E-1,-8.220427993E-1,1.065925413E0,5.172558648E0,5.344839971E0
5.327579583E-1,7.351920587E-1,-1.369468338E0,2.065106176E0,2.584688455E0
5.427229584E-1,1.307757263E0,-2.340941119E0,1.566504157E0,3.105506344E0
5.526889584E-1,9.125714386E-1,-2.310648741E0,1.129438820E0,2.729013793E0
5.626539584E-1,4.715314570E-1,-1.739910792E0,3.871195900E-1,1.843771422E0
5.726199584E-1,7.773808891E-1,-1.127599578E0,-7.632195175E-2,1.371724060E0
5.825849583E-1,6.488117266E-1,-9.745460773E-1,-4.795710862E-2,1.171749375E0
5.925509584E-1,9.703031914E-1,-1.177757140E0,5.633956003E-1,1.626657545E0
6.025159584E-1,1.069719745E0,-2.020296769E0,1.128674589E0,2.549471650E0
6.124809583E-1,1.161559841E0,-2.791832635E0,2.569857126E-1,3.034731024E0
6.224469584E-1,3.890299485E-1,-3.780126394E0,3.633220071E-1,3.817420953E0
6.324119584E-1,-8.429464491E-1,-5.487369815E0,-2.560285234E-1,5.557637700E0
6.423779583E-1,-2.389149511E0,-7.208878396E0,-1.076671792E0,7.670409720E0
6.523429584E-1,-3.094517847E0,-8.573206301E0,6.999041122E-1,9.141431657E0
6.623089584E-1,-1.984176910E0,-9.582219375E0,2.930180681E0,1.021478561E1
6.722739583E-1,-1.642882826E0,-1.051147526E1,1.353788883E0,1.072487391E1
6.822393333E-1,-2.780686088E0,-1.011046035E1,-1.026617872E0,1.053601290E1
6.922043334E-1,-3.192323931E0,-8.790353179E0,-2.526499438E0,9.687334024E0
7.021693334E-1,-2.854657459E0,-8.112332271E0,-3.699774249E0,9.362015466E0
7.121353333E-1,-2.931348078E0,-7.722490218E0,-4.874728380E0,9.591279033E0
7.221003334E-1,-3.755599955E0,-7.223459598E0,-5.659122419E0,9.915067632E0
7.320663334E-1,-4.611556898E0,-6.678238313E0,-5.583897405E0,9.851153954E0
7.420313334E-1,-5.318856568E0,-5.943107066E0,-3.896528962E0,8.876581253E0
7.519973334E-1,-4.260521645E0,-4.999294538E0,-2.182691343E0,6.921642296E0
7.619623333E-1,-2.663214941E0,-3.861977473E0,-1.808722141E0,5.027828518E0
7.719273334E-1,-1.514214261E0,-2.408686228E0,-2.009722518E0,3.483331563E0
7.818933334E-1,-7.468139845E-1,-1.418171259E0,-2.676853572E0,3.120013765E0
7.918583333E-1,-3.460727209E-1,3.977860808E-1,-3.437809047E0,3.478006777E0
8.018243334E-1,6.618697286E-2,3.081814478E0,-3.923908550E0,4.989891732E0
8.117893334E-1,-1.517469406E-1,4.339951977E0,-4.742172586E0,6.430117505E0
8.217553333E-1,-5.578389913E-1,4.824064595E0,-5.666729647E0,7.462882047E0
8.317203334E-1,-2.796495205E-1,5.982689207E0,-6.227684619E0,8.640302641E0
8.416853333E-1,5.045059526E-1,7.217870244E0,-5.673366237E0,9.194523456E0
8.516513334E-1,2.319977535E0,8.024602402E0,-4.148541618E0,9.326678778E0
8.616163334E-1,4.055287299E0,8.064554672E0,-2.303607670E0,9.316061691E0
8.715823333E-1,4.647728943E0,7.501024001E0,8.289246798E-2,8.824602912E0
8.815473334E-1,5.192102382E0,6.757902533E0,2.655759741E0,8.926378526E0
8.915133334E-1,6.162020388E0,5.927997860E0,4.790981049E0,9.801283248E0
9.014783333E-1,7.428346619E0,5.264652879E0,6.530180966E0,1.120447084E1
9.114443334E-1,9.209747061E0,4.390837663E0,6.606668394E0,1.215512088E1
9.214093334E-1,1.107021998E1,3.782814943E0,4.725320325E0,1.261697712E1
9.313743333E-1,1.086647960E1,2.981067245E0,1.936921760E0,1.143323256E1
9.413403334E-1,9.555297625E0,2.140055932E0,9.378150380E-1,9.836821089E0
9.513053334E-1,8.721474148E0,1.834511725E0,2.498464378E0,9.255909941E0
9.612713333E-1,8.300876325E0,1.415577288E0,1.713123089E0,8.593206476E0
9.712363334E-1,6.158990360E0,5.705764197E-1,-1.618713945E-1,6.187481076E0
9.812023334E-1,4.225036355E0,-2.799015355E-1,-7.458468550E-1,4.299484225E0
9.911673334E-1,3.405611062E0,-4.793464069E-1,1.309889742E0,3.680186248E0
1.001132333E0,2.052873947E0,-1.056836501E0,2.653468217E0,3.517397960E0
1.011098333E0,1.907804672E-1,-1.595264271E0,7.808991587E-1,1.786356285E0
1.021063333E0,-1.864121878E0,-1.768228565E0,-1.768697366E0,3.119274436E0
1.031029333E0,-3.593761598E0,-1.863590805E0,-4.088467324E0,5.753577858E0
1.040994333E0,-4.999074683E0,-1.417073006E0,-6.824568393E0,8.577504144E0
1.050960333E0,-6.145966857E0,-7.669430244E-1,-8.796369964E0,1.075812413E1
1.060925333E0,-6.374915171E0,-5.119584482E-1,-9.348735961E0,1.132698146E1
1.070890333E0,-5.697932144E0,-4.203400341E-1,-8.406037914E0,1.016388655E1
1.080856333E0,-4.396515310E0,-4.945011473E-1,-5.830731182E0,7.319242062E0
1.090821333E0,-2.995901339E0,-1.077798404E0,-2.700597945E0,4.174961496E0
1.100787333E0,-1.304990653E0,-1.468336130E0,1.427930993E0,2.428579526E0
1.110752333E0,5.047024190E-2,-1.653795485E0,5.943808147E0,6.169800810E0
1.120718333E0,1.042145445E0,-2.426126719E0,7.509072694E0,7.959794639E0
1.130683333E0,-9.502889031E-1,-2.975609746E0,4.531161191E0,5.503519247E0
1.140648333E0,-8.984477815E-1,-1.565725015E0,1.621422960E0,2.426461550E0
1.150614333E0,3.091604179E-1,1.997247338E-1,4.522670449E0,4.537622519E0
1.160579333E0,8.895114818E-1,-1.799722728E-1,2.377207743E0,2.544550520E0
1.170545333E0,2.817787841E-1,4.341229447E-1,-1.068120824E0,1.186905265E0
1.180510333E0,9.810742012E-1,1.509235942E0,-2.531754330E0,3.106457742E0
1.190476333E0,2.325521280E0,2.317763194E0,-2.697767892E0,4.249473738E0
1.200441333E0,2.823976242E0,2.347242078E0,-3.160544606E0,4.844938533E0
1.210407333E0,2.372905654E0,2.065291240E0,-4.182947220E0,5.233847207E0
1.220372333E0,1.004440844E0,1.850339991E0,-5.245073478E0,5.651854145E0
1.230337333E0,-4.384414789E-1,1.722329530E0,-6.403370061E0,6.645434378E0
1.240303333E0,-2.159349551E0,1.647422312E0,-7.690226451E0,8.155757085E0
1.250268333E0,-3.386549431E0,1.615359544E0,-8.688401127E0,9.463953595E0
1.260234333E0,-3.545441377E0,1.402419883E0,-8.686133577E0,9.486087318E0
1.270199333E0,-2.649837681E0,9.222917037E-1,-7.567122681E0,8.070539474E0
1.280165333E0,-3.056918496E-1,5.762178133E-1,-5.047960914E0,5.089929653E0
1.290130333E0,1.698887165E0,9.673180416E-2,-1.736247658E0,2.431076011E0
1.300095333E0,2.905408075E0,-4.147137702E-4,1.111797186E0,3.110866316E0
1.310061333E0,3.155471269E0,-2.398101014E-1,2.083110337E0,3.788648373E0
1.320026333E0,4.083908835E0,-3.860505728E-1,2.397480040E0,4.751342648E0
1.329992333E0,3.538153700E0,-7.252851212E-1,1.107253314E0,3.777642123E0
1.339957333E0,2.654921250E0,-1.377096469E0,2.496708459E-1,3.001222595E0
1.349922333E0,2.522123966E0,-9.366493955E-1,7.955183673E-1,2.805578526E0
1.359888333E0,2.182165094E0,-6.941364187E-1,1.427583668E0,2.698456039E0
1.369853333E0,2.237194410E0,-8.390044025E-1,2.166507420E0,3.225325040E0
1.379819333E0,3.116682302E0,-1.048156967E0,3.948851017E0,5.138654100E0
