"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.312916677E-3,-4.216792658E-3,5.325703219E-1,6.579053164E-2,5.366351863E-1
1.533691667E-2,-3.683778386E-1,3.030956127E-1,4.311976558E-1,6.430401238E-1
2.536091668E-2,-4.576714728E-1,-1.894540264E-1,3.941228002E-1,6.329998316E-1
3.538550000E-2,-4.002255758E-1,-1.955986460E-1,2.515823007E-2,4.461751656E-1
4.540950002E-2,-1.703717295E-1,2.110098600E-1,-4.120532870E-2,2.743165440E-1
5.543350001E-2,2.700104403E-2,4.760575674E-1,-9.444832027E-2,4.860867711E-1
6.545750002E-2,8.007917153E-2,3.451409671E-1,-2.146431005E-1,4.142542956E-1
7.548150001E-2,9.908388320E-2,7.015416250E-2,-4.331851244E-1,4.498761768E-1
8.550550000E-2,-9.429892391E-2,-2.299332771E-1,8.384088635E-2,2.622801807E-1
9.552850001E-2,-2.069246845E-1,-3.248322715E-1,1.344742656E-1,4.079425912E-1
1.055525000E-1,-2.650020260E-2,-4.594582723E-1,-2.523436081E-1,5.248632787E-1
1.155765000E-1,1.289329507E-1,-6.714490758E-1,1.545746541E-1,7.009713909E-1
1.256005000E-1,3.078961037E-3,-7.624647881E-1,5.142082375E-1,9.196587110E-1
1.356245000E-1,-1.895704225E-1,-5.831856479E-1,3.523730958E-1,7.072547233E-1
1.456485000E-1,-2.143217960E-1,-1.552076152E-1,6.807153046E-2,2.732342755E-1
1.556725000E-1,-3.081340123E-1,9.500029743E-2,-6.889014065E-2,3.297233348E-1
1.656965000E-1,-3.890937928E-1,2.001221251E-1,-2.337260735E-1,4.960551602E-1
1.757205000E-1,-4.017376292E-1,2.766436131E-1,-3.390917301E-1,5.940606138E-1
1.857435000E-1,-3.522503042E-1,1.987755114E-1,-2.232759297E-1,4.620001315E-1
1.957675000E-1,-2.414871742E-1,1.212826547E-1,-1.075484222E-1,2.908473840E-1
2.057915000E-1,-1.569670607E-1,2.498021159E-1,1.205409354E-1,3.187002860E-1
2.158155000E-1,-2.200321503E-1,2.891861831E-1,1.027385026E-1,3.776214977E-1
2.258395000E-1,-1.819937832E-1,7.272415996E-2,7.206517875E-2,2.088155419E-1
2.358635000E-1,-1.373499628E-1,-1.838738823E-1,1.969599509E-1,3.024365043E-1
2.458875000E-1,-1.724423564E-1,-2.542802791E-1,3.197245824E-1,4.434169992E-1
2.559115000E-1,-2.149215011E-1,-1.000364312E-1,3.109321243E-1,3.909953006E-1
2.659355000E-1,-2.385817476E-1,8.758515090E-2,3.218827897E-1,4.101230782E-1
2.759585000E-1,-1.996570157E-1,1.395591505E-1,1.492074949E-1,2.856616126E-1
2.859825000E-1,-1.155080542E-1,2.556002149E-1,-1.518691474E-1,3.189636631E-1
2.960065000E-1,-8.100674093E-2,4.375266820E-1,-3.998934174E-1,5.982528185E-1
3.060305000E-1,-3.511884499E-1,5.105997015E-1,-8.929136842E-1,1.086894765E0
3.160545000E-1,-6.807129657E-1,4.207271929E-1,-1.209050415E0,1.449891175E0
3.260785000E-1,-6.492039286E-1,3.853362624E-1,-5.447184241E-1,9.309500188E-1
3.361025000E-1,-6.659676035E-1,1.816769372E-1,-6.116579336E-1,9.223040638E-1
3.461265000E-1,-1.886252713E0,-1.151658459E0,-3.479699085E0,4.122204777E0
3.561505000E-1,-3.341452780E0,-7.439153004E-1,-4.776245481E0,5.876328577E0
3.661735000E-1,-2.041138146E0,5.469023226E-1,-1.491294345E0,2.586369252E0
3.761975000E-1,-1.815638813E0,1.699457415E-1,1.350337272E0,2.269104802E0
3.862215000E-1,-2.684968630E0,-7.227193630E-1,1.540793949E0,3.178903241E0
3.962455000E-1,-3.290261577E0,-4.733992404E-1,-2.763143857E0,4.322602463E0
4.062695000E-1,-3.018429784E0,1.320375846E-1,-4.989382339E0,5.832862796E0
4.162935000E-1,-2.468218485E0,7.643070996E-1,-5.009714277E0,5.636799178E0
4.263175000E-1,-1.641288875E0,1.129806390E0,-3.948186189E0,4.422495431E0
4.363415000E-1,-1.596536626E0,6.206624995E-1,-1.361533520E0,2.188132688E0
4.463655000E-1,-3.184066785E0,4.752069071E-1,-1.175211409E0,3.427130688E0
4.563885000E-1,-3.670606583E0,3.937059668E-1,-1.023130007E0,3.830816112E0
4.664125000E-1,-4.001067238E0,6.562476307E-1,-2.464773306E0,4.744924387E0
4.764365000E-1,-3.961772195E0,6.124302777E-1,-4.697816193E0,6.175774182E0
