"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.343833335E-3,-4.309649366E-1,-5.786404610E-2,1.144108315E0,1.223953782E0
1.736783332E-2,2.677694401E-1,-1.876783549E-1,1.006398785E0,1.058188146E0
2.739083333E-2,2.897859612E-1,-3.535285787E-1,9.616067737E-1,1.064728109E0
3.741483332E-2,5.107308984E-2,-2.694407571E-1,7.105559850E-1,7.616407223E-1
4.743895831E-2,-1.863680121E-1,2.621931333E-1,2.411081833E-1,4.020092426E-1
5.746295833E-2,-8.734392402E-1,8.117139852E-1,2.461625165E-1,1.217526872E0
6.748595831E-2,-1.181019740E0,9.701842736E-1,3.129909289E-1,1.560137325E0
7.750995833E-2,-2.239036283E-1,5.667569453E-1,9.156494129E-1,1.099890957E0
8.753395831E-2,1.306535779E0,-3.601600887E-1,2.797741247E0,3.108714705E0
9.755695832E-2,-1.016520607E0,-5.170830942E-1,3.204747802E0,3.401631601E0
1.075809583E-1,-3.196232794E0,3.091600525E-1,-1.014428766E0,3.367573271E0
1.176049583E-1,-1.275448180E0,2.008583627E-1,-2.343557017E0,2.675700214E0
1.276289583E-1,1.415412689E0,-4.155019017E-1,-1.452326746E0,2.070093690E0
1.376519583E-1,1.823476713E0,-3.424162377E-1,-1.226976809E0,2.224362446E0
1.476759583E-1,1.057407555E0,2.966000140E-3,-1.748042076E0,2.042980821E0
1.576999583E-1,1.151629588E-1,-1.307336555E-1,-7.209850788E-1,7.417366646E-1
1.677239583E-1,1.175068152E-1,-4.060693927E-2,-1.226254678E-1,1.746246846E-1
1.777469583E-1,4.550551727E-1,1.977299561E-1,-1.882394135E-2,4.965145381E-1
1.877709583E-1,6.472902811E-1,4.051952340E-2,9.717780054E-2,6.557972740E-1
1.977949583E-1,4.531393325E-1,-1.535529263E-1,8.481620193E-2,4.859089873E-1
2.078179583E-1,-3.970259428E-3,1.865744188E-2,2.705717182E-1,2.712432816E-1
2.178419583E-1,9.093735963E-2,2.638971215E-1,8.823208684E-1,9.254195853E-1
2.278659583E-1,6.043021363E-1,-1.813149215E-1,6.651511860E-1,9.167782027E-1
2.378899583E-1,8.163569668E-1,-6.607218470E-1,1.061000669E-1,1.055580068E0
2.479129583E-1,3.958784267E-1,-6.836019288E-1,3.391911328E-1,8.596987556E-1
2.579369583E-1,1.161143008E-1,-5.711120977E-1,3.152619874E-1,6.626022032E-1
2.679609583E-1,2.151161402E-1,-3.581820852E-1,1.687564909E-2,4.181556499E-1
2.779839583E-1,2.180344856E-1,-2.798498973E-1,1.512341398E-1,3.856510948E-1
2.880079583E-1,3.262401348E-1,-3.724078493E-1,4.937599397E-1,6.992275093E-1
2.980319583E-1,7.143905890E-1,-6.187142073E-1,1.025643725E0,1.394670655E0
3.080549583E-1,5.525343972E-1,-9.353773338E-1,9.522021121E-1,1.444615478E0
