"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.286708332E-3,1.407043277E0,-1.092091776E-1,8.935095155E-1,1.670346276E0
1.231070833E-2,6.942358214E-1,2.455171300E-1,7.337746936E-1,1.039551508E0
2.233570833E-2,-3.013970697E-1,6.239707080E-1,2.794729346E-1,7.471845550E-1
3.236070834E-2,-7.415690321E-1,8.780734509E-1,-2.268398076E-1,1.171492174E0
4.238470834E-2,-5.746196231E-1,6.619037886E-1,-3.543453616E-1,9.454443251E-1
5.240970834E-2,-1.077928358E-1,3.470296177E-1,-2.790513504E-1,4.581686449E-1
6.243370834E-2,2.100173682E-1,-3.598961234E-2,-5.032289207E-1,5.464813755E-1
7.245870834E-2,5.542140099E-1,-3.993085496E-1,-8.458161163E-1,1.087200712E0
8.248270834E-2,9.193697038E-1,-2.242803352E-1,-8.063175899E-1,1.243257969E0
9.250770834E-2,7.802895865E-1,4.263804272E-2,-6.134237927E-1,9.934578959E-1
1.025317083E-1,1.912551150E-1,1.849781290E-2,-1.922956270E-1,2.718424107E-1
1.125567083E-1,-3.291339219E-1,1.404727779E-1,2.271684211E-1,4.238717158E-1
1.225807083E-1,-4.323790857E-1,6.805922207E-1,2.298598945E-1,8.384467877E-1
1.326057083E-1,-6.870776600E-1,3.042649828E-1,-1.679916751E-1,7.699831774E-1
1.426297083E-1,-6.132556853E-1,-1.813494931E-1,-2.509285820E-1,6.869754926E-1
1.526547083E-1,-1.769133568E-1,-3.169081248E-1,-4.869514418E-1,6.073308835E-1
1.626797083E-1,4.165585667E-1,-1.684186681E-1,-8.256970167E-1,9.400326859E-1
1.727037083E-1,8.377738559E-1,-1.470862712E-1,-1.091997929E0,1.384181665E0
1.827287083E-1,1.004276830E0,-1.954654026E-1,-1.308866479E0,1.661297726E0
1.927527083E-1,8.591635555E-1,-2.027039632E-1,-1.265762560E0,1.543180407E0
2.027777083E-1,5.330014810E-1,-1.598488426E-1,-8.742493719E-1,1.036317613E0
2.128017083E-1,1.660261336E-1,4.458750442E-2,-5.815523744E-1,6.064287977E-1
2.228267083E-1,-1.109105712E-1,3.381728402E-1,-9.433377331E-1,1.008240102E0
2.328507083E-1,-1.678054413E-1,4.915496922E-1,-1.295917820E0,1.396131356E0
2.428757083E-1,9.716508284E-2,2.988055837E-1,-1.204109518E0,1.244429814E0
2.528997083E-1,2.168132946E-2,2.082433230E-1,-1.181243396E0,1.199654668E0
2.629247083E-1,-1.917033041E-1,6.049920347E-1,-1.019841533E0,1.201183696E0
2.729497083E-1,-1.251888871E-1,7.425700754E-1,-1.604338565E0,1.772282372E0
2.829737083E-1,-6.025014862E-1,6.258089264E-1,-1.815859253E0,2.012955459E0
2.929992917E-1,-8.867144662E-1,4.059539102E-1,-1.080815713E0,1.455755381E0
3.030232917E-1,-9.301449528E-1,4.073525642E-1,-1.345711539E0,1.685836674E0
3.130482917E-1,-3.768667898E-1,-5.711918391E-2,-1.678798179E0,1.721526795E0
3.230722917E-1,1.390399177E0,-7.416276504E-1,-9.000800318E-1,1.814763210E0
3.330972917E-1,3.954440371E0,-1.125049242E0,-1.008059978E-1,4.112602132E0
3.431212917E-1,6.934892489E0,-9.542997276E-1,2.644467598E-1,7.005237604E0
3.531462917E-1,6.677157163E0,-1.027881893E0,-6.144909096E-1,6.783698699E0
3.631702917E-1,4.504532386E0,-1.105196629E0,-1.041517162E0,4.753633306E0
3.731952917E-1,2.411163109E0,-1.491600593E0,-1.506910504E0,3.210819075E0
3.832202917E-1,2.198958736E-1,-1.874213588E0,-1.899732884E0,2.677688518E0
3.932442917E-1,-1.283583411E0,-1.597588394E0,-1.661215602E0,2.638088763E0
4.032692917E-1,-2.060501493E0,-1.096338024E0,-1.532192695E0,2.791995330E0
4.132932917E-1,-1.599282770E0,-1.147077969E0,-1.761928629E0,2.641568803E0
4.233182917E-1,-1.074687174E0,-1.719744038E0,-1.534068482E0,2.542801247E0
4.333422917E-1,-2.726427655E-1,-2.163237949E0,-1.471541281E0,2.630468826E0
4.433672917E-1,6.223230357E-1,-2.341124575E0,-2.662622618E0,3.599681853E0
4.533912917E-1,1.289062691E0,-2.464228930E0,-3.578762028E0,4.532289100E0
4.634162917E-1,1.888428754E0,-2.843773452E0,-3.846842247E0,5.143093027E0
4.734402917E-1,2.372679951E0,-3.630106136E0,-4.119230111E0,5.981248817E0
4.834652917E-1,2.927801449E0,-4.271172933E0,-4.695702424E0,6.990319077E0
4.934892917E-1,3.364790772E0,-4.543380994E0,-4.801925867E0,7.417723359E0
5.035142917E-1,3.337652967E0,-4.540453001E0,-4.926198496E0,7.484856205E0
5.135392917E-1,2.806565280E0,-5.185358788E0,-5.347388057E0,7.959856372E0
5.235632917E-1,6.149990326E-1,-4.817197625E0,-5.459674478E0,7.306959845E0
5.335882917E-1,-1.776760091E0,-5.748277840E0,-1.131009382E0,6.121989609E0
5.436122917E-1,-2.579643027E0,-6.418355890E0,4.249338260E0,8.118295765E0
5.536372917E-1,-1.826056797E0,-6.492847663E0,6.028979275E0,9.046554333E0
5.636612917E-1,7.289191657E-1,-5.865288811E0,2.564700467E0,6.442873930E0
