"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.686458339E-3,3.958672439E-1,1.133403817E-1,-2.543106115E-1,4.839739704E-1
1.771045834E-2,6.445018901E-1,-5.859874874E-2,-2.311532986E-1,6.872032793E-1
2.773345834E-2,6.804390237E-1,5.677470982E-2,-4.991990197E-1,8.458252147E-1
3.775745834E-2,7.976588137E-1,8.079185575E-2,-7.249161619E-1,1.080874807E0
4.778145833E-2,6.917846686E-1,-1.151843011E-2,-9.435149038E-1,1.170008152E0
5.780545833E-2,6.506732608E-1,-1.236861527E-2,-1.238575931E0,1.399142241E0
6.782945833E-2,7.876642410E-1,-6.138933241E-2,-1.406437798E0,1.613149369E0
7.785345834E-2,8.353028226E-1,-6.181471735E-2,-1.422721708E0,1.650966058E0
8.787745834E-2,6.769508672E-1,-9.607852399E-3,-1.382568879E0,1.539432198E0
9.790045834E-2,5.396106619E-1,1.978615916E-1,-1.437665437E0,1.548292862E0
1.079244583E-1,6.350620721E-1,1.970698786E-1,-1.392005115E0,1.542666073E0
1.179484583E-1,6.711773995E-1,1.274140450E-1,-1.357367379E0,1.519591933E0
1.279724583E-1,6.343153095E-1,2.229274356E-1,-1.386261395E0,1.540705426E0
1.379964583E-1,6.385257433E-1,2.645660430E-1,-1.300932977E0,1.473138462E0
1.480204583E-1,6.409196665E-1,2.132283667E-1,-1.238520382E0,1.410736365E0
1.580444583E-1,6.328426883E-1,1.877780682E-1,-1.182034525E0,1.353867087E0
1.680674583E-1,4.832740548E-1,2.566556373E-1,-1.086827236E0,1.216807038E0
1.780914583E-1,2.684391656E-1,3.098799178E-1,-1.169803319E0,1.239566438E0
1.881157083E-1,2.853751141E-1,1.693874055E-1,-1.304173504E0,1.345733844E0
1.981397083E-1,5.049841817E-1,7.006601572E-2,-1.376269673E0,1.467663614E0
2.081637083E-1,6.108255094E-1,6.488596737E-2,-1.514115443E0,1.633971716E0
2.181877083E-1,6.761008282E-1,9.985874891E-2,-1.702316265E0,1.834384029E0
2.282117083E-1,4.505225573E-1,2.200014889E-1,-1.498133249E0,1.579802032E0
2.382357083E-1,2.483034745E-1,2.070335340E-1,-1.204134661E0,1.246778963E0
2.482587083E-1,2.184633788E-1,1.735804439E-1,-1.149257373E0,1.182644886E0
2.582827083E-1,1.048326829E-1,2.152485797E-1,-1.270627443E0,1.292987216E0
