"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.819916678E-3,9.190587781E-1,1.544483542E-1,5.193146110E-1,1.066869719E0
1.484291666E-2,1.291177921E0,-1.796785051E-1,3.890912712E-1,1.360447282E0
2.486691668E-2,1.097018640E0,-2.935571229E-1,-1.415645993E-1,1.144406491E0
3.489091666E-2,6.492983611E-1,-1.314986175E-1,-1.452313882E-1,6.782126542E-1
4.491491665E-2,7.377120624E-1,-2.040824443E-1,-1.939755321E-1,7.896171466E-1
5.493891667E-2,9.850777897E-1,-4.568803811E-1,-2.103822345E-1,1.106064473E0
6.496291666E-2,9.290790054E-1,-4.959731108E-1,-6.629853773E-1,1.244478499E0
7.498591667E-2,7.540670170E-1,-5.178498834E-1,-1.229242020E0,1.532260263E0
8.500991666E-2,5.987434807E-1,-6.197329384E-1,-1.765764402E0,1.964812102E0
9.503391667E-2,3.872280559E-1,-6.456039441E-1,-2.082976436E0,2.214845560E0
1.050579167E-1,2.805052605E-1,-6.551717430E-1,-2.180712646E0,2.294219008E0
1.150819167E-1,3.441777845E-1,-7.061249650E-1,-2.150914065E0,2.289869457E0
1.251049167E-1,4.855472329E-1,-7.604146081E-1,-1.878698695E0,2.084105390E0
1.351289167E-1,6.887725485E-1,-7.921743447E-1,-1.551035932E0,1.872874870E0
1.451529167E-1,6.131551132E-1,-6.531807661E-1,-1.085366601E0,1.407346782E0
1.551769167E-1,2.021674812E-4,-6.909549487E-1,-7.987407678E-1,1.056127642E0
1.652009167E-1,-2.504668346E-1,-1.117772455E0,-3.789662325E-1,1.206550580E0
1.752249167E-1,-2.103885568E-1,-6.803071690E-1,-5.452610457E-1,8.968783624E-1
1.852479167E-1,2.265614253E-1,-5.206986469E-1,-1.869202816E-1,5.978263561E-1
1.952719167E-1,1.691585784E-1,-7.082556903E-1,1.529064435E-1,7.440572075E-1
2.052959167E-1,5.633251414E-2,-6.252971488E-1,8.790119290E-3,6.278910277E-1
2.153199167E-1,-8.764135726E-3,-2.471498188E-1,-1.226704913E-1,2.760577702E-1
2.253439167E-1,-1.160839684E-1,1.961331546E-2,-3.428807259E-2,1.226207233E-1
2.353679167E-1,5.823527120E-2,1.582584000E-1,-3.031372011E-2,1.713358970E-1
2.453909167E-1,1.549038523E-1,1.018102571E-1,-1.333404905E-1,2.283423271E-1
2.554149167E-1,1.937217629E-1,6.008014083E-2,-1.927832848E-1,2.798269816E-1
2.654389167E-1,2.510930349E-1,2.191594899E-1,-4.123742992E-1,5.302180276E-1
2.754629167E-1,2.986023930E-1,4.540246010E-1,-8.471405107E-1,1.006453562E0
2.854869167E-1,6.281109752E-1,6.446914861E-1,-1.077913156E0,1.404296009E0
2.955099167E-1,1.295449020E0,8.372353274E-1,-8.614808071E-1,1.766720220E0
3.055339167E-1,1.893147018E0,1.072674635E0,-1.079951495E0,2.429183348E0
3.155579167E-1,2.558656785E-1,7.261908549E-1,-1.759339482E0,1.920441568E0
3.255819167E-1,-9.873346688E-1,2.736625564E-1,-1.170785066E0,1.555782316E0
3.356090417E-1,-1.231839207E0,1.688842526E-1,-2.630153614E-1,1.270876392E0
3.456330417E-1,-1.146858114E0,4.521306878E-1,2.035942018E-1,1.249462401E0
3.556560417E-1,-1.026046160E0,8.852488616E-1,5.593352938E-1,1.466046466E0
3.656800417E-1,-8.422237332E-1,1.010826881E0,6.754054481E-1,1.478947031E0
3.757040417E-1,-5.317589477E-1,7.363831365E-1,7.817382342E-1,1.198391576E0
3.857280417E-1,-1.740432510E-1,4.385052136E-1,9.785151672E-1,1.086310180E0
3.957520417E-1,4.154750776E-1,3.542722714E-1,7.793361980E-1,9.515741127E-1
4.057750417E-1,1.117801984E0,1.129614821E-1,3.311477029E-1,1.171281509E0
4.157990417E-1,1.889518383E0,-8.255528829E-1,-4.253323138E-2,2.062432146E0
4.258230417E-1,2.265362202E0,-9.836016601E-1,-2.256826437E-1,2.479973949E0
4.358470417E-1,1.137091071E0,-4.420439485E-1,-5.298489547E-1,1.330082280E0
4.458710417E-1,-4.878317401E-1,-9.147618055E-1,-1.093885995E0,1.507101701E0
4.558950417E-1,-9.929004872E-1,-1.256580092E0,-1.107163852E0,1.946960888E0
4.659180417E-1,-5.319647697E-1,-1.257852154E0,-1.053250769E0,1.724678446E0
4.759420417E-1,1.917570984E-1,-1.010932716E0,-1.182542063E0,1.567533563E0
4.859660417E-1,8.704852268E-1,-1.255450118E0,-9.266363311E-1,1.786772067E0
4.959900417E-1,1.417924068E0,-1.999946558E0,-3.655930656E-1,2.478699899E0
5.060140417E-1,1.452543093E0,-3.015693579E0,2.355375409E-1,3.355557649E0
5.160370417E-1,1.182761918E0,-3.856839524E0,1.049657071E0,4.168442975E0
5.260610417E-1,7.281794930E-1,-4.437867988E0,1.483958429E0,4.735720671E0
5.360850417E-1,5.491319025E-1,-4.403236392E0,1.140884160E0,4.581664897E0
5.461090417E-1,6.640133178E-1,-4.253260573E0,6.262496603E-1,4.350095151E0
5.561330417E-1,9.508379567E-1,-4.092484654E0,3.121921992E-1,4.213073395E0
5.661570417E-1,1.185776158E0,-3.823885494E0,-6.649687529E-2,4.004071328E0
5.761800417E-1,1.511395903E0,-3.290627320E0,-5.353909457E-1,3.660490295E0
5.862040417E-1,1.738861948E0,-2.772774221E0,-8.199889648E-1,3.374062782E0
5.962280417E-1,1.935617831E0,-2.528034624E0,-8.581502330E-1,3.297574453E0
6.062520417E-1,2.355205840E0,-2.400701709E0,-6.650406736E-1,3.428212704E0
6.162760417E-1,2.585115436E0,-3.059480746E0,-4.970998693E-1,4.036130886E0
6.263000417E-1,2.072324563E0,-3.270868701E0,4.314555180E-1,3.896057625E0
6.363230417E-1,1.145369559E0,-2.667926627E0,2.161102839E0,3.619401801E0
6.463470417E-1,5.464971471E-1,-2.528507664E0,5.062894703E0,5.685500234E0
6.563710417E-1,4.253580415E-1,-1.372313008E0,6.452468546E0,6.610485821E0
6.663950417E-1,9.349183273E-1,-1.056612334E-1,4.645162016E0,4.739490134E0
6.764190417E-1,1.611380952E0,3.484599929E-1,2.165679454E0,2.721789933E0
6.864420417E-1,1.686240515E0,5.133361253E-1,1.521461300E0,2.328468497E0
6.964660417E-1,1.445517663E0,7.970286300E-1,2.336625143E0,2.860872771E0
7.064900417E-1,1.138910725E0,1.209198204E0,3.252159950E0,3.651824513E0
7.165140417E-1,1.159660739E0,1.755611005E0,3.354265199E0,3.959555285E0
7.265380417E-1,1.496122976E0,2.432408090E0,2.925529806E0,4.088241397E0
7.365620417E-1,2.144459324E0,3.237021801E0,2.682342938E0,4.719319820E0
7.465850417E-1,2.746118519E0,3.910942934E0,2.476899261E0,5.382533929E0
7.566090417E-1,2.955099760E0,3.976307788E0,2.197590049E0,5.419690050E0
7.666330417E-1,2.926022142E0,3.807455987E0,1.892780983E0,5.161486851E0
7.766570417E-1,2.791504022E0,3.848893450E0,1.295553393E0,4.927974644E0
7.866810417E-1,2.591198294E0,4.217103145E0,6.604704899E-1,4.993444583E0
7.967040417E-1,2.214494349E0,4.847580342E0,4.664950309E-1,5.349825980E0
8.067280417E-1,1.977866887E0,5.909718879E0,1.043722147E0,6.318709566E0
8.167520417E-1,1.173736741E0,7.312088769E0,9.599888492E-1,7.467655502E0
8.267760417E-1,6.183974344E-1,7.674535448E0,-1.525121073E0,7.849006562E0
8.368000417E-1,1.163299461E0,6.439323421E0,-5.265885472E0,8.399267918E0
8.468240417E-1,9.549701840E-1,3.956809955E0,-6.463859507E0,7.638703607E0
8.568470417E-1,-8.498050869E-2,2.964861102E0,-6.283683404E0,6.948546622E0
8.668710417E-1,-7.977508342E-1,2.761485586E0,-5.827283664E0,6.497649108E0
8.768950417E-1,-1.558963587E0,2.836575530E0,-5.148942329E0,6.081787180E0
8.869190417E-1,-2.730558493E0,2.938136695E0,-4.722959805E0,6.196365567E0
8.969430417E-1,-3.588896422E0,3.120724483E0,-3.951540152E0,6.183346052E0
9.069670417E-1,-3.760567165E0,3.417592299E0,-2.382530902E0,5.612330712E0
9.169900417E-1,-3.431230345E0,3.281155123E0,-1.052777145E0,4.862886009E0
9.270140417E-1,-3.074699879E0,2.406121786E0,-1.916275826E-1,3.908954147E0
9.370380417E-1,-2.810146700E0,1.194204627E0,5.990367186E-1,3.111574224E0
9.470620417E-1,-1.864278876E0,3.057953453E-1,9.154508999E-1,2.099308665E0
9.570860417E-1,-1.018947494E-1,-2.380865176E0,7.762187549E-1,2.506275540E0
9.671090417E-1,2.436441207E-1,-1.176726130E0,2.598505560E-1,1.229458887E0
9.771330417E-1,-4.210930824E-1,-1.455065143E0,-6.305575964E-1,1.640773244E0
9.871570417E-1,-1.774218891E0,-9.283118507E-1,-5.216356632E-1,2.069231580E0
9.971810417E-1,-2.737158830E0,-7.037362312E-1,-1.752442691E-1,2.831606205E0
1.007205042E0,-4.130858468E0,-1.014704243E0,-3.049977851E-1,4.264579702E0
1.017229042E0,-4.885732255E0,-6.734711891E-1,-1.503506255E-1,4.934222170E0
1.027252042E0,-4.347945705E0,-1.291757088E0,-5.119918504E-1,4.564581458E0
1.037276042E0,-2.548216581E0,-1.557302978E0,-8.010963187E-1,3.091982475E0
