"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.410416666E-3,5.368289222E-1,4.230431288E-2,-7.215358865E-1,9.003271528E-1
1.243541666E-2,3.737934932E-1,3.833197770E-1,-2.119685841E-1,5.758353129E-1
2.245941665E-2,-7.743321508E-2,4.605410305E-1,2.649724245E-2,4.677563975E-1
3.248441668E-2,-4.062182774E-1,2.477707931E-1,-5.068249583E-2,4.785105748E-1
4.250841666E-2,-4.645039809E-1,6.735685453E-2,6.277687669E-2,4.735417937E-1
5.253341666E-2,-1.984654628E-1,-5.410428643E-3,7.524372518E-2,2.123191721E-1
6.255841666E-2,1.650197181E-1,-8.188163057E-2,7.767441273E-3,1.843812408E-1
7.258241667E-2,3.582021850E-1,-1.626708551E-1,-8.946123004E-2,4.034525054E-1
8.260741667E-2,4.827860315E-1,-2.475464062E-1,-2.100103515E-1,5.817782423E-1
9.263241666E-2,6.689321418E-1,-2.290402611E-1,-2.853657585E-1,7.624718144E-1
1.026564167E-1,6.798554716E-1,-1.019038126E-1,-2.361918443E-1,7.268936900E-1
1.126814166E-1,6.318584557E-1,1.886501804E-2,-1.884540063E-1,6.596331628E-1
1.227054167E-1,4.613166271E-1,1.353814611E-1,-1.468206614E-1,5.026902397E-1
1.327304167E-1,8.707662586E-2,2.230187984E-1,-5.558947921E-2,2.457842823E-1
1.427554167E-1,-1.931968657E-1,2.260111110E-1,-3.596037626E-3,2.973532961E-1
1.527794167E-1,-1.862862607E-1,1.606462567E-1,1.538601243E-1,2.901426004E-1
1.628044167E-1,-1.421482976E-1,6.234286711E-2,4.013575602E-1,4.303262282E-1
1.728294167E-1,-3.199289426E-2,-3.715613186E-2,5.598211974E-1,5.619643196E-1
1.828534167E-1,2.079256730E-1,-8.611209109E-2,5.589201415E-1,6.025280925E-1
1.928784167E-1,3.283493352E-1,-2.781242743E-2,4.771772361E-1,5.799007947E-1
2.029024167E-1,4.227876055E-1,1.801731795E-2,2.596216375E-1,4.964648807E-1
2.129274167E-1,3.258060887E-1,-1.356831774E-2,1.123975182E-1,3.449157995E-1
2.229524167E-1,1.204317386E-1,-9.074367061E-2,1.063415569E-1,1.845175985E-1
2.329764166E-1,2.194169135E-1,-2.291618831E-1,2.518594587E-1,4.050828774E-1
2.430014167E-1,3.128453698E-1,-3.240901136E-1,4.752441466E-1,6.548004475E-1
2.530264167E-1,4.125152536E-1,-2.635559365E-1,4.005126375E-1,6.324878963E-1
2.630504167E-1,4.582404069E-1,-8.782897979E-2,1.695563900E-1,4.964348594E-1
2.730754167E-1,2.634500654E-1,1.464562337E-1,-4.482417047E-2,3.047368891E-1
2.830994167E-1,-1.892118786E-2,3.635067791E-1,-1.795586371E-1,4.058774371E-1
2.931244167E-1,-2.488923987E-1,4.736225675E-1,-3.291596496E-1,6.281813731E-1
3.031494167E-1,-3.444448195E-1,3.999632916E-1,-3.696902096E-1,6.444251077E-1
3.131734167E-1,-3.213756900E-1,2.180856487E-1,-2.611822593E-1,4.680383070E-1
3.231984166E-1,1.403052917E-1,1.053367129E-1,-2.027586347E-1,2.681276970E-1
3.332234167E-1,6.477199783E-1,1.852438849E-1,-1.789008254E-1,6.970379993E-1
3.432474167E-1,7.624590871E-1,4.112541188E-1,-3.042382318E-1,9.181692172E-1
3.532724167E-1,6.495519110E-1,6.385416770E-1,-6.531269717E-1,1.120815774E0
3.632964167E-1,4.251949042E-1,8.461960392E-1,-8.862332404E-1,1.297014957E0
3.733214167E-1,1.027721241E-1,9.094414240E-1,-8.957063144E-1,1.280599709E0
3.833464167E-1,-2.642310524E-1,7.752292599E-1,-7.581476426E-1,1.116058378E0
3.933704167E-1,-4.622400121E-1,5.838228482E-1,-5.681546491E-1,9.366507632E-1
4.033954167E-1,-2.369925474E-1,5.033085890E-1,-3.397881335E-1,6.518749719E-1
4.134204167E-1,-2.686368015E-2,5.282235749E-1,-2.461818123E-1,5.833929097E-1
4.234444167E-1,-6.146052226E-2,5.321910569E-1,-3.629197186E-1,6.470822506E-1
4.334694167E-1,-2.549167485E-1,6.305067256E-1,-6.076812422E-1,9.120294797E-1
4.434944167E-1,-4.872218755E-1,8.862225692E-1,-6.869677323E-1,1.222579348E0
4.535184167E-1,-5.662275530E-1,1.102782826E0,-8.903297997E-1,1.526247278E0
4.635434167E-1,-4.804316501E-1,1.191734909E0,-1.198789136E0,1.757311031E0
4.735674167E-1,-6.230013858E-1,1.180005833E0,-1.665783446E0,2.134333382E0
4.835924167E-1,-9.599517193E-1,1.004744607E0,-2.122710605E0,2.537108461E0
4.936174167E-1,-1.137523326E0,7.309943426E-1,-2.200343503E0,2.582600158E0
5.036414167E-1,-1.475441082E0,4.407923520E-1,-2.264535406E0,2.738493178E0
5.136664167E-1,-2.480769534E0,1.541738275E-1,-2.648179411E0,3.631919773E0
5.236914167E-1,-3.844741343E0,-3.641159128E-1,-3.708022916E0,5.353881800E0
5.337154166E-1,-5.391663759E0,-1.371212709E0,-5.927441790E0,8.129257565E0
5.437404167E-1,-6.123162716E0,-1.514392309E0,-6.066810175E0,8.751725054E0
5.537644167E-1,-6.193735101E0,-2.032239123E0,-4.284245553E0,7.800455776E0
5.637894167E-1,-7.073354555E0,-2.410570055E0,-4.121404105E0,8.534000495E0
5.738144167E-1,-8.394589065E0,-2.309595511E0,-5.663447605E0,1.038643326E1
5.838384167E-1,-9.108888438E0,-2.350578500E0,-5.938045131E0,1.112463248E1
5.938634167E-1,-9.361241986E0,-2.187255388E0,-5.399142348E0,1.102577325E1
6.038884167E-1,-2.061323612E0,1.677770239E0,1.159607529E0,2.899768547E0
6.139124167E-1,9.499729196E0,6.215691395E0,-5.713980997E-1,1.136688920E1
