"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.184999987E-3,3.949943277E-1,1.294971156E-1,-7.205418599E-1,8.318476986E-1
1.520800000E-2,2.308904297E-1,1.123776376E-1,-9.010880917E-1,9.369625782E-1
2.523199999E-2,4.667915578E-1,2.373232806E-1,-6.972132236E-1,8.719650091E-1
3.525600000E-2,5.915558274E-1,2.149202585E-1,-4.876267952E-1,7.961839648E-1
4.527999999E-2,5.338445033E-1,3.263360292E-1,-3.201017278E-1,7.028159601E-1
5.530400001E-2,6.062415116E-1,3.938906658E-1,-5.270914078E-1,8.947088795E-1
6.532800000E-2,7.082484544E-1,1.510014206E-1,-7.447200966E-1,1.038761438E0
7.535100001E-2,8.598856866E-1,6.136892563E-1,-1.088088480E0,1.516560067E0
8.537500000E-2,6.827132982E-1,3.758636999E-1,-2.027457708E0,2.172085571E0
9.539899998E-2,5.055289961E-1,2.290073705E-1,-2.487591480E0,2.548747793E0
1.054230000E-1,9.535004132E-1,7.282239318E-2,-2.627970849E0,2.796550897E0
1.154470000E-1,1.307926686E0,-9.929624677E-2,-2.489407625E0,2.813837644E0
1.254700000E-1,1.690155518E0,-5.431010842E-2,-2.243086649E0,2.809094690E0
1.354940000E-1,1.753593861E0,-3.329141468E-1,-2.002069682E0,2.682201758E0
1.455180000E-1,2.098133588E0,-1.007902104E0,-1.367219353E0,2.699503651E0
1.555420000E-1,2.667212098E0,-1.260083159E0,-1.486606632E0,3.303305802E0
1.655660000E-1,3.163224970E0,-1.408929296E0,-1.400163150E0,3.735174804E0
1.755900000E-1,3.220569783E0,-1.165347156E0,-1.721589857E0,3.833272148E0
1.856130000E-1,2.422211715E0,8.253397518E-1,-1.593414212E0,3.014508940E0
1.956370000E-1,-4.171669402E0,6.089576894E-1,-2.112244674E0,4.715424968E0
2.056610000E-1,-3.812514998E0,-2.074043645E0,-3.592279036E0,5.633950330E0
2.156850000E-1,-5.616236016E-1,-3.965606214E0,-4.566680687E0,6.074209925E0
2.257090000E-1,9.867401531E-1,-5.068143749E0,-4.564520726E0,6.891631639E0
2.357330000E-1,2.651861987E0,-4.720887551E0,-5.078659966E0,7.423741531E0
2.457560000E-1,4.410234632E0,-3.264756022E0,-5.232359292E0,7.581977654E0
2.557800000E-1,4.539935815E0,-2.650698391E0,-4.521772317E0,6.934237092E0
2.658040000E-1,3.024865814E0,-3.164171634E0,-3.638505369E0,5.692145170E0
2.758280000E-1,1.562311411E0,-4.691318766E0,-3.278836702E0,5.932963748E0
2.858520000E-1,8.559636667E-1,-5.666197550E0,-4.327557634E0,7.180962578E0
2.958750000E-1,1.795032348E0,-5.482413130E0,-4.073620659E0,7.062108760E0
