"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.113916664E-3,5.995878826E-3,3.315441442E-1,1.540396339E-1,3.656305224E-1
1.213791667E-2,3.653230933E-2,1.566735122E-1,2.241910189E-1,2.759398703E-1
2.216291666E-2,4.094706450E-1,1.151872247E-1,4.867152143E-1,6.463946207E-1
3.218691667E-2,6.381921597E-1,-4.316356122E-2,2.522985846E-1,6.876095560E-1
4.221191666E-2,6.574237981E-1,-7.929935396E-2,-5.073921382E-1,8.342309152E-1
5.223591666E-2,9.842395914E-1,-1.342570415E-1,-8.631121802E-1,1.315946489E0
6.226091666E-2,9.590319523E-1,-5.155887651E-1,-6.605201912E-1,1.273523060E0
7.228491666E-2,1.283200419E0,-9.053325856E-1,-1.027732351E0,1.876822898E0
8.230991666E-2,2.128601967E0,-1.542629390E0,-1.180401982E0,2.881666291E0
9.233491667E-2,2.636997780E0,-1.627091543E0,-1.057253773E0,3.273983770E0
1.023589167E-1,1.049474491E0,-9.795273203E-1,-2.235501056E0,2.656752802E0
1.123839167E-1,-1.883227217E0,-6.548016143E-1,-3.593352585E0,4.109439463E0
1.224079167E-1,-1.262515601E0,-9.649662915E-1,-3.884501824E0,4.196958424E0
1.324329167E-1,9.262340426E-2,-1.462409100E0,-3.368306118E0,3.673241835E0
1.424569167E-1,7.553672916E-1,-1.841696637E0,-3.449854896E0,3.982954312E0
1.524819167E-1,1.132478203E0,-2.235864168E0,-3.888258660E0,4.626029709E0
1.625069167E-1,1.635610937E0,-2.565742148E0,-3.785587986E0,4.856843862E0
1.725309167E-1,1.623866804E0,-3.165810316E0,-4.269356203E0,5.557580476E0
1.825559167E-1,1.545294551E0,-4.080009035E0,-4.570864955E0,6.318798573E0
1.925799167E-1,1.460251477E0,-4.530362754E0,-4.583213689E0,6.607750659E0
2.026049167E-1,1.033533373E0,-4.349699577E0,-4.673299402E0,6.467441917E0
2.126289167E-1,5.250402045E-1,-3.963059167E0,-4.252027395E0,5.836201002E0
2.226539167E-1,6.690699899E-1,-3.804410757E0,-3.831838292E0,5.440972391E0
2.326779167E-1,1.036608424E0,-4.497216642E0,-3.987564847E0,6.099195682E0
2.427029167E-1,9.447159219E-1,-5.587772940E0,-3.403839648E0,6.610735129E0
2.527279167E-1,4.516915619E-1,-6.577283796E0,-3.456790863E0,7.444064110E0
2.627519167E-1,-1.029765428E0,-6.660672108E0,-3.768172638E0,7.721663992E0
2.727769167E-1,-2.719925331E0,-6.496321494E0,-4.131307535E0,8.165040643E0
2.828009167E-1,-3.756533756E0,-6.981045731E0,-4.223174894E0,8.982302129E0
2.928259167E-1,-3.628697834E0,-7.699853892E0,-3.397661187E0,9.165113173E0
3.028499167E-1,-2.715864440E0,-8.559148425E0,-1.706576839E0,9.140423728E0
3.128749167E-1,-1.325532798E0,-9.163724796E0,8.615753858E-1,9.299096810E0
3.228999167E-1,2.835104370E-1,-9.241780447E0,4.322777535E0,1.020672766E1
3.329239167E-1,1.739069524E0,-8.945373391E0,7.029769995E0,1.150920215E1
3.429489167E-1,2.586751487E0,-8.482248183E0,7.993467733E0,1.193881669E1
3.529729167E-1,3.551396474E0,-7.353485302E0,7.027092555E0,1.077340210E1
3.629979167E-1,4.653475002E0,-6.411951435E0,6.586925270E0,1.030318083E1
3.730219167E-1,6.085975009E0,-5.724978440E0,7.004793613E0,1.090328407E1
3.830469167E-1,7.300007837E0,-4.889772096E0,7.036028270E0,1.125636173E1
3.930719167E-1,9.005413771E0,-3.402435147E0,5.930540230E0,1.130687178E1
4.030959167E-1,1.119546033E1,-1.466835735E0,4.823157692E0,1.227814274E1
