"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.542833337E-3,1.133720809E0,1.314021385E-1,-7.352242184E-1,1.357624413E0
1.756683332E-2,9.621473488E-1,1.980760382E-1,-8.515861487E-1,1.300061770E0
2.759083333E-2,7.697904722E-1,3.058906549E-1,-8.720391244E-1,1.202746315E0
3.761483333E-2,4.666009386E-1,3.691202523E-1,-7.020044321E-1,9.202045529E-1
4.763858333E-2,2.064549521E-1,4.666836767E-1,-4.172514617E-1,6.591783398E-1
5.766258333E-2,2.076960236E-1,4.395846096E-1,-1.308063072E-1,5.034705127E-1
6.768658334E-2,3.942121165E-1,2.342589010E-1,1.467323685E-1,4.814673545E-1
7.771058333E-2,5.968587770E-1,1.627125165E-1,2.503695881E-1,6.673834680E-1
8.773458333E-2,6.170566678E-1,2.042976218E-1,1.306308907E-1,6.629938757E-1
9.775858333E-2,3.875158851E-1,3.085610783E-1,-3.013736808E-1,5.798315236E-1
1.077825833E-1,9.529412001E-2,4.797612669E-1,-7.917153382E-1,9.306261437E-1
1.178065833E-1,-8.943784118E-2,1.853352477E-1,-8.670005786E-1,8.910882587E-1
1.278305833E-1,-1.409079570E-1,3.635652512E-2,-1.054898515E0,1.064888598E0
1.378545833E-1,2.335407168E-2,6.387790740E-2,-8.773098046E-1,8.799422100E-1
1.478785833E-1,1.125289343E-1,1.568427891E-2,-5.882983071E-1,5.991691379E-1
1.579025833E-1,5.913186863E-2,-3.926405311E-2,-3.390467066E-1,3.463970453E-1
1.679255833E-1,2.970049337E-2,-5.353944540E-2,-1.261501694E-1,1.402228824E-1
1.779495833E-1,-2.190703198E-2,-7.542162672E-2,2.011032879E-2,8.107259186E-2
1.879735833E-1,-1.940047681E-2,-1.042159478E-1,1.241124147E-1,1.632214256E-1
1.979975833E-1,5.213582128E-2,-1.399802962E-1,1.492934489E-1,2.111898697E-1
2.080215833E-1,6.523066074E-2,-1.782528077E-1,9.332448542E-2,2.115149218E-1
2.180455833E-1,9.844942376E-2,-2.454819006E-1,-5.499540210E-2,2.701446775E-1
2.280695833E-1,2.213323152E-1,-3.242909655E-1,-4.032321775E-1,5.628044181E-1
2.380935833E-1,3.215595849E-1,-3.897033285E-1,-8.782494521E-1,1.013208444E0
2.481175833E-1,2.779289773E-1,-3.971487343E-1,-1.075569592E0,1.179754881E0
2.581415833E-1,9.199775219E-2,-3.347712225E-1,-8.164420438E-1,8.871938732E-1
2.681655833E-1,-3.351141617E-2,-2.833891073E-1,-3.168682176E-1,4.264245167E-1
2.781895833E-1,-1.257753628E-1,-2.034401277E-1,3.235743892E-1,4.023775749E-1
2.882135833E-1,-1.730686663E-1,-3.877259463E-2,1.137826066E0,1.151565992E0
2.982375833E-1,-1.606885028E-1,-1.870904356E-2,1.883943647E0,1.890876646E0
3.082615833E-1,4.875744626E-2,-3.172816157E-1,2.605602325E0,2.625301581E0
3.182855833E-1,4.184197354E-1,-5.890771562E-1,3.125706310E0,3.208134490E0
3.283095833E-1,8.802667415E-1,-8.497089002E-1,3.097805736E0,3.330656862E0
3.383325833E-1,1.152769357E0,-1.119393011E0,2.707775987E0,3.148645534E0
3.483565833E-1,1.050683696E0,-1.149661123E0,2.100459026E0,2.614877635E0
3.583805833E-1,6.144283444E-1,-8.751333247E-1,1.408982506E0,1.768788350E0
3.684045833E-1,1.482060130E-1,-5.756022477E-1,7.773370349E-1,9.785376006E-1
3.784285833E-1,-1.732223019E-2,-3.891636305E-1,2.832057971E-1,4.816159408E-1
3.884525833E-1,-9.327873096E-2,-2.716984767E-1,5.052111268E-2,2.916733905E-1
3.984765833E-1,9.966286719E-3,-2.273694192E-1,1.016433191E-1,2.492539748E-1
4.085005833E-1,3.352422157E-1,-3.218477064E-1,1.686757994E-1,4.943933804E-1
4.185245833E-1,5.284570250E-1,-4.508201806E-1,3.478508592E-1,7.768564106E-1
4.285485833E-1,6.506142770E-1,-4.707150395E-1,3.844474125E-1,8.903209527E-1
4.385725833E-1,7.839723091E-1,-4.569493783E-1,3.220769173E-1,9.628856923E-1
4.485965833E-1,9.068740578E-1,-4.898395278E-1,2.729035878E-1,1.066226846E0
4.586205833E-1,9.866489366E-1,-5.269921513E-1,2.975782531E-1,1.157475558E0
4.686445833E-1,9.201750116E-1,-4.478448249E-1,3.124839753E-1,1.070015548E0
4.786685833E-1,7.827730452E-1,-3.459344342E-1,2.962000644E-1,9.056151231E-1
4.886925833E-1,7.353731762E-1,-3.108441237E-1,2.942915332E-1,8.508850005E-1
4.987165833E-1,8.222983226E-1,-3.094673967E-1,3.388291901E-1,9.416739463E-1
5.087395833E-1,9.690852164E-1,-3.229338267E-1,2.442469686E-1,1.050270915E0
5.187635833E-1,9.397058813E-1,-3.678360575E-1,1.508020306E-1,1.020339042E0
5.287875833E-1,9.200485656E-1,-5.116569512E-1,-1.358775973E-1,1.061482416E0
5.388115833E-1,1.087892014E0,-7.005905753E-1,-6.488029557E-1,1.447508709E0
5.488355833E-1,1.253379180E0,-7.209206133E-1,-1.121108292E0,1.829636495E0
5.588595833E-1,1.475333785E0,-8.756939265E-1,-1.250039982E0,2.122745766E0
5.688835833E-1,2.188071659E0,-7.848002748E-1,-1.231399643E0,2.630572967E0
5.789075833E-1,3.458875688E0,-8.311400436E-1,-1.003952894E0,3.696286814E0
5.889315833E-1,3.398158201E0,-1.748724592E0,-1.221056503E0,4.012043848E0
5.989555833E-1,2.128568931E0,-1.990962312E0,-2.053937994E0,3.565585212E0
6.089795833E-1,7.823567234E-1,-1.809831066E0,-2.752127702E0,3.385524689E0
6.190035833E-1,-2.177533807E-1,-1.867003240E0,-3.048011432E0,3.580990272E0
6.290275833E-1,-3.666521426E-1,-2.218018028E0,-3.207354491E0,3.916779365E0
6.390515833E-1,-1.233642635E-1,-2.698559313E0,-3.727214647E0,4.603213023E0
6.490755833E-1,-4.335447282E-1,-2.584090419E0,-5.225946651E0,5.846024523E0
6.590995833E-1,-1.791430755E0,-2.059902885E0,-5.195595508E0,5.869125721E0
6.691235833E-1,-2.676098404E0,-3.254698811E0,-5.051570401E0,6.578216364E0
6.791475833E-1,-2.851808111E0,-2.653682810E0,-5.311351082E0,6.586751269E0
6.891705833E-1,-2.140964443E0,-2.672103878E0,-5.480773571E0,6.462410295E0
6.991945833E-1,-1.748091193E0,-3.517682598E0,-5.314978110E0,6.609001890E0
7.092185833E-1,-1.990734855E0,-3.827973575E0,-5.590846236E0,7.062150422E0
7.192425833E-1,-2.358886662E0,-3.625888247E0,-5.679203512E0,7.138961017E0
7.292665833E-1,-2.624306399E0,-3.583764905E0,-5.448289365E0,7.029524306E0
7.392905833E-1,-2.505027877E0,-3.598399609E0,-5.124929568E0,6.744519812E0
7.493145833E-1,-1.756282557E0,-3.397042260E0,-4.474691706E0,5.886194900E0
7.593385833E-1,-9.260305595E-1,-3.544519856E0,-3.656908311E0,5.176304859E0
7.693625833E-1,-1.866823000E-1,-3.762289755E0,-2.621980376E0,4.589602986E0
7.793865833E-1,-4.128514320E-1,-3.783881768E0,-1.758410651E0,4.192876764E0
7.894105833E-1,-1.311562631E0,-3.632397075E0,-1.065719080E0,4.006277849E0
7.994345833E-1,-1.646303447E0,-2.746048644E0,6.808579767E-1,3.273326410E0
8.094585833E-1,-2.286696938E0,-2.937296450E0,1.429810580E0,3.987612270E0
8.194825833E-1,-2.428668503E0,-3.009949859E0,1.894525061E0,4.306675523E0
8.295065833E-1,-1.884111462E0,-2.351639185E0,2.393335826E0,3.848134513E0
8.395305833E-1,-8.522755355E-1,-1.317812719E0,2.879518943E0,3.279425757E0
8.495545833E-1,3.363183957E-1,-4.737387078E-1,3.361397048E0,3.411235633E0
8.595785833E-1,1.297114745E0,-1.256374417E-1,3.971601364E0,4.179941246E0
8.696025833E-1,2.086199421E0,7.905435562E-4,4.778444619E0,5.213996703E0
8.796255833E-1,2.245768767E0,4.535100460E-2,5.796998010E0,6.216970323E0
8.896495833E-1,1.772329656E0,1.613414906E-1,6.787447929E0,7.016881991E0
8.996735833E-1,1.327963486E0,4.373432256E-1,5.595573710E0,5.767599263E0
9.096975833E-1,2.307451630E0,3.235288686E0,4.315811162E0,5.866655938E0
9.197215833E-1,2.946562825E0,5.534200165E0,3.125715666E0,7.005690714E0
9.297455833E-1,2.604180282E0,6.506224923E0,1.686664438E0,7.208158893E0
9.397695833E-1,2.153939999E0,6.752419599E0,5.796906209E-1,7.111305730E0
9.497935833E-1,1.862114822E0,5.876425418E0,2.743075043E-3,6.164402228E0
9.598175833E-1,2.013733124E0,4.374581527E0,1.035239006E0,4.925830328E0
9.698415833E-1,3.029034879E0,3.718327756E0,2.892280784E0,5.600562626E0
9.798655833E-1,4.216300907E0,3.304144036E0,2.762376117E0,6.027045957E0
9.898895833E-1,4.318765175E0,3.355103398E0,1.254420716E0,5.610884314E0
9.999135833E-1,2.557734679E0,3.868630727E0,6.534146547E-1,4.683509485E0
1.009937583E0,3.787878925E-1,4.092066578E0,4.293095899E-1,4.131923991E0
1.019961583E0,-8.547255188E-1,4.003570431E0,2.362643498E-1,4.100603949E0
1.029985583E0,-5.384069395E-1,3.737871197E0,-7.663185418E-1,3.853415009E0
1.040009583E0,2.106997383E-1,3.472913391E0,-2.209063309E0,4.121344745E0
1.050034208E0,3.116823220E-1,3.067529730E0,-3.205593309E0,4.447776184E0
1.060058208E0,1.337141275E-1,2.215895050E0,-3.119891839E0,3.829072398E0
1.070081208E0,9.928104401E-2,1.212681828E0,-2.240669995E0,2.549716841E0
1.080105208E0,-2.205815327E-1,3.475304317E-1,-1.658928756E0,1.709233229E0
1.090129208E0,-1.001164942E0,-5.143588033E-1,-1.851795655E0,2.167035618E0
1.100153208E0,-9.296564180E-1,-1.440512447E0,-1.544796953E0,2.307755358E0
1.110177208E0,1.170862250E0,-2.965654569E0,-6.795686656E-1,3.260036657E0
1.120201208E0,3.957765682E0,-5.125796710E0,-4.883904415E-1,6.494322623E0
1.130225208E0,7.132177545E0,-7.848484266E0,-1.792624757E-1,1.060654500E1
1.140249208E0,1.071622019E1,-1.097971678E1,3.744363946E-1,1.534704396E1
1.150273208E0,1.470813303E1,-1.411612700E1,1.063840954E0,2.041386726E1
1.160297208E0,1.703937581E1,-1.593645177E1,1.229418314E0,2.336283999E1
1.170321208E0,1.759020341E1,-1.562784626E1,5.098128855E-1,2.353518098E1
1.180345208E0,1.732812301E1,-1.396902275E1,4.447538406E-1,2.226196869E1
1.190369208E0,1.583541306E1,-1.204450060E1,1.962926374E0,1.999208297E1
1.200393208E0,1.305645716E1,-1.035145451E1,4.097408009E0,1.715845087E1
1.210417208E0,9.619725755E0,-9.186076947E0,6.291428626E0,1.471411592E1
1.220441208E0,7.529664248E0,-9.493632304E0,7.856469809E0,1.444122626E1
1.230465208E0,7.932322814E0,-1.075234195E1,8.156558272E0,1.565452157E1
1.240489208E0,9.492828897E0,-1.259153218E1,8.146098188E0,1.774878584E1
1.250513208E0,1.011057729E1,-1.385926584E1,8.303586509E0,1.905918602E1
1.260537208E0,9.621309181E0,-1.400645663E1,7.801101939E0,1.869779690E1
1.270560208E0,8.809009890E0,-1.290236198E1,7.000633904E0,1.711953489E1
1.280584208E0,7.897160583E0,-1.127346101E1,6.435170728E0,1.519432430E1
1.290608208E0,6.349373363E0,-9.001986718E0,6.069612161E0,1.257738044E1
1.300632208E0,4.108777628E0,-5.960110769E0,5.382149169E0,9.020670909E0
1.310656208E0,1.118239648E0,-2.900200837E0,4.563889811E0,5.521839821E0
1.320680208E0,-1.815570400E0,-3.512919456E-1,4.219580610E0,4.607012311E0
1.330704208E0,-3.612308673E0,2.010285020E0,4.439570990E0,6.066284727E0
1.340728208E0,-4.385338649E0,3.963249786E0,3.936626244E0,7.101800484E0
1.350752208E0,-4.793449159E0,5.671290475E0,3.226895301E0,8.096514298E0
1.360776208E0,-5.282101555E0,7.524336265E0,2.564426233E0,9.544239885E0
1.370800208E0,-6.366533187E0,9.583750176E0,1.767363469E0,1.164064371E1
1.380824208E0,-7.874137756E0,1.131071830E1,8.107613276E-1,1.380549629E1
1.390848208E0,-9.303328239E0,1.245495993E1,-1.421417195E-1,1.554664425E1
1.400872208E0,-1.006397498E1,1.296908339E1,-7.518303108E-1,1.643307534E1
1.410896208E0,-9.239935650E0,1.292172094E1,-1.020560156E0,1.591819167E1
1.420920208E0,-8.275507010E0,1.246349804E1,-1.526088787E0,1.503834255E1
1.430944208E0,-8.643980414E0,1.075813303E1,-2.915340448E0,1.410514210E1
1.440968208E0,-8.649024222E0,9.873443459E0,-2.802436561E0,1.342177918E1
1.450992208E0,-8.177623451E0,9.023823729E0,-2.550500504E0,1.244218521E1
1.461016208E0,-7.589416945E0,7.615142940E0,-2.476988139E0,1.103291085E1
1.471039208E0,-6.762772095E0,6.513315842E0,-1.961982926E0,9.592066861E0
1.481063208E0,-6.614238199E0,6.698918746E0,-1.521046148E0,9.536101965E0
1.491087208E0,-6.654793317E0,5.976874736E0,-1.234545445E0,9.029585160E0
1.501111208E0,-6.538251293E0,4.966187019E0,-2.428225138E-1,8.214055408E0
1.511135208E0,-6.334229659E0,4.640943834E0,8.495092177E-1,7.898258730E0
1.521159208E0,-6.442017233E0,4.658079100E0,8.436462146E-1,7.994312094E0
1.531183208E0,-6.784903806E0,4.738222792E0,4.950124133E-1,8.290398794E0
1.541207208E0,-6.697240010E0,4.723764966E0,1.029788232E-1,8.196193253E0
1.551231208E0,-5.922649412E0,4.958180426E0,3.004673624E-1,7.729916548E0
1.561255208E0,-5.779689083E0,4.636453757E0,-5.504896259E-1,7.429976323E0
1.571279208E0,-5.934788817E0,4.836971154E0,-4.850464189E-1,7.671589032E0
1.581303208E0,-6.019584553E0,5.407071172E0,-2.816463447E-1,8.096365945E0
1.591327208E0,-5.900161605E0,5.731729635E0,-2.346838474E-1,8.229198508E0
1.601351208E0,-5.645177395E0,5.783809615E0,-9.601011157E-2,8.082678976E0
1.611375208E0,-5.581072031E0,5.696203707E0,-1.040944719E-1,7.975333055E0
1.621399208E0,-5.802169873E0,5.695646467E0,-7.551214892E-2,8.130883469E0
1.631423208E0,-6.479307851E0,5.967827924E0,-2.801997435E-1,8.813337180E0
1.641447208E0,-7.316865944E0,6.158783954E0,-7.037603509E-1,9.589704149E0
1.651471208E0,-7.903054576E0,6.219321932E0,-1.271213919E0,1.013677571E1
1.661495208E0,-8.272417926E0,6.299428201E0,-1.890341671E0,1.056830571E1
1.671518208E0,-8.608573769E0,6.424969091E0,-2.359633352E0,1.099798344E1
1.681542208E0,-9.201322392E0,6.749952074E0,-1.908505461E0,1.157015903E1
1.691566208E0,-9.857305144E0,6.938280365E0,-1.796542976E0,1.218744296E1
1.701590208E0,-1.027531674E1,7.119513645E0,-1.663377317E0,1.261096479E1
1.711614208E0,-1.055879678E1,7.262754056E0,-1.206470039E0,1.287211544E1
1.721638208E0,-1.115274057E1,7.289755329E0,-6.417786956E-1,1.333926665E1
1.731662208E0,-1.197406153E1,7.051312891E0,-4.802215889E-2,1.389609546E1
1.741686208E0,-1.252028737E1,6.715152955E0,5.348682046E-1,1.421748779E1
1.751710208E0,-1.263811812E1,6.212614006E0,1.281062969E0,1.414071160E1
1.761734208E0,-1.122950048E1,4.746961455E0,2.355792900E0,1.241712866E1
1.771758208E0,-6.867631382E0,1.427237805E0,2.637021754E0,7.493680824E0
1.781782208E0,4.217070401E-1,-3.751926150E0,8.478402762E-1,3.869576178E0
1.791806208E0,9.581259263E0,-9.184459022E0,-1.210342065E0,1.332740577E1
1.801830208E0,1.924022334E1,-1.169073119E1,-3.703882502E0,2.281618144E1
1.811854208E0,2.482426050E1,-1.004672102E1,-6.858703269E0,2.764457131E1
1.821878208E0,2.455253337E1,-7.523994788E0,-7.769870206E0,2.682924292E1
1.831902208E0,2.393501126E1,-7.196873478E0,-2.588172945E0,2.512724400E1
1.841926208E0,2.849984365E1,-7.903345767E0,1.602020437E0,2.961875135E1
1.851950208E0,3.138258879E1,-7.292176076E0,1.624471991E-1,3.221907975E1
1.861974208E0,2.714444736E1,-5.991910266E0,-1.528846041E0,2.783992424E1
1.871998208E0,2.327415895E1,-6.089727752E0,-1.889728882E0,2.413177022E1
1.882022208E0,2.143269766E1,-7.307239088E0,-2.740393510E0,2.280934082E1
1.892045208E0,2.087165498E1,-9.308180258E0,-3.665414840E0,2.314526879E1
1.902069208E0,2.153500523E1,-1.249417487E1,-3.334388759E0,2.511929546E1
1.912093208E0,2.222722902E1,-1.516115074E1,-1.945328887E0,2.697581336E1
1.922117208E0,2.172597529E1,-1.661643735E1,-4.458034158E-1,2.735548817E1
1.932141208E0,1.945102950E1,-1.627770464E1,1.128398015E0,2.538857024E1
1.942165208E0,1.617618411E1,-1.495821260E1,2.018782779E0,2.212447831E1
1.952189208E0,1.283054765E1,-1.382841827E1,1.422291938E0,1.891747919E1
1.962213208E0,9.545164400E0,-1.277187084E1,9.334143504E-1,1.597191630E1
1.972237208E0,6.836647571E0,-1.217123198E1,2.521470686E-1,1.396217089E1
1.982261208E0,4.267837681E0,-1.123662122E1,-5.019776896E-1,1.203029827E1
1.992285208E0,2.570345954E0,-9.806301051E0,-4.616482008E-1,1.014807064E1
2.002309208E0,1.469807582E0,-7.928698710E0,-1.238259012E-1,8.064733747E0
2.012333208E0,2.087444293E-1,-5.131183165E0,3.628120568E-1,5.148227608E0
2.022357208E0,-1.004428273E0,-1.469221106E0,5.803103527E-1,1.871963386E0
2.032381208E0,-2.423794849E0,1.905664007E0,2.821198960E-1,3.096115051E0
2.042405208E0,-4.453904854E0,5.043624035E0,-2.287348902E-1,6.732587281E0
2.052429208E0,-7.006643087E0,7.796269215E0,-1.132206234E0,1.054309025E1
2.062453208E0,-9.292067671E0,9.988893224E0,-1.954764538E0,1.378193070E1
2.072477208E0,-1.099921374E1,1.124850393E1,-2.513181819E0,1.593196869E1
2.082501208E0,-1.187909339E1,1.150331389E1,-2.817567986E0,1.677431905E1
2.092525208E0,-1.202604795E1,1.143682169E1,-3.240745600E0,1.690943973E1
2.102548208E0,-1.183429203E1,1.110980563E1,-3.466847489E0,1.659811075E1
2.112572208E0,-1.142853970E1,1.052189500E1,-2.580513677E0,1.574740756E1
2.122596208E0,-1.118706372E1,9.806313915E0,-1.553602275E0,1.495753547E1
2.132620208E0,-1.098685506E1,9.048213050E0,-8.584741688E-1,1.425896635E1
2.142644208E0,-1.050894341E1,8.291700874E0,-3.864454061E-1,1.339177117E1
2.152668208E0,-9.733969240E0,7.682159632E0,-6.329786360E-2,1.240039275E1
2.162692208E0,-8.998666084E0,7.217583731E0,8.606048942E-2,1.153589670E1
2.172716208E0,-8.464123569E0,6.790590808E0,1.617450581E-1,1.085263437E1
2.182740208E0,-8.059919000E0,6.452928137E0,2.809118978E-1,1.032867307E1
2.192764208E0,-7.850682819E0,6.161548517E0,3.545394892E-1,9.986170393E0
2.202788208E0,-7.808006916E0,5.900793689E0,4.146091050E-1,9.795725541E0
2.212812208E0,-7.779121671E0,5.756011952E0,4.381798160E-1,9.687022717E0
2.222836208E0,-7.596312566E0,5.713620223E0,4.104815555E-1,9.514090381E0
2.232860208E0,-6.899503385E0,5.672870393E0,3.359997225E-1,8.938540220E0
2.242884208E0,-6.086357417E0,5.582382976E0,3.695639098E-1,8.267002104E0
2.252908208E0,-5.850890628E0,5.522857736E0,6.431902134E-1,8.071466556E0
2.262932208E0,-5.964941154E0,5.489308752E0,1.103602313E0,8.181135105E0
2.272956208E0,-6.254773015E0,5.457778226E0,1.552343370E0,8.445075404E0
2.282980208E0,-6.402012922E0,5.323434938E0,1.663764403E0,8.490750319E0
2.293004208E0,-6.117216682E0,5.100139128E0,1.498094072E0,8.104075821E0
2.303027208E0,-5.861951221E0,4.883129367E0,1.107040476E0,7.709277732E0
2.313051208E0,-6.168746440E0,4.787902198E0,8.710035825E-1,7.857231531E0
