"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.993666691E-3,1.060261581E0,-3.839927915E-1,2.306410241E0,2.567320253E0
1.501666667E-2,1.351915728E0,-6.243852755E-1,2.055784544E0,2.538460793E0
2.504066669E-2,1.427060050E0,-7.431547970E-1,2.041331981E0,2.599195202E0
3.506466668E-2,1.161342398E0,-5.812132359E-1,1.888002784E0,2.291523402E0
4.508766669E-2,4.302509916E-1,-1.624222022E-1,1.555667512E0,1.622220175E0
5.511566668E-2,-3.476064456E-1,4.004231751E-2,1.383678680E0,1.427235201E0
6.513866669E-2,-1.001283348E0,-1.405694032E-1,1.153235233E0,1.533714316E0
7.516266668E-2,-3.527031711E-1,-5.027406782E-1,9.636883825E-1,1.142734884E0
8.518566668E-2,4.464585963E-1,-8.671160612E-1,1.293045668E0,1.619624228E0
9.520966667E-2,9.637988949E-1,-8.661600414E-1,1.402595592E0,1.909559091E0
1.052336667E-1,1.145338276E0,-7.949064562E-1,1.263913085E0,1.881794975E0
1.152566667E-1,1.098069677E0,-9.015526530E-1,1.096835330E0,1.794882153E0
1.252806667E-1,1.056603563E0,-1.105350630E0,9.747121382E-1,1.813360101E0
1.353036667E-1,1.255590743E0,-1.330717232E0,7.235531759E-1,1.967446483E0
1.453276667E-1,1.408455379E0,-1.524565002E0,5.295343745E-1,2.142067145E0
1.553506667E-1,1.506695034E0,-1.670044605E0,3.462639248E-1,2.275758690E0
1.653746667E-1,1.768465523E0,-1.759047413E0,1.116373801E-1,2.496834198E0
1.753986667E-1,2.228387334E0,-1.715554069E0,-2.769931304E-1,2.825873505E0
1.854216667E-1,2.452080462E0,-1.665671472E0,-4.239161181E-1,2.994472395E0
1.954456667E-1,1.147498092E0,-1.258606445E0,-7.155407363E-1,1.847387506E0
2.054686667E-1,-4.005256476E-1,-5.836418769E-1,-1.266750739E0,1.451108566E0
2.154926667E-1,-8.155386490E-1,-3.145275772E-2,-1.556922909E0,1.757868456E0
2.255156667E-1,-1.141411579E-1,-2.613720015E-1,-2.012343240E0,2.032453897E0
2.355396667E-1,1.331178577E0,-7.733179513E-1,-1.874198093E0,2.425422757E0
2.455636667E-1,1.300913535E0,-8.022628382E-1,-1.678285378E-1,1.537585154E0
2.555866667E-1,3.914244564E-1,-6.616530892E-1,2.913340116E-1,8.221152120E-1
2.656106667E-1,2.349121812E-1,-4.199259782E-1,-6.884418154E-1,8.399248140E-1
2.756336667E-1,3.485971101E-1,-3.000560108E-1,-5.111671007E-1,6.876375205E-1
2.856576667E-1,5.188499035E-1,-4.166997769E-1,-1.232821101E-1,6.767883016E-1
2.956806667E-1,9.751321875E-1,-7.357726872E-1,-7.424648255E-1,1.429509793E0
3.057046667E-1,1.075981162E0,-1.044076780E0,-1.097316556E0,1.857938484E0
3.157286667E-1,9.152805997E-1,-1.335396174E0,-1.338653365E0,2.100717580E0
3.257516667E-1,6.917877384E-1,-1.727819481E0,-1.651481742E0,2.488236801E0
3.357756667E-1,4.855625088E-1,-2.219497227E0,-1.830103070E0,2.917398865E0
3.457986667E-1,5.635465316E-1,-2.847054325E0,-2.187239892E0,3.634187855E0
3.558226667E-1,5.343248521E-1,-3.761885420E0,-2.398513243E0,4.493345161E0
3.658456667E-1,2.338175386E0,-4.118919916E0,-1.052472505E0,4.851830972E0
3.758696667E-1,5.075302495E0,-3.869665684E0,-4.075953698E-1,6.395243694E0
3.858936667E-1,6.099249943E0,-3.334718542E0,-5.534021240E-1,6.973338622E0
3.959166667E-1,4.759996653E0,-2.986127133E0,-1.027011389E0,5.712204109E0
4.059406667E-1,2.060461440E0,-3.026268561E0,-1.372259068E0,3.909846250E0
4.159636667E-1,1.250351053E-1,-3.002479456E0,-1.186920458E0,3.230990071E0
4.259876667E-1,-2.547281027E-1,-2.836492207E0,-9.456251639E-1,3.000796794E0
4.360116667E-1,4.068311387E-1,-2.559785882E0,-1.508120878E0,2.998740389E0
4.460346667E-1,9.522073746E-1,-3.827564854E0,-2.126368039E0,4.480891946E0
4.560586667E-1,1.590368398E0,-4.801150234E0,-5.321018869E-1,5.085611824E0
4.660816667E-1,1.562116406E0,-4.654354716E0,-7.631341481E-1,4.968460447E0
4.761056667E-1,3.899338549E-1,-3.890205491E0,-1.047018807E0,4.047467795E0
4.861286667E-1,-1.321354963E0,-3.005771439E0,-1.190693082E0,3.492619489E0
4.961526667E-1,-2.268119749E0,-2.341576857E0,-4.880887252E-1,3.296297920E0
5.061766667E-1,-2.304825645E0,-2.030104450E0,7.522998422E-1,3.162198663E0
5.161996667E-1,-1.763377569E0,-1.799433986E0,1.866155832E0,3.135283194E0
