"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.722916664E-4,6.130605344E-1,1.657574540E-1,2.046939461E0,2.143193857E0
1.089329167E-2,2.705215783E-1,1.900099504E-1,1.210374810E0,1.254708287E0
2.091429167E-2,-4.267137185E-2,2.288281533E-1,5.538324791E-1,6.007608381E-1
3.093629167E-2,-5.991773441E-1,3.431353721E-1,-1.310331792E-1,7.027980274E-1
4.095729167E-2,-7.452497081E-1,1.886735693E-1,-2.934395939E-1,8.228618587E-1
5.097829167E-2,-4.626982145E-1,-6.011230052E-3,9.471436858E-2,4.723310113E-1
6.100029167E-2,-4.635571705E-1,-2.526783612E-1,5.152543044E-1,7.377117342E-1
7.102129167E-2,-4.623840728E-1,-2.249178278E-1,7.919240838E-1,9.442090948E-1
8.104229167E-2,-3.431836116E-1,-1.756222916E-1,7.126843715E-1,8.102698279E-1
9.106429167E-2,-7.413231567E-2,-3.875440979E-1,2.409508932E-1,4.623238702E-1
1.010852917E-1,3.021256328E-2,-4.844038099E-1,-1.303788757E-1,5.025519886E-1
1.111062917E-1,-1.892474735E-1,-3.822941753E-1,-4.195605272E-1,5.983263981E-1
1.211282917E-1,-4.218010341E-1,-2.415622196E-1,-4.938102257E-1,6.929047245E-1
1.311492917E-1,-3.908447050E-1,-2.275274402E-1,-5.206430984E-1,6.896358135E-1
1.411702917E-1,-1.933646442E-1,-3.344879249E-1,-6.187938756E-1,7.295052556E-1
1.511922917E-1,-1.772808543E-1,-3.049431136E-1,-5.445365757E-1,6.487980318E-1
1.612132917E-1,-1.951840053E-1,-2.326574948E-1,-4.635567319E-1,5.541760998E-1
1.712342917E-1,-2.169739468E-1,-1.519638723E-1,-5.469742799E-1,6.077430172E-1
1.812562917E-1,-3.906980860E-1,-1.109450698E-1,-6.676619804E-1,7.814898099E-1
1.912772917E-1,-4.381691448E-1,-9.144606739E-2,-4.949147648E-1,6.673044336E-1
2.012982917E-1,-6.065929292E-1,-9.134549528E-2,-2.541182381E-1,6.639842319E-1
2.113202917E-1,-5.035053478E-1,-2.059661248E-1,-3.151310098E-1,6.286869119E-1
2.213412917E-1,-1.474066986E-1,-7.256950110E-2,-3.146059299E-1,3.549252856E-1
2.313622917E-1,-7.197863996E-2,2.065587401E-2,-3.259436810E-1,3.344351550E-1
2.413842917E-1,-1.763546553E-1,3.210092157E-2,-4.741483784E-1,5.069005014E-1
2.514052917E-1,-1.957405141E-1,2.006255704E-1,-7.122493386E-1,7.654175911E-1
2.614262917E-1,-2.289012435E-1,3.640289354E-1,-1.005591869E0,1.093676301E0
2.714482917E-1,-3.371258962E-1,3.965587503E-1,-1.119588016E0,1.234661912E0
2.814692917E-1,-2.829429647E-1,4.339242125E-1,-1.279959599E0,1.380812630E0
2.914902917E-1,-2.049142107E-1,3.286886564E-1,-1.233963062E0,1.293325522E0
3.015122917E-1,-1.774817061E-1,2.384716737E-1,-1.181326427E0,1.218154597E0
3.115332917E-1,-3.282764277E-1,1.369800898E-1,-1.367243326E0,1.412757329E0
3.215542917E-1,-5.535211149E-1,1.001411694E-1,-1.644217161E0,1.737775575E0
3.315762917E-1,-9.561653548E-1,1.103430989E-1,-1.709107221E0,1.961498223E0
3.415972917E-1,-1.436622879E0,3.282422215E-2,-1.748451966E0,2.263193983E0
3.516182917E-1,-1.807376989E0,-2.326048699E-1,-1.751786633E0,2.527740694E0
3.616402917E-1,-1.671871567E0,-4.146453577E-1,-1.676471572E0,2.403672657E0
3.716612917E-1,-1.342448793E0,-3.961260563E-1,-1.740013264E0,2.233098917E0
3.816822917E-1,-1.115079228E0,-4.429280475E-1,-9.078971744E-1,1.504614309E0
3.917042917E-1,-1.356653434E0,-5.216280618E-1,4.856621307E-1,1.532472538E0
4.017252917E-1,-2.069589821E0,-5.790968361E-1,3.911202550E-2,2.149438280E0
4.117462917E-1,-2.159617061E0,-4.707815516E-1,-6.633607686E-2,2.211330277E0
