"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.575000000E-3,-5.286299564E-1,-9.525506061E-1,7.260961300E-1,1.309205056E0
1.859800000E-2,5.523966953E-2,-1.092855423E0,8.341158378E-1,1.375911926E0
2.862000000E-2,2.378484336E-1,-1.139883701E0,9.282829070E-1,1.489166171E0
3.864300000E-2,4.393406345E-1,-8.537063491E-1,9.114955509E-1,1.323880230E0
4.866500000E-2,5.496015070E-1,-8.990824968E-1,4.787898982E-1,1.157432900E0
5.868800000E-2,4.922502617E-1,-9.423837599E-1,-6.298094451E-2,1.065065289E0
6.871000000E-2,4.209540649E-1,-8.113520426E-1,-5.723991430E-1,1.078487478E0
7.873300000E-2,2.901088006E-1,-6.483591521E-1,-9.879519886E-1,1.216791617E0
8.875500000E-2,1.059223115E-1,-3.435598800E-1,-1.249923037E0,1.300600064E0
9.877800000E-2,-8.216518398E-2,-5.321872562E-2,-1.291507266E0,1.295212094E0
1.088000000E-1,-1.547244159E-1,1.655899313E-1,-1.211939524E0,1.232946504E0
1.188230000E-1,-9.442529686E-2,3.762528321E-1,-1.031211444E0,1.101761940E0
1.288450000E-1,-5.771918133E-2,4.373775780E-1,-8.525304741E-1,9.599160687E-1
1.388680000E-1,-4.474393571E-2,4.212193823E-1,-7.589528042E-1,8.691588732E-1
1.488900000E-1,-1.152018611E-1,4.568020284E-1,-7.251219839E-1,8.647204482E-1
1.589130000E-1,-3.324174258E-1,5.068436694E-1,-7.654607552E-1,9.763821066E-1
1.689350000E-1,-4.080595291E-1,4.531580436E-1,-6.772251016E-1,9.113169756E-1
1.789580000E-1,-5.073208388E-1,3.565944931E-1,-4.315800637E-1,7.555100379E-1
1.889800000E-1,-5.836961098E-1,5.079132713E-1,-1.785546702E-1,7.940773325E-1
1.990030000E-1,-8.362860319E-1,5.316215381E-1,3.188135862E-2,9.914697211E-1
2.090250000E-1,-7.372896742E-1,3.275531271E-1,9.743449330E-2,8.126380469E-1
2.190480000E-1,-5.958519961E-1,2.289174695E-1,-1.747089565E-2,6.385515181E-1
2.290700000E-1,-7.526519908E-1,1.355548310E-1,-5.803420007E-2,7.669602987E-1
2.390930000E-1,-6.061767171E-1,-2.295982316E-2,-9.805488288E-2,6.144852528E-1
2.491150000E-1,-6.068415821E-1,-1.178591099E-1,-6.632496715E-3,6.182163582E-1
2.591380000E-1,-7.243931285E-1,-1.848005198E-1,-3.309757948E-2,7.483261899E-1
2.691600000E-1,-7.468183699E-1,-4.016844195E-1,-2.219427645E-2,8.482809891E-1
2.791830000E-1,-4.171001650E-1,-5.426758455E-1,-1.497501165E-1,7.006387930E-1
2.892050000E-1,-6.026666701E-2,-6.011320683E-1,-3.018958372E-1,6.753761406E-1
2.992270000E-1,-7.251563363E-2,-6.485721369E-1,-6.772596002E-1,9.405237370E-1
3.092500000E-1,-2.486524802E-2,-7.918069933E-1,-1.291624210E0,1.515212756E0
3.192730000E-1,1.753408943E-1,-9.771111046E-1,-1.930665239E0,2.170935007E0
3.292950000E-1,3.007978032E-1,-1.168216677E0,-2.615063120E0,2.879889693E0
3.393170000E-1,3.244686478E-1,-1.370865676E0,-3.405417227E0,3.685297694E0
3.493400000E-1,3.754045473E-1,-1.496512108E0,-3.928606787E0,4.220714199E0
3.593620000E-1,4.695783408E-1,-1.395535810E0,-4.012792659E0,4.274403928E0
3.693850000E-1,5.274244067E-1,-1.427524611E0,-3.498046478E0,3.814751916E0
3.794070000E-1,5.956932807E-1,-1.514154473E0,-3.358003909E0,3.731448044E0
3.894300000E-1,7.009829235E-1,-1.508323922E0,-3.281918769E0,3.679321802E0
3.994520000E-1,6.608419342E-1,-1.624118673E0,-3.477220450E0,3.894295261E0
4.094750000E-1,6.054448284E-1,-1.840147856E0,-3.943770372E0,4.393863029E0
4.194970000E-1,6.327020627E-1,-1.876528501E0,-4.247899261E0,4.686824004E0
4.295200000E-1,6.425084281E-1,-1.977756375E0,-4.318006207E0,4.792652184E0
4.395420000E-1,7.056949022E-1,-2.355558866E0,-4.523756277E0,5.148886648E0
4.495650000E-1,7.205909765E-1,-2.468302100E0,-4.384592544E0,5.082953708E0
