"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.622125001E-3,1.517647746E-1,8.435690314E-2,4.527808982E-1,4.849321352E-1
1.164512500E-2,3.576055498E-1,-1.482891896E-1,4.177800500E-1,5.695714031E-1
2.166812500E-2,1.791180494E-1,-4.204042804E-1,3.287152612E-1,5.629180736E-1
3.169112500E-2,-2.551347765E-1,-1.118160126E-1,4.532317185E-1,5.319920728E-1
4.171412500E-2,-3.711107907E-1,2.080222982E-1,4.628492188E-1,6.286699411E-1
5.173712500E-2,-1.782320501E-1,7.421052217E-2,4.676223010E-1,5.059095588E-1
6.176012500E-2,1.217944323E-1,-1.500439391E-1,2.730895293E-1,3.345518770E-1
7.178312500E-2,1.318265001E-1,-1.989363098E-1,-1.061638016E-1,2.611984576E-1
8.180612500E-2,4.711247832E-3,1.245661587E-2,-5.519058216E-1,5.520664806E-1
9.182912500E-2,-4.105240940E-1,-4.789454341E-2,-9.630387568E-1,1.047982617E0
1.018511250E-1,-3.461442031E-1,-4.956830889E-1,-1.145988779E0,1.295688163E0
1.118741250E-1,2.271454708E-1,-6.238467470E-1,-1.472636465E0,1.615375494E0
1.218971250E-1,2.332618046E-1,-7.205737272E-1,-1.329988376E0,1.530524958E0
1.319201250E-1,1.651624998E-1,-8.376446325E-1,-1.461627327E0,1.692714278E0
1.419431250E-1,9.432377458E-2,-8.496176836E-1,-1.531538392E0,1.753954682E0
1.519661250E-1,1.046189672E-1,-8.308206394E-1,-1.460076061E0,1.683160767E0
1.619891250E-1,1.184268746E-1,-7.688775757E-1,-1.453773932E0,1.648834830E0
1.720121250E-1,1.904204249E-2,-7.075727355E-1,-1.439709039E0,1.604301684E0
1.820351250E-1,-8.368476570E-2,-7.649657884E-1,-1.608802330E0,1.783373414E0
1.920581250E-1,-3.813787937E-2,-8.240095103E-1,-1.825504235E0,2.003225370E0
2.020811250E-1,1.304981589E-2,-8.480316263E-1,-2.078309188E0,2.244704217E0
2.121041250E-1,-1.394502461E-2,-5.597735426E-1,-2.623691272E0,2.682777809E0
2.221271250E-1,-2.680664787E-1,-5.159781897E-1,-2.984680240E0,3.040790894E0
2.321501250E-1,-6.325798559E-1,-9.263506946E-1,-3.262256922E0,3.449725077E0
2.421731250E-1,-7.235496676E-1,-1.172077301E0,-3.346386661E0,3.618783360E0
2.521951250E-1,-6.997129083E-1,-1.336953287E0,-2.900617744E0,3.269652205E0
2.622181250E-1,-6.326506072E-1,-1.545966689E0,-2.323518609E0,2.861642626E0
2.722411250E-1,1.272321966E-1,-1.525993769E0,-2.305581105E0,2.767769725E0
2.822641250E-1,2.937325394E-1,-1.354344369E0,-2.286760672E0,2.673911338E0
2.922871250E-1,6.502606666E-1,-1.054871910E0,-2.216088885E0,2.539024149E0
3.023101250E-1,9.408666998E-1,-1.009280585E0,-1.572467147E0,2.092015864E0
3.123331250E-1,8.710930449E-1,-1.200369931E0,-1.035227312E0,1.808697501E0
3.223561250E-1,5.963709730E-1,-1.078178327E0,-8.110222596E-1,1.475087776E0
3.323791250E-1,5.467602718E-1,-5.291464117E-1,-9.579049015E-1,1.223325190E0
3.424021250E-1,1.153574372E0,2.246666899E-1,-1.610909082E0,1.994050406E0
3.524251250E-1,1.579473281E-1,7.249804813E-1,-3.007908304E0,3.098073017E0
3.624481250E-1,-1.916867564E0,1.050051758E0,-4.553010482E0,5.050435070E0
3.724711250E-1,-2.122260370E0,5.941127783E-1,-5.644596766E0,6.059573560E0
3.824941250E-1,-1.975753119E0,-8.443830369E-1,-5.765003216E0,6.152385324E0
3.925171250E-1,-2.251143528E0,-2.949298153E0,-3.627383965E0,5.188826573E0
