Segment,Predicted Activity
0,Jumping
1,Walking
2,Walking
3,Walking
4,Jumping
5,Jumping
6,Jumping
7,Jumping
8,Jumping
9,Jumping
10,Jumping
11,Walking
12,Jumping
13,Jumping
14,Jumping
15,Jumping
16,Walking
17,Jumping
18,Jumping
19,Walking
20,Jumping
21,Jumping
22,Walking
23,Walking
24,Walking
25,Jumping
26,Walking
27,Walking
28,Jumping
29,Jumping
30,Jumping
31,Jumping
32,Jumping
33,Jumping
34,Jumping
35,Jumping
36,Jumping
37,Jumping
38,Jumping
39,Jumping
40,Jumping
41,Walking
42,Jumping
43,Jumping
44,Jumping
45,Jumping
46,Walking
47,Jumping
48,Jumping
49,Walking
50,Jumping
51,Jumping
52,Jumping
53,Jumping
54,Walking
55,Jumping
56,Jumping
57,Jumping
58,Jumping
59,Jumping
60,Walking
61,Walking
62,Walking
63,Walking
64,Jumping
65,Jumping
66,Jumping
67,Walking
68,Walking
69,Walking
70,Jumping
71,Walking
