"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.152675000E-2,-7.586838323E-1,8.424209306E-1,5.451452708E-1,1.257957689E0
2.155075000E-2,-9.127035856E-1,1.098205333E0,6.263274282E-1,1.559284719E0
3.157475000E-2,-4.923601893E-1,1.181890098E0,7.901962316E-1,1.504557359E0
4.159875000E-2,-4.846267350E-2,1.092347007E0,8.837832570E-1,1.405931528E0
5.162175000E-2,-5.053039514E-2,5.818575990E-1,4.437674153E-1,7.335128528E-1
6.164575000E-2,-2.533771035E-1,-2.900394380E-2,-9.677551210E-2,2.727758880E-1
7.166975000E-2,-1.444708847E-1,-2.586276108E-1,-3.303314316E-1,4.437104149E-1
8.169375000E-2,-2.983640458E-1,-2.476184732E-1,-5.944986945E-1,7.097638409E-1
9.171675000E-2,-6.416769540E-1,-2.242173314E-1,-8.129074019E-1,1.059642000E0
1.017407500E-1,-7.448245425E-1,-4.280746579E-3,-3.604463464E-1,8.274681217E-1
1.117647500E-1,-8.036956253E-1,2.396756154E-1,-2.146349144E-1,8.657015682E-1
1.217887500E-1,-9.898204663E-1,3.961313188E-1,-2.467349589E-1,1.094322949E0
1.318127500E-1,-9.957254963E-1,1.743397048E-1,-5.086381799E-1,1.131625554E0
1.418357500E-1,-8.878787930E-1,-2.111812565E-1,-9.057407212E-1,1.285804234E0
1.518597500E-1,-8.523367120E-1,-1.780643812E-1,-1.214304723E0,1.494229151E0
1.618837500E-1,-9.386482662E-1,-2.882782567E-1,-1.389493736E0,1.701428154E0
1.719077500E-1,-8.266941132E-1,-4.158934459E-1,-1.502208758E0,1.764375716E0
1.819307500E-1,-9.236761051E-1,-4.312915036E-1,-1.641807523E0,1.932542846E0
1.919547500E-1,-1.050912468E0,-3.691417408E-1,-1.824730064E0,2.137831248E0
2.019787500E-1,-1.203413334E0,-3.580431408E-1,-1.689392164E0,2.104862092E0
2.120027500E-1,-1.078876777E0,-3.361862487E-1,-1.324267461E0,1.740885005E0
2.220257500E-1,-6.689295837E-1,-5.241099125E-1,-7.724832612E-1,1.148428656E0
2.320497500E-1,-3.180407671E-1,-6.211444563E-1,-4.422512323E-1,8.261697873E-1
2.420737500E-1,1.722293350E-1,-8.198995024E-1,-4.233664799E-1,9.386891467E-1
2.520977500E-1,5.630226576E-1,-1.127544322E0,-7.057636070E-1,1.444455946E0
2.621207500E-1,8.103890061E-1,-1.328705790E0,-1.183011010E0,1.954918020E0
2.721447500E-1,8.614955713E-1,-1.456208128E0,-1.759616640E0,2.441099639E0
2.821687500E-1,7.846902010E-1,-1.534821896E0,-2.400121812E0,2.954996053E0
2.921927500E-1,7.235736412E-1,-1.691922839E0,-2.963421518E0,3.488270173E0
3.022167500E-1,7.175953748E-1,-1.765932217E0,-3.568341705E0,4.045555863E0
3.122397500E-1,7.423811372E-1,-1.802225300E0,-4.169215618E0,4.602336869E0
3.222637500E-1,3.049787086E-1,-2.189388744E0,-4.747583599E0,5.236982444E0
3.322877500E-1,4.905429478E-1,-2.558793610E0,-5.094199526E0,5.721793944E0
3.423117500E-1,1.027619938E0,-2.755428163E0,-5.198276457E0,5.972475636E0
3.523347500E-1,1.128519638E0,-2.939568386E0,-5.169943188E0,6.053340519E0
3.623587500E-1,9.975415684E-1,-3.116551325E0,-4.942743777E0,5.927790262E0
3.723827500E-1,9.280158354E-1,-3.162790521E0,-4.566822774E0,5.632080213E0
3.824067500E-1,7.424943540E-1,-3.187405253E0,-4.126177188E0,5.266515764E0
3.924297500E-1,6.659300351E-1,-2.754129497E0,-3.096109459E0,4.196973419E0
