"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.357791665E-2,-2.095155309E-1,8.431743443E-2,5.101257116E-1,5.578838849E-1
3.360191666E-2,-2.074210583E-1,8.722671658E-2,3.431052589E-1,4.103086816E-1
4.362591666E-2,6.509763658E-2,-3.177464694E-2,1.555751127E-1,1.716127797E-1
5.364991666E-2,3.089138116E-1,-1.016623226E-1,4.337756932E-2,3.280923412E-1
6.367391667E-2,4.441908999E-1,-1.658688435E-1,-5.286526144E-2,4.770877955E-1
7.369791665E-2,5.572972468E-1,-1.134041163E-1,3.660707831E-2,5.698954229E-1
8.372191666E-2,6.451531237E-1,-4.882161945E-2,-5.641276717E-2,6.494524647E-1
9.374591666E-2,6.632683825E-1,-3.051018655E-2,-1.617983043E-1,6.833992318E-1
1.037699167E-1,6.748327133E-1,-4.060715854E-2,-2.553566784E-1,7.226722393E-1
1.137939167E-1,5.802601397E-1,-2.884636134E-2,-3.763934577E-1,6.922470493E-1
1.238179167E-1,4.979424530E-1,5.214546919E-2,-4.223069644E-1,6.549877928E-1
1.338419167E-1,4.536797614E-1,6.380452484E-2,-4.410437822E-1,6.359370733E-1
1.438669167E-1,4.455006762E-1,4.156493247E-3,-6.339931279E-1,7.748776776E-1
1.538909167E-1,4.048832850E-1,-2.787367702E-3,-7.482962537E-1,8.508146256E-1
1.639149167E-1,2.665421095E-1,-1.144498909E-1,-4.410350114E-1,5.278781630E-1
1.739389167E-1,3.619603367E-1,-1.588299653E-1,-4.179858720E-1,5.752863917E-1
1.839629167E-1,4.269993550E-1,-1.338410121E-1,-2.674446273E-1,5.213141992E-1
1.939869167E-1,4.694408581E-1,-2.992736533E-1,-3.060374200E-2,5.575625776E-1
2.040109167E-1,4.032041840E-1,-2.398466465E-1,3.808525443E-2,4.706915279E-1
2.140349167E-1,3.626321818E-1,-4.353836775E-2,1.043768924E-1,3.798581635E-1
2.240589167E-1,3.487642673E-1,-8.285943121E-2,1.244030213E-1,3.794447407E-1
2.340829167E-1,4.654319340E-1,-1.709421802E-1,2.107494396E-1,5.387610235E-1
2.441069167E-1,7.024673123E-1,-1.928473118E-1,2.962369019E-1,7.863883980E-1
2.541309167E-1,8.849214906E-1,-1.814955273E-1,4.106517094E-1,9.923011123E-1
2.641549167E-1,9.910287935E-1,-2.246731219E-1,5.698181820E-1,1.165035983E0
2.741789167E-1,1.123456168E0,-2.733547005E-1,5.977181715E-1,1.301592704E0
2.842029167E-1,1.213166416E0,-3.456090367E-1,5.015800059E-1,1.357498016E0
2.942269167E-1,1.473761761E0,-4.549195173E-1,2.432178587E-1,1.561435373E0
3.042509167E-1,1.566783653E0,-5.401005855E-1,-3.689593077E-2,1.657673360E0
3.142749167E-1,1.656343117E0,-6.299474394E-1,-3.638611203E-1,1.809060865E0
3.242989167E-1,1.807465867E0,-6.835169980E-1,-5.834223139E-1,2.018541539E0
3.343229167E-1,1.816541477E0,-7.184997198E-1,-7.244577402E-1,2.083483574E0
