"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.651958334E-3,2.769091498E-1,-8.951824039E-2,4.021270537E-1,4.963852939E-1
1.767295833E-2,-8.858268589E-2,2.509145486E-1,6.138904005E-1,6.690787897E-1
2.769395833E-2,-2.041132153E-1,3.771284527E-1,4.588239956E-1,6.280187365E-1
3.771495833E-2,-2.076594054E-1,1.912989691E-1,9.796425104E-2,2.988556821E-1
4.773595833E-2,-1.728556084E-1,7.275105715E-2,-1.439999646E-1,2.364482342E-1
5.775695833E-2,-1.227820270E-1,-2.632036418E-2,-1.849842685E-1,2.235785485E-1
6.777795833E-2,-1.122512647E-1,-7.996827543E-2,-1.833698523E-1,2.293900046E-1
7.779895833E-2,-8.321092196E-2,-6.068152696E-2,-2.723902023E-1,2.912090788E-1
8.781995833E-2,-4.339204118E-2,-5.944308668E-2,-2.941237181E-1,3.031915424E-1
9.784095833E-2,2.899217628E-2,-7.251716852E-2,-2.847629106E-1,2.952781761E-1
1.078619583E-1,6.535301372E-2,-1.095633727E-1,-2.689169562E-1,2.976432065E-1
1.178829583E-1,5.787603289E-2,-8.615346014E-2,-2.349522346E-1,2.568552247E-1
1.279039583E-1,4.944939114E-2,-1.310995451E-1,-1.496267402E-1,2.049890104E-1
1.379249583E-1,4.774551250E-2,-1.266737875E-1,-7.131147265E-2,1.530072173E-1
1.479459583E-1,2.416011035E-2,-1.013737625E-1,3.821447790E-2,1.109986350E-1
1.579669583E-1,5.438692622E-2,-6.643255591E-2,7.144829750E-2,1.116963806E-1
1.679879583E-1,6.806575634E-2,-7.363427907E-2,1.031934160E-1,1.438882738E-1
1.780089583E-1,6.096095078E-2,-5.688434511E-2,9.069850087E-2,1.232001798E-1
1.880299583E-1,3.353553593E-2,8.457997441E-3,8.318424404E-2,9.008767034E-2
1.980509583E-1,3.254604086E-2,-6.647114754E-3,1.038529819E-1,1.090360984E-1
2.080719583E-1,8.472820133E-2,2.443288296E-2,1.058515602E-1,1.377693241E-1
2.180929583E-1,8.121994503E-2,3.723536164E-2,9.492194474E-2,1.303584566E-1
2.281139583E-1,3.857130423E-2,4.388072222E-2,6.605541050E-2,8.818492246E-2
2.381349583E-1,1.514385000E-2,5.066378474E-2,5.196479023E-2,7.413834838E-2
2.481559583E-1,-4.568429589E-3,3.264061958E-2,1.148334682E-2,3.490197486E-2
2.581769583E-1,-1.794737063E-2,2.869930387E-2,-4.314485013E-2,5.483827357E-2
2.681979583E-1,-1.717765778E-3,5.203144848E-3,-4.721451223E-2,4.753139595E-2
2.782189583E-1,5.563771874E-2,-1.704463363E-4,-4.422190726E-2,7.107152651E-2
2.882399583E-1,8.693135910E-2,-2.728340060E-2,-7.461865783E-2,1.177683711E-1
2.982609583E-1,7.411148496E-2,-3.171178937E-2,-6.758855045E-2,1.051967772E-1
3.082819583E-1,7.832835071E-2,-1.219495296E-2,-6.147879481E-2,1.003179426E-1
3.183029583E-1,5.690005951E-2,-1.382808030E-2,-8.163531661E-2,1.004647077E-1
3.283239583E-1,2.779101200E-2,4.306474328E-3,-5.462585807E-2,6.143997428E-2
3.383449583E-1,4.181775145E-2,-2.123036295E-2,-4.378862858E-2,6.416304731E-2
3.483659583E-1,4.790616475E-2,-6.348234326E-2,-4.692916811E-2,9.234368059E-2
3.583869583E-1,3.616612516E-2,-5.495388687E-2,-6.019123793E-2,8.916783845E-2
3.684079583E-1,2.234352663E-2,-5.924311191E-2,-5.756232977E-2,8.557103073E-2
3.784289583E-1,1.425054163E-2,-6.037922591E-2,8.686623573E-3,6.264332596E-2
3.884499583E-1,3.119226426E-2,-1.398507804E-2,1.217390299E-2,3.628696283E-2
3.984709583E-1,3.400996439E-2,-1.763812602E-3,5.450599015E-2,6.427045725E-2
4.084919583E-1,1.400685892E-2,2.196097255E-2,1.049154210E-1,1.081005179E-1
4.185129583E-1,6.289776787E-2,7.679206789E-2,6.168578625E-2,1.168686747E-1
4.285339583E-1,5.131523766E-2,1.451410487E-1,4.026451170E-2,1.591238780E-1
4.385549583E-1,-8.663899831E-2,-9.779175818E-3,6.466201901E-2,1.085501037E-1
4.485759583E-1,-1.753838713E-1,5.926562369E-2,8.418060958E-2,2.033673806E-1
4.585969583E-1,-2.491566563E-1,1.408097237E-1,5.097368717E-2,2.906969805E-1
4.686179583E-1,-1.798846194E-1,9.875859529E-2,2.514419675E-2,2.067461416E-1
4.786389583E-1,-1.302897788E-1,4.857457459E-2,1.282960975E-1,1.891951490E-1
4.886589583E-1,-3.273974815E-1,6.723318592E-1,1.772174120E-2,7.480195852E-1
4.986799583E-1,-3.895780519E-1,5.948945510E-1,-2.879753709E-3,7.111110169E-1
5.087009583E-1,-3.927798775E-1,5.119181755E-1,-1.381714600E-1,6.598693833E-1
5.187219583E-1,-3.477995864E-1,3.344423166E-1,-1.846883994E-1,5.166488365E-1
5.287429583E-1,-3.067046970E-1,1.952885243E-1,-4.964812338E-1,6.153852407E-1
5.387639583E-1,-3.631013843E-1,-6.861532152E-2,-7.739368790E-1,8.576298563E-1
5.487849583E-1,-4.882585137E-1,-1.802790141E-1,-8.941082704E-1,1.034565850E0
5.588059583E-1,-4.208128181E-1,-2.077737916E-1,-1.463062234E0,1.536490962E0
5.688269583E-1,-2.273522064E-1,-4.434177518E-1,-1.647295135E0,1.721014117E0
5.788479583E-1,-7.310280371E-2,-6.247267529E-1,-1.669960697E0,1.784487676E0
5.888689583E-1,3.491164159E-2,-7.542285463E-1,-1.800558844E0,1.952457854E0
5.988899583E-1,1.535755111E-1,-8.242925155E-1,-1.898624836E0,2.075528814E0
6.089109583E-1,3.102121858E-1,-9.604142341E-1,-1.789248574E0,2.054273001E0
6.189319583E-1,4.841330838E-1,-1.293778324E0,-1.713873287E0,2.201274367E0
6.289529583E-1,7.118695620E-1,-1.719288393E0,-1.723518269E0,2.536380507E0
6.389739583E-1,7.914272167E-1,-2.390304629E0,-1.648576260E0,3.009604117E0
6.489949583E-1,8.348274440E-1,-2.898264532E0,-1.615700875E0,3.421602472E0
6.590159583E-1,7.069834093E-1,-8.990941912E-1,-1.834790198E0,2.162094118E0
6.690369583E-1,3.493114205E-1,1.949520171E-2,-1.971705676E0,2.002503884E0
6.790579583E-1,1.202451467E0,-4.803677693E-1,-1.664429231E0,2.108783391E0
6.890789583E-1,3.449184220E0,-2.173377898E-1,-8.451723379E-1,3.557867870E0
6.990999583E-1,1.848075365E0,-1.162619430E0,-1.348411199E0,2.566179895E0
7.091209583E-1,1.010308087E0,-9.660620597E-1,-1.564550602E0,2.098050743E0
