"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.448625000E-3,7.445025071E-1,1.380511828E0,1.951911682E0,2.504008008E0
1.347062500E-2,6.904129849E-1,1.630825575E0,1.236351065E0,2.159820850E0
2.349262500E-2,7.426514979E-1,1.546246478E0,4.289926708E-1,1.768175367E0
3.351462500E-2,4.293461350E-1,1.342984690E0,2.178672552E-2,1.410113699E0
4.353762500E-2,4.718168011E-1,1.140152381E0,2.545585334E-1,1.259904200E0
5.355962500E-2,7.718437951E-1,6.888169143E-1,8.789335763E-1,1.357474058E0
6.358162500E-2,6.566673146E-1,3.091519395E-1,1.217138284E0,1.417114140E0
7.360362500E-2,8.965016820E-1,-2.420153788E-1,1.357919356E0,1.645062822E0
8.362562500E-2,9.784164224E-1,-8.186367962E-1,1.470821489E0,1.946992746E0
9.364762500E-2,1.200483221E0,-1.139629347E0,1.394843938E0,2.164602648E0
1.036696250E-1,1.236257363E0,-1.257042315E0,1.436011845E0,2.273899221E0
1.136916250E-1,1.172413662E0,-1.269896541E0,1.390970158E0,2.218555611E0
1.237136250E-1,1.233974464E0,-1.335564866E0,1.287156352E0,2.227823594E0
1.337366250E-1,1.192283963E0,-1.529999112E0,1.019118233E0,2.191127633E0
1.437586250E-1,1.125295483E0,-1.632313399E0,7.341728890E-1,2.114177568E0
1.537806250E-1,1.232499943E0,-1.822469530E0,2.872345287E-1,2.218773303E0
1.638026250E-1,1.489659756E0,-2.033185348E0,6.373582006E-2,2.521307420E0
1.738246250E-1,1.634234648E0,-1.883821148E0,-4.982687277E-1,2.543182402E0
1.838466250E-1,1.234255715E0,-1.774535810E0,-9.867398608E-1,2.376135532E0
1.938686250E-1,9.664563813E-1,-1.692764546E0,-1.267231380E0,2.324944110E0
2.038906250E-1,8.229823007E-1,-1.637236463E0,-1.641437979E0,2.460114172E0
2.139126250E-1,1.017036478E0,-1.824695565E0,-1.998526270E0,2.891017875E0
2.239346250E-1,9.317247243E-1,-1.456835826E0,-1.769721798E0,2.474347758E0
2.339576250E-1,6.295188385E-1,-9.845492014E-1,-2.097541265E0,2.401106091E0
2.439796250E-1,2.453484379E-1,-9.476915699E-1,-2.360841386E0,2.555755704E0
2.540016250E-1,-5.211623311E-3,-9.747191548E-1,-2.855264400E0,3.017058068E0
2.640236250E-1,4.635526389E-3,-1.058480519E0,-3.543106876E0,3.697838400E0
2.740456250E-1,1.964306317E-1,-1.263167565E0,-4.100434821E0,4.295083586E0
2.840676250E-1,4.028664342E-1,-1.647148370E0,-4.608013485E0,4.910110732E0
