"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.239000000E-3,7.028677004E-1,1.528009012E-1,-6.799838179E-1,9.898227681E-1
1.426300000E-2,5.522939305E-1,1.450621113E-1,-1.062450194E0,1.206180756E0
2.428600000E-2,3.967775092E-1,2.741086990E-1,-1.352240540E0,1.435660980E0
3.430900000E-2,5.594343675E-1,3.309904128E-1,-1.323892654E0,1.474860409E0
4.433200000E-2,6.057990235E-1,-1.187040326E-1,-1.260353885E0,1.403415484E0
5.435500000E-2,8.098542783E-1,5.466854274E-3,-1.564375770E0,1.761580367E0
6.437800000E-2,8.453214419E-1,8.337802076E-1,-1.869626155E0,2.214782096E0
7.440100000E-2,4.200216898E-1,1.143716551E0,-1.877929786E0,2.238554455E0
8.442400000E-2,2.079704042E-1,8.873369023E-1,-1.583499089E0,1.827043467E0
9.444700000E-2,4.027996297E-1,1.029697600E0,-1.599164949E0,1.944184462E0
1.044710000E-1,5.156285993E-1,1.080300866E0,-1.489926682E0,1.911231103E0
1.144940000E-1,5.995001104E-1,1.024588011E0,-1.278988377E0,1.744990614E0
1.245170000E-1,5.355667641E-1,9.765759382E-1,-1.063119700E0,1.539725891E0
1.345400000E-1,3.794598837E-1,9.355740926E-1,-7.732591867E-1,1.271699043E0
1.445630000E-1,2.046320095E-1,9.661120534E-1,-3.972469676E-1,1.064449112E0
1.545860000E-1,2.173991491E-1,9.275081509E-1,2.700302660E-2,9.530282910E-1
1.646090000E-1,4.802908053E-1,9.828590637E-1,2.665114117E-1,1.125930517E0
1.746320000E-1,6.544299506E-1,8.583426064E-1,7.178486323E-1,1.296278230E0
1.846550000E-1,7.974166659E-1,5.145985392E-1,1.118432021E0,1.466824864E0
1.946790000E-1,1.143259957E0,1.786944187E-1,1.133461704E0,1.619787165E0
2.047020000E-1,1.538208749E0,2.866743654E-2,9.155687213E-1,1.790299992E0
2.147250000E-1,1.661668907E0,9.783707410E-2,3.433432406E-1,1.699588253E0
2.247480000E-1,1.530711449E0,1.611483863E-1,-2.409929931E-1,1.557922965E0
2.347710000E-1,1.092584916E0,6.812152416E-2,-8.157760459E-1,1.365237305E0
2.447940000E-1,6.916536909E-1,2.345151553E-1,-1.406806757E0,1.585082786E0
2.548170000E-1,2.999981233E-1,2.999016443E-1,-1.665610954E0,1.718778554E0
2.648400000E-1,4.138060630E-1,4.366721115E-1,-1.747211187E0,1.847881198E0
2.748630000E-1,2.423767367E-1,-4.377243179E-1,-1.353757893E0,1.443263487E0
2.848870000E-1,2.088438320E-1,-1.322768819E0,-1.356066374E0,1.905846034E0
2.949100000E-1,6.566041647E-1,-1.677314740E0,-2.767957284E0,3.302438689E0
3.049330000E-1,5.963812056E-1,-2.062866984E0,-3.499142246E0,4.105494757E0
3.149560000E-1,3.847111219E-1,-2.545662810E0,-3.927548441E0,4.696172755E0
3.249790000E-1,4.215395173E-1,-3.274553909E0,-4.187587570E0,5.332568661E0
3.350020000E-1,4.880480871E-1,-3.754128504E0,-4.186216983E0,5.644119451E0
3.450250000E-1,1.092432377E-1,-3.879119170E0,-3.949070288E0,5.536664678E0
3.550480000E-1,-4.013569754E-1,-4.201485524E0,-3.690532724E0,5.606567562E0
3.650710000E-1,-5.983265743E-1,-4.818492783E0,-3.391647034E0,5.922764303E0
3.750950000E-1,-5.247636312E-1,-5.415968295E0,-2.859150460E0,6.146774015E0
3.851180000E-1,1.653855711E-1,-5.945610259E0,-2.285690632E0,6.371971076E0
3.951410000E-1,1.248245471E0,-6.617075268E0,-1.469445055E0,6.892247139E0
4.051640000E-1,2.028144171E0,-6.714184071E0,-3.000644892E-1,7.020233274E0
4.151870000E-1,1.736330688E0,-6.257186746E0,4.139945626E-1,6.506813485E0
4.252100000E-1,1.930715525E-1,-5.809719797E0,6.846247530E-1,5.853104458E0
4.352330000E-1,-1.458155835E0,-5.448878764E0,1.020253177E0,5.732138760E0
4.452560000E-1,-2.434654883E0,-5.232523599E0,1.047595050E0,5.865518135E0
4.552790000E-1,-2.273693315E0,-5.146888202E0,1.593027419E0,5.847894990E0
4.653030000E-1,-1.264070960E0,-4.956777095E0,2.584853480E0,5.731403151E0
4.753260000E-1,-2.588726091E-1,-4.668745006E0,3.281173834E0,5.712293470E0
4.853490000E-1,3.618110865E-1,-4.886802003E0,4.226499621E0,6.471092653E0
4.953720000E-1,5.496277463E-1,-5.184229106E0,5.473638799E0,7.559037226E0
5.053950000E-1,9.394528431E-1,-5.248755469E0,6.614502493E0,8.496096095E0
5.154180000E-1,2.110061324E0,-4.503008017E0,6.438870261E0,8.135630906E0
5.254410000E-1,4.124140018E0,-2.859090233E0,4.959040552E0,7.055140753E0
5.354640000E-1,5.673412430E0,-9.607764691E-1,3.856681357E0,6.927098318E0
5.454870000E-1,6.579792252E0,7.822346628E-1,3.221845645E0,7.367892949E0
5.555110000E-1,6.914472842E0,1.699787929E0,2.441201425E0,7.527195898E0
5.655364583E-1,6.116117406E0,1.147110275E0,1.820283695E0,6.483531972E0
5.755594583E-1,5.171045389E0,-4.449327654E-1,8.969903630E-1,5.267092869E0
5.855824583E-1,5.696315389E0,-2.047028631E0,-3.591517729E-1,6.063606618E0
5.956054583E-1,7.143521143E0,-1.427757915E0,-9.187735802E-1,7.342515365E0
6.056284583E-1,7.827574039E0,1.997183749E0,-6.159166069E-1,8.101790637E0
6.156514583E-1,7.768242341E0,4.006057252E0,-2.645794916E-1,8.744374539E0
6.256744583E-1,8.598800148E0,4.369146540E0,-1.903995211E-1,9.647023243E0
6.356974583E-1,9.266855062E0,3.678318475E0,-6.487509155E-1,9.991271555E0
6.457214583E-1,9.123555009E0,2.877054049E0,-2.169155624E0,9.809277859E0
