"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.193625000E-3,-6.760375321E-1,1.711269522E0,1.830829294E0,2.595651368E0
1.921662500E-2,-8.360813794E-1,1.540496180E0,1.480216210E0,2.294166642E0
2.923862500E-2,-6.339937127E-1,1.079686031E0,1.038466669E0,1.626678511E0
3.926062500E-2,-6.032949534E-1,5.505217856E-1,4.832688653E-1,9.489930629E-1
4.928362500E-2,-2.897339210E-1,1.297058612E-3,4.534024572E-1,5.380717569E-1
5.930562500E-2,-1.325195414E-1,-5.320337668E-1,7.938215053E-1,9.647662619E-1
6.932762500E-2,-1.582966992E-1,-5.659389199E-1,1.058324398E0,1.210535104E0
7.935062500E-2,-1.587144828E-1,-3.775292793E-1,1.056798860E0,1.133376581E0
8.937262500E-2,-1.694850540E-1,-1.710521444E-1,8.518960512E-1,8.852744781E-1
9.939462500E-2,-1.499968690E-1,2.282189283E-1,8.471007496E-1,8.900351790E-1
1.094176250E-1,-3.315985233E-2,5.003083096E-1,7.203442240E-1,8.776695172E-1
1.194396250E-1,9.406386584E-2,6.078343662E-1,6.917150867E-1,9.256243238E-1
1.294616250E-1,1.934346646E-1,8.229535762E-1,7.215323782E-1,1.111430848E0
1.394846250E-1,7.930812478E-2,9.713596371E-1,6.551612180E-1,1.174336215E0
1.495066250E-1,8.646277785E-3,1.006533928E0,4.757464224E-1,1.113337310E0
1.595286250E-1,3.875154465E-2,8.874337468E-1,7.054548740E-2,8.910763172E-1
1.695516250E-1,1.095648345E-1,6.077014882E-1,-2.382272601E-1,6.618593349E-1
1.795736250E-1,4.978728712E-2,2.134516755E-1,-3.922908676E-1,4.493690204E-1
1.895966250E-1,-1.623160753E-1,8.862220027E-2,-6.770186949E-1,7.018224248E-1
1.996186250E-1,-2.002858472E-1,9.086134583E-2,-8.684834325E-1,8.958982517E-1
2.096406250E-1,-2.305416799E-1,1.292677769E-2,-6.131682694E-1,6.552037045E-1
2.196636250E-1,-1.657153541E-1,-1.815924815E-1,-2.011664379E-1,3.176560146E-1
2.296856250E-1,2.147270080E-1,-2.896689073E-1,3.667823893E-1,5.143394647E-1
2.397076250E-1,4.320259139E-1,-2.245974552E-1,6.881687504E-1,8.430104603E-1
2.497306250E-1,5.370845917E-1,-2.624057892E-1,4.354187608E-1,7.395310366E-1
2.597526250E-1,5.157255900E-1,-3.784123550E-1,3.128722304E-1,7.120799303E-1
2.697746250E-1,2.541275936E-1,-3.825293430E-1,-7.861581445E-2,4.659291560E-1
2.797976250E-1,-2.809440941E-1,-5.296937111E-1,-6.130337834E-1,8.575053535E-1
