"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.045666653E-3,-2.719906182E-1,-5.506328827E-1,-1.021479923E0,1.191887873E0
7.979333343E-3,-5.863775698E-1,-5.830577400E-1,-1.525644398E0,1.735334496E0
1.800433334E-2,-9.068173398E-1,1.381989419E-3,-1.977947579E0,2.175912733E0
2.802933333E-2,-5.632060774E-1,9.804406554E-2,-2.476198180E0,2.541332555E0
3.805433333E-2,3.298098234E-2,-2.736137322E-1,-2.346418644E0,2.362547920E0
4.807933333E-2,8.511149362E-1,-7.380148020E-1,-2.251971493E0,2.518022655E0
5.810433332E-2,9.937179279E-1,-8.474819881E-1,-2.713952401E0,3.011849710E0
6.812933335E-2,7.264365841E-1,-8.570299065E-1,-2.991861205E0,3.195847907E0
7.815533332E-2,9.226521114E-1,-1.011458380E0,-3.339987468E0,3.609688527E0
8.818033335E-2,1.479221599E0,-1.320869351E0,-3.361646140E0,3.903006168E0
9.820533334E-2,1.773066405E0,-1.763361781E0,-2.476558369E0,3.519453168E0
1.082295833E-1,-1.633635162E0,-9.698408228E-1,-3.080147730E0,3.618931486E0
1.182545833E-1,-3.814110703E0,3.769173682E-2,-4.495159884E0,5.895364578E0
1.282795833E-1,-1.719298918E0,-3.269678208E-1,-2.407023865E0,2.976014216E0
1.383045833E-1,-1.073339756E-1,-8.882420513E-1,-4.677503550E-1,1.009596414E0
1.483295833E-1,5.726856565E-1,-9.960866350E-1,-2.386827582E-1,1.173510505E0
1.583545833E-1,3.082046905E-1,-8.081846058E-1,-1.127443165E0,1.421013926E0
1.683795833E-1,-2.281253180E-1,-8.330288404E-1,-1.199049922E0,1.477734389E0
1.784055833E-1,-7.758816630E-3,-1.034955416E0,-4.113375878E-1,1.113728658E0
1.884305833E-1,8.082275829E-1,-9.837212357E-1,-1.240972120E-1,1.279194830E0
1.984555833E-1,1.545388399E0,-6.310569486E-1,3.184440422E-1,1.699371879E0
