"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.154041690E-3,-1.694098296E0,1.054899684E0,-1.765164478E0,2.664317551E0
1.515704161E-2,-1.598053393E0,1.679086447E0,-1.499903201E0,2.760944685E0
2.515904163E-2,-1.654738641E0,2.049853129E0,-1.547351017E0,3.055217339E0
3.516204166E-2,-1.292609173E0,1.896738524E0,-1.501664382E0,2.742891070E0
4.516404169E-2,-1.749486923E-1,1.792725914E0,-1.604794648E0,2.412434270E0
5.516704160E-2,1.399343078E0,1.071346732E0,-2.310512062E0,2.905926851E0
6.516904163E-2,1.895370568E0,-6.341556805E-1,-2.335162754E0,3.073689657E0
7.517204166E-2,2.199829533E0,-3.054153348E0,-3.313163366E0,5.014394693E0
8.517404168E-2,1.692527880E0,-3.754100729E0,-2.959644216E0,5.071234248E0
9.517604159E-2,2.857310049E0,-2.956267742E0,-3.635105798E0,5.487962631E0
1.051790416E-1,4.376802299E0,-1.541716640E0,-4.960008266E0,6.792272857E0
1.151810416E-1,5.582212822E0,1.768040431E0,3.494030610E0,6.818747456E0
1.251840417E-1,3.408411001E0,2.781207660E0,5.390441691E0,6.957675130E0
1.351860416E-1,1.489240803E0,-2.572304186E-1,-7.761576515E-1,1.698948604E0
1.451890416E-1,1.308530118E-2,-1.936956843E0,1.554116830E0,2.483395289E0
1.551910416E-1,8.168932296E-1,-1.183244606E0,2.301698554E0,2.713889935E0
1.651930417E-1,2.158049715E0,-1.704824428E0,2.922843595E0,4.013305319E0
1.751960416E-1,3.017507678E0,-3.085566929E0,2.729765026E0,5.106632252E0
1.851980416E-1,3.059450925E0,-1.694299148E0,1.267439541E0,3.719851147E0
1.952010416E-1,4.340115699E0,4.055707714E-1,1.408770837E0,4.581018140E0
2.052030417E-1,5.359471328E0,3.332904151E-1,3.106818634E-1,5.378804573E0
2.152060416E-1,4.044538363E0,-2.732431356E0,-1.440080922E0,5.089037703E0
2.252080416E-1,3.869536753E0,-5.895797244E0,-2.154793693E0,7.374067784E0
2.352110416E-1,-4.536783581E0,-6.891874523E0,-1.500503125E0,8.386408608E0
2.452130417E-1,-1.130809758E1,-4.479443446E0,2.232496172E-1,1.216504521E1
2.552150417E-1,-1.665694715E0,-4.267584497E0,-3.093215087E0,5.527639270E0
2.652180416E-1,2.076061373E0,-2.161119503E0,-9.553076268E0,1.001207943E1
2.752200416E-1,2.424333231E0,5.510527128E-1,-9.121020241E0,9.453785535E0
2.852230417E-1,3.213591423E0,-2.659962720E-1,-5.466322762E0,6.346543027E0
2.952250417E-1,3.136409346E0,-3.365854965E0,-4.208675553E0,6.235302170E0
3.052280416E-1,2.291088781E0,-5.802607244E0,-4.410013899E0,7.639866571E0
3.152300416E-1,1.198413160E-1,-6.609140596E0,-5.962172497E0,8.901831398E0
3.252330417E-1,-7.984098154E-1,-6.686246075E0,-6.983192829E0,9.700944639E0
3.352350417E-1,-1.294410993E0,-6.446579815E0,-6.579770617E0,9.302003682E0
3.452370416E-1,-1.597713670E0,-7.115263889E0,-5.519269300E0,9.145600187E0
3.552400416E-1,-2.370430820E0,-8.779043494E0,-4.109168222E0,9.978767981E0
3.652420416E-1,-1.952372442E0,-9.787132709E0,-3.768735725E0,1.066785329E1
3.752450417E-1,-2.479366786E0,-9.845906582E0,-2.842892861E0,1.054377427E1
3.852470416E-1,-3.710567624E0,-9.697108392E0,-1.948339033E0,1.056400721E1
3.952500416E-1,-4.257427298E0,-1.042112291E1,-2.533299165E0,1.153876487E1
4.052520416E-1,-3.871339157E0,-1.280257340E1,1.561474966E0,1.346593318E1
4.152550417E-1,-5.176980312E0,-1.482137138E1,5.519072249E0,1.664134409E1
4.252570416E-1,-3.783192381E0,-1.641100361E1,7.923202912E0,1.861211241E1
4.352590416E-1,-6.030262738E-1,-1.390539335E1,9.153787453E0,1.665879436E1
4.452620416E-1,2.639757081E0,-1.073125455E1,1.187024772E1,1.621822810E1
4.552640417E-1,5.001587816E0,-1.053842858E1,1.720701548E1,2.078835586E1
4.652670416E-1,3.478449535E0,-1.138299924E1,2.027152016E1,2.350759053E1
4.752690416E-1,2.325603141E0,-1.083474910E1,2.113549305E1,2.386439365E1
4.852720416E-1,3.269617982E0,-9.990566697E0,2.213493423E1,2.450422694E1
4.952740417E-1,4.659781809E0,-8.755568678E0,2.290192052E1,2.495739396E1
5.052770416E-1,6.585773953E0,-6.532610484E0,2.107511704E1,2.302624538E1
5.152790416E-1,8.249092798E0,-4.065114715E0,1.773198786E1,1.997488631E1
