"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.872916758E-4,-4.996866775E-1,-1.385088444E-2,1.820760974E0,1.888133773E0
1.078929170E-2,-6.993591517E-1,-1.120373297E-1,2.095315230E0,2.211786948E0
2.079129172E-2,-6.247901952E-1,-5.207752454E-1,1.859873584E-1,8.343625961E-1
3.079329175E-2,-2.829432571E-1,-5.184006912E-1,5.202003179E-1,7.870225754E-1
4.079629167E-2,-2.744010597E-1,-1.924318671E-3,8.835568236E-1,9.251877134E-1
5.079829169E-2,-2.274631208E-1,-9.304791212E-2,1.432454107E0,1.453383003E0
6.080029171E-2,-2.936120868E-2,3.622180527E-1,1.692934992E0,1.731500184E0
7.080229174E-2,-2.691268712E-1,-2.192834508E-1,1.625937011E0,1.662584033E0
8.080429176E-2,4.429751176E-1,1.374130762E-1,1.615252978E0,1.680521196E0
9.080629167E-2,5.320837605E-1,-6.037653619E-1,1.054741809E0,1.326697413E0
1.008092917E-1,7.495136440E-1,-1.252725023E-1,2.194026610E0,2.321899366E0
1.108112917E-1,7.594159037E-1,-3.578145146E-1,2.580278034E0,2.713407171E0
1.208132918E-1,1.075466681E-1,-4.896388221E-1,3.148882919E0,3.188538239E0
1.308152917E-1,-1.166280956E0,-4.901831979E-1,3.010545398E0,3.265558824E0
1.408172917E-1,-2.730167899E0,-8.212724286E-1,3.490705299E0,4.507031023E0
1.508192917E-1,-3.297381147E0,-6.857140893E-1,2.452053273E0,4.165992258E0
1.608222917E-1,-3.614634696E0,-4.377249026E-1,3.689172077E-1,3.659684000E0
1.708242918E-1,-4.533335186E0,-3.140814346E-1,-2.609530485E-1,4.551688867E0
1.808262917E-1,-4.176985399E0,-3.892123085E-1,-2.755181118E0,5.018935767E0
1.908282917E-1,-2.419903527E0,4.339692360E-1,-4.048584051E0,4.736591094E0
2.008302917E-1,-6.509728575E-1,9.985787183E-1,-2.985488909E0,3.214664702E0
2.108332918E-1,-7.412012422E-1,-2.445241266E-1,-4.338701549E0,4.408344640E0
2.208352917E-1,8.627590084E-1,-2.290745550E0,-5.344812359E0,5.878680756E0
2.308372917E-1,1.093199531E0,-4.658345733E0,-1.023953880E0,4.893235303E0
2.408392917E-1,2.789887267E0,-6.404022610E-1,-1.972198889E0,3.476083209E0
2.508412917E-1,4.872760207E0,8.719233495E-1,-3.781626789E0,6.229345354E0
2.608432918E-1,3.490367330E0,8.242831600E-1,-4.047552310E0,5.407844906E0
2.708462917E-1,1.690073365E-1,5.748140430E-1,-2.646955881E0,2.713917850E0
2.808482917E-1,3.481853199E-1,4.969379014E-1,-1.384415722E0,1.511551251E0
2.908502917E-1,7.647807240E-1,1.390807021E-1,1.136804265E0,1.377155378E0
3.008522918E-1,1.407132447E-2,2.664891922E-1,2.012749622E0,2.030363399E0
3.108542917E-1,-2.385780931E-1,-2.378413439E-1,1.772594242E0,1.804322133E0
3.208572917E-1,1.330504686E-1,-3.740773755E-1,3.073279298E0,3.098819445E0
3.308592917E-1,8.430322570E-1,-1.843808359E-1,1.401951814E0,1.646258961E0
3.408612917E-1,1.475082940E-1,-7.776820207E-1,-2.741656216E0,2.853633969E0
3.508632918E-1,-9.104161549E-1,-7.989647162E-1,-2.624359901E0,2.890409501E0
3.608652917E-1,-8.882014132E-1,-4.063475740E-1,5.916692269E-1,1.141968728E0
3.708672917E-1,-5.510755169E-1,-1.843942845E-1,1.637889597E0,1.737920541E0
3.808702917E-1,-6.138389450E-1,-4.357731020E-1,1.018920889E0,1.266844989E0
3.908722918E-1,-8.597272271E-1,-4.622171348E-1,2.451924634E-1,1.006426812E0
4.008742917E-1,-1.827201097E0,-7.618840134E-1,3.822947600E-1,2.016254047E0
4.108762917E-1,-5.554029828E0,-1.853415334E0,-1.486650194E0,6.040904281E0
4.208782917E-1,-7.725112694E0,-2.689109336E0,-5.142675283E0,9.662079705E0
4.308802917E-1,-6.700913815E0,-1.624706172E0,-4.301494547E0,8.126793429E0
4.408832917E-1,-6.777135780E0,-8.943047369E-1,-3.959299115E0,7.899708844E0
4.508852917E-1,-5.548647466E0,-2.245542480E0,-2.420603146E0,6.456722800E0
4.608872917E-1,-2.991933711E0,-2.834952927E0,8.482582060E-1,4.208107343E0
4.708892917E-1,-1.752522798E0,-1.452495731E0,-1.487484884E-1,2.281053729E0
4.808912918E-1,-8.756384949E0,-5.579909019E0,1.172487893E1,1.566149571E1
4.908932917E-1,-4.051502981E0,-1.016013946E1,2.523793346E0,1.122553531E1
5.008962917E-1,-3.479399123E0,-8.151260694E0,-1.932744509E1,2.126262926E1
5.108982917E-1,-8.100951251E0,-9.745883526E0,8.678973661E0,1.536008596E1
5.209002917E-1,4.332775104E0,-5.359138622E0,-1.046918586E1,1.253384057E1
5.309022918E-1,1.094231331E1,-2.723451495E0,5.071072034E0,1.236394679E1
5.409042917E-1,1.407160046E1,6.600018355E0,6.212165524E0,1.673801608E1
5.509072917E-1,2.169886526E1,8.442338598E0,1.049101351E1,2.553772110E1
5.609092917E-1,1.228541875E1,5.059196924E0,8.498280079E0,1.577173902E1
5.709112918E-1,1.036996445E1,4.483622158E0,-6.240204093E0,1.290655560E1
5.809132917E-1,1.081981882E1,3.626700425E0,-8.338037134E0,1.413309232E1
5.909152917E-1,4.080855419E0,2.056370728E0,-6.960774604E0,8.326729527E0
6.009172917E-1,9.493071556E-1,1.807157865E0,-6.606725696E0,6.914898991E0
6.109202917E-1,1.702054895E0,1.674266587E0,-5.007844337E0,5.547852231E0
6.209222918E-1,-2.136249833E0,8.887597857E-2,-1.492725159E0,2.607621654E0
6.309242917E-1,-9.456257486E-1,8.052125758E-2,1.253080826E0,1.571910712E0
