"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.627537503E-2,-7.039495084E-1,-3.827710158E-1,-1.308971145E0,1.534752103E0
2.627737494E-2,-1.412967091E0,-7.162520501E-1,-1.269079100E0,2.029791803E0
3.628037497E-2,-1.908915936E0,-5.577743796E-1,-1.369651794E0,2.414750162E0
4.628337501E-2,-2.519491842E0,-3.749579662E-1,-1.837602709E0,3.140894193E0
5.628637504E-2,-2.580789373E0,-1.029863953E0,-2.708399885E0,3.880273636E0
6.628937495E-2,-3.075288109E0,-2.843684574E0,-3.188680238E0,5.264182802E0
7.629237499E-2,-4.144175502E0,-3.237266800E0,-2.426935973E0,5.791727302E0
8.629537502E-2,-3.271430911E0,-4.145071588E0,-2.487626563E0,5.837136678E0
9.629737504E-2,-1.178659219E0,-3.882873960E0,-1.566306521E0,4.349628014E0
1.063003750E-1,-1.074901693E-1,-3.272895346E0,-5.166786861E-1,3.315170425E0
1.163033750E-1,9.704642822E-1,-2.983105000E0,1.618017542E0,3.529687965E0
1.263063750E-1,2.418248180E0,-2.887936302E0,4.568349482E0,5.920972669E0
1.363093749E-1,3.257800174E0,-1.628596763E0,8.029646795E0,8.817075311E0
1.463123750E-1,3.572668059E0,-8.213433261E-1,1.767700532E1,1.805311826E1
1.563143750E-1,3.871880609E0,-7.112243217E-1,1.387250159E1,1.442024965E1
1.663173750E-1,2.898290260E0,-1.795305267E0,7.678804500E0,8.401621628E0
1.763203749E-1,-3.660444707E-1,-2.871751794E0,3.870952072E0,4.833758048E0
1.863233750E-1,4.093799035E-1,-3.325362412E0,1.152772719E0,3.543234683E0
1.963263750E-1,8.871600240E-1,-5.905761484E0,-2.488638716E0,6.469806355E0
2.063293750E-1,-4.901474568E-1,-8.991655272E0,-3.079086460E0,9.516873567E0
2.163313749E-1,-1.256171840E1,-1.050183788E1,-3.009471849E0,1.664759108E1
2.263343750E-1,-1.378844319E1,-1.223089112E1,-2.860432754E0,1.865202238E1
2.363373750E-1,-5.236965144E0,-1.193483958E1,-6.972402962E0,1.478108936E1
2.463403750E-1,-7.728754925E0,-1.066127975E1,-3.590976861E0,1.364887005E1
2.563433750E-1,-4.831078623E0,-1.015252638E1,-1.850218077E0,1.139457852E1
2.663463750E-1,-2.215116347E0,-6.208845475E0,-3.237502735E0,7.344244449E0
2.763483750E-1,-6.548307042E-1,-2.248332186E0,-4.376360250E0,4.963499764E0
2.863513749E-1,3.460931861E-1,-1.032438921E0,-4.383019643E0,4.516256394E0
2.963543750E-1,4.712195081E-1,-2.766912679E-1,-2.652433845E0,2.708137955E0
3.063573750E-1,7.343521062E-1,2.450938793E0,-1.043954281E0,2.763370139E0
3.163603750E-1,3.128414156E0,7.121094732E0,1.935738283E-1,7.780387917E0
3.263633749E-1,4.550464604E0,9.770436569E0,-1.292597187E-1,1.077890843E1
3.363653750E-1,4.181404139E0,1.053428291E1,1.021595113E0,1.137975894E1
