"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.773208263E-3,-3.628989610E-1,3.291660815E-1,-1.798716386E0,1.864249608E0
8.228791645E-3,-4.983725157E-1,6.861999929E-2,-1.995312640E0,2.057755185E0
1.823179168E-2,-5.645466247E-1,2.701817089E-1,-2.237340006E0,2.323230800E0
2.823479171E-2,-5.017144918E-1,6.305625665E-1,-2.905347556E0,3.015024213E0
3.823679173E-2,-7.512213233E-1,1.029832086E0,-3.513383140E0,3.737478922E0
4.823979165E-2,-1.129039455E0,1.379042423E0,-3.633385547E0,4.046971538E0
5.824279168E-2,-1.162737251E0,1.397124937E0,-3.089183432E0,3.584267049E0
6.824479171E-2,-7.908151594E-1,1.207019092E0,-1.626503606E0,2.174349946E0
7.824779162E-2,-1.164817983E-1,9.804114193E-1,3.828090227E-1,1.058922711E0
8.825079165E-2,3.320522672E-1,7.152413589E-1,1.147445905E0,1.392286255E0
9.825279168E-2,3.004366645E-1,6.391787311E-1,1.509271610E0,1.666347032E0
1.082557917E-1,-2.778938940E-1,7.787371507E-1,1.497093614E0,1.710247308E0
1.182587916E-1,-1.026831441E0,1.084546529E0,1.034830286E0,1.817002395E0
1.282607917E-1,-9.275359252E-1,7.266153628E-1,1.397017933E0,1.827553524E0
1.382637917E-1,-1.983588973E-1,5.280453810E-1,1.321640307E0,1.436979915E0
1.482667917E-1,3.690413149E-1,3.914055991E-1,9.617313194E-1,1.101960510E0
1.582687916E-1,7.628495349E-1,1.001335680E-1,8.856678146E-1,1.173189508E0
1.682717917E-1,1.162054443E0,-1.192238501E-1,1.159029239E0,1.645580029E0
1.782747917E-1,1.853880480E0,-2.996051905E-1,1.313505660E0,2.291709673E0
1.882767917E-1,2.548258681E0,-1.273615955E0,5.804022270E-1,2.907333255E0
1.982797916E-1,3.028870572E0,-2.526289230E0,-1.705434000E-1,3.947819559E0
2.082827917E-1,3.446529000E0,-3.139140288E0,-2.152787513E0,5.134905839E0
2.182847917E-1,2.503102097E0,-3.716871215E0,-5.729204807E0,7.273543803E0
2.282877917E-1,2.261877846E0,-3.386785074E0,-3.589511549E0,5.428719710E0
2.382907916E-1,2.130995817E0,-1.052833571E0,-7.870340574E-1,2.503801971E0
2.482927917E-1,1.718405902E0,7.674640113E-1,3.090791416E-1,1.907209944E0
2.582957917E-1,6.235491968E-1,7.882187033E-1,-1.150229765E0,1.527458948E0
2.682987917E-1,4.080472134E-1,3.505075416E-1,-2.224126468E0,2.288251868E0
2.783007916E-1,2.833043227E-1,-6.406893593E-1,-4.325275465E0,4.381638055E0
2.883037917E-1,8.980737059E-1,-9.154970929E-1,-5.112015408E0,5.270424351E0
2.983067917E-1,9.163297364E-1,-1.416585348E0,-2.698332149E0,3.182353000E0
3.083087917E-1,-1.255479062E-1,-3.131199185E0,-2.130979153E0,3.789623037E0
3.183117916E-1,6.761253865E-1,-4.240494639E0,-3.632227798E0,5.624234979E0
3.283147917E-1,2.610814533E0,-4.107991177E0,-4.244154704E0,6.457924836E0
3.383167917E-1,2.731851897E0,-4.354573816E0,-4.829086769E0,7.053042388E0
3.483197917E-1,7.633693524E-1,-4.505876076E0,-5.222738868E0,6.939931791E0
3.583227916E-1,-1.276727259E0,-3.777727866E0,-6.925545130E0,7.991522738E0
3.683247917E-1,-3.536675231E-1,-2.846689751E0,-7.312105726E0,7.854655524E0
3.783277917E-1,1.394039069E0,-2.180770825E0,-5.188802798E0,5.798515396E0
3.883307917E-1,2.326549221E0,-1.753711537E0,-2.955120810E0,4.149828241E0
3.983327916E-1,2.173097524E0,-1.533474405E0,-7.454170847E-1,2.762162781E0
4.083357917E-1,7.736706845E-1,-1.118883426E0,7.268223542E-1,1.542315527E0
4.183387917E-1,3.780853495E-2,1.361883768E-1,-6.766590911E-1,6.912628190E-1
4.283407917E-1,-1.271754786E-2,9.630656540E-2,2.131503063E-1,2.342429159E-1
4.383437916E-1,-1.687745735E0,-1.304549188E0,2.519678661E0,3.301380742E0
4.483467917E-1,-4.067332856E0,-1.288504720E0,-2.816206169E-1,4.275833386E0
4.583487917E-1,-4.450477216E0,1.696086934E0,4.566952583E0,6.598523640E0
4.683517917E-1,-2.650803641E0,4.582046585E0,1.386618309E1,1.484226884E1
4.783547916E-1,-5.318134730E-1,6.344418433E0,1.941885578E1,2.043591032E1
4.883567917E-1,6.831335668E-1,9.078700433E0,2.321071666E1,2.493244555E1
4.983597917E-1,6.128713770E-1,1.056667297E1,2.402761713E1,2.625560081E1
5.083627917E-1,-6.635910027E-1,1.026994198E1,2.146299793E1,2.380278013E1
5.183647916E-1,-2.618303939E0,9.226583533E0,1.843343388E1,2.077924070E1
5.283677917E-1,-3.760949865E0,8.412050021E0,1.695616642E1,1.929815818E1
