"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.498208265E-3,-9.468080556E-1,2.793793792E-1,-2.817056939E0,2.985013924E0
1.150020829E-2,-1.246012127E0,2.280139285E-1,-3.629019431E0,3.843737582E0
2.150220831E-2,-1.932397477E0,-1.037632272E-1,-3.154693297E0,3.700948070E0
3.150420834E-2,-3.189478675E0,-1.399525512E0,-2.468181648E0,4.268883522E0
4.150620825E-2,-4.761122827E0,-2.830752288E0,6.664112610E-1,5.579027967E0
5.150820827E-2,-5.634655330E0,-2.797096007E0,1.941567957E0,6.583522833E0
6.151020830E-2,-6.203356694E0,-4.093961076E0,7.200635576E-1,7.467304942E0
7.151220832E-2,-5.353368005E0,-6.062316005E0,7.041158617E-2,8.087965265E0
8.151520824E-2,-2.041067103E0,-7.591265835E0,3.205443621E-2,7.860935019E0
9.151720826E-2,2.789366572E0,-7.276797314E0,6.942720741E-1,7.823960553E0
1.015192083E-1,9.959194046E0,-5.287316687E0,1.636081930E0,1.139377145E1
1.115212083E-1,1.421460698E1,-4.812501434E0,-1.442062544E0,1.507629815E1
1.215232083E-1,1.060350693E1,-3.618262308E0,-2.522778854E0,1.148436304E1
1.315252082E-1,-7.572353600E0,-4.041762397E0,9.965756961E0,1.315266871E1
1.415272083E-1,-8.576380754E0,-1.023783141E0,2.078768897E1,2.251067416E1
1.515292083E-1,4.785957706E0,4.739493976E0,1.247967962E1,1.418134683E1
1.615312083E-1,1.527041298E0,2.220978034E0,3.027615759E0,4.053523867E0
1.715332083E-1,2.582433318E0,1.082131629E0,-9.703360820E-1,2.963363430E0
1.815362083E-1,2.207695792E0,-3.848947245E-1,-8.669385982E-1,2.402841483E0
1.915382083E-1,3.899613369E-1,-2.505154469E0,-4.957620263E-1,2.583340618E0
2.015402083E-1,-9.581376207E-1,-3.631203951E0,6.688863873E-1,3.814587636E0
2.115422083E-1,-1.244807308E0,-1.837636038E0,-1.397327836E0,2.622780304E0
2.215442082E-1,-1.643683310E0,3.316833079E-2,-6.663034968E0,6.862858730E0
2.315462083E-1,-6.653511608E-1,1.733653248E0,-1.471378144E1,1.483049595E1
2.415482083E-1,-1.718535272E0,2.680794303E0,-1.592372589E1,1.623899837E1
2.515502083E-1,-4.062630817E0,1.074446634E0,-1.193808244E1,1.265611382E1
2.615522083E-1,-4.316849627E0,-3.044759211E-1,-1.014936304E0,4.444996287E0
2.715542082E-1,-5.400804126E-1,2.905844862E0,4.948381662E-2,2.956022643E0
2.815572083E-1,1.946023536E0,5.314348365E0,-1.755299056E0,5.925401330E0
2.915592083E-1,3.925117169E0,6.621936643E0,-1.168681238E0,7.786039143E0
3.015612083E-1,5.757069129E0,8.143010858E0,-1.229646063E-1,9.973344027E0
3.115632082E-1,5.709701419E0,8.860680565E0,-7.910861778E-1,1.057062759E1
3.215652083E-1,4.627568913E0,7.922799454E0,-3.446057714E0,9.801043771E0
3.315672083E-1,2.842180670E0,5.409905317E0,-5.214846881E0,8.033660094E0
3.415692083E-1,-1.975838488E-1,1.468834020E0,-5.377558520E0,5.578050591E0
3.515712083E-1,-2.554022282E0,-9.506796433E-1,-4.479717972E0,5.243538377E0
3.615732082E-1,-3.483303893E0,-1.159311514E0,-4.773482087E0,6.021921656E0
3.715762083E-1,-3.656851008E0,-1.127103588E0,-6.220028275E0,7.302853794E0
3.815782083E-1,-4.310779633E0,-1.732111630E0,-8.257473028E0,9.474644719E0
3.915802083E-1,-3.577999551E0,-1.814616135E0,-7.621859636E0,8.613225692E0
4.015822082E-1,-2.102921289E0,-1.451236533E0,-4.759081564E0,5.401594464E0
4.115842083E-1,6.672807419E-1,-1.282546115E0,-2.430714736E0,2.828172954E0
4.215862083E-1,3.010866410E0,-6.460889706E-1,-1.880631199E-1,3.085144281E0
4.315882083E-1,3.362004574E0,1.333659843E0,8.133886278E-2,3.617780997E0
4.415902083E-1,3.314109446E0,2.143681352E0,-3.883738178E-1,3.966046568E0
4.515922082E-1,3.415801297E0,2.580080983E0,1.526058381E0,4.544597954E0
4.615942083E-1,7.870281517E0,2.153883281E0,6.784284586E0,1.061164745E1
4.715972083E-1,1.205719023E1,1.961876507E0,6.127855107E0,1.366657981E1
4.815992083E-1,1.220946692E1,2.232556983E0,3.514818631E0,1.289997454E1
4.916012083E-1,1.182649184E1,2.819236196E0,1.448841805E0,1.224390234E1
