"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.080166665E-3,-5.512294083E-1,1.468739076E-1,-1.032867960E0,1.179933061E0
1.108216669E-2,-8.342703505E-1,2.536156699E-2,-1.839334654E0,2.019852024E0
2.108416671E-2,-1.113552958E0,2.940919239E-2,-2.133491117E0,2.406792354E0
3.108716675E-2,-8.383163314E-1,6.211917456E-2,-1.028382561E0,1.328233321E0
4.108916665E-2,2.112661873E-1,5.626223791E-2,1.245596098E0,1.264637687E0
5.109216669E-2,9.197638793E-1,-9.681088775E-2,2.592389957E0,2.752421412E0
6.109416671E-2,8.325806513E-1,-3.288701759E-1,2.879666001E0,3.015596526E0
7.109616674E-2,3.674238288E-1,-5.534227720E-1,2.296493363E0,2.390639831E0
8.109916665E-2,-4.321665394E-1,-6.457640116E-1,9.851921028E-1,1.254744020E0
9.110116668E-2,-1.377247181E0,-5.755391709E-1,-5.802256411E-1,1.601473362E0
1.011041667E-1,-1.990854430E0,-3.862414113E-1,-2.147788144E0,2.953925812E0
1.111061667E-1,-2.079975353E0,-1.002226650E-1,-4.338781949E0,4.812626190E0
1.211086666E-1,-2.994526951E0,-1.468198136E0,-6.322666790E0,7.148350353E0
1.311106667E-1,-2.783633670E0,-1.691087565E0,-3.700371249E0,4.929618742E0
1.411126667E-1,-1.466129391E-1,6.322002985E-1,4.129841638E-1,7.692389037E-1
1.511156667E-1,1.728512814E0,1.345502794E0,2.834432525E0,3.582197937E0
1.611176668E-1,2.025783358E0,2.212427797E-1,3.303755196E0,3.881693571E0
1.711206667E-1,1.678520144E0,-9.607739110E-1,2.257830403E0,2.972930291E0
1.811226667E-1,2.051936784E0,-1.242353817E0,4.082030125E0,4.734644391E0
1.911256667E-1,2.406400844E0,-1.754346544E0,5.289685394E0,6.070359824E0
2.011276667E-1,1.822684708E0,-1.994705407E0,3.848962448E0,4.702716356E0
2.111296667E-1,8.436269188E-1,-1.672767215E0,1.754842973E0,2.566969106E0
2.211326667E-1,-2.456251574E-1,-1.560563385E0,-1.538279647E-1,1.587246938E0
2.311346667E-1,-1.750974455E0,-1.689140003E0,-2.565275248E0,3.535497503E0
2.411376667E-1,-2.098464833E0,-2.097641691E0,-3.366798121E0,4.487648038E0
2.511396667E-1,-9.397028115E-1,-2.497670910E0,-1.683463672E0,3.155226028E0
2.611416667E-1,6.438851550E-1,-3.076220739E0,2.554578352E-1,3.153249251E0
2.711446667E-1,4.198151734E-1,-3.392574402E0,-2.081316411E-1,3.424780961E0
2.811466667E-1,-1.935469604E0,-4.364763467E0,-1.501496567E0,5.005166795E0
2.911496666E-1,-6.915383838E0,-7.218050339E0,-1.510754464E0,1.010965694E1
3.011516667E-1,-6.893225230E0,-8.505979108E0,1.168899339E-1,1.094905923E1
3.111546667E-1,-3.951293692E0,-8.535294124E0,-1.037470888E0,9.462574357E0
3.211566667E-1,-2.135083021E0,-7.576459515E0,-1.579510118E0,8.028460033E0
3.311586668E-1,-4.480306202E-1,-5.393965223E0,-1.357604776E0,5.580204565E0
3.411616667E-1,9.023250702E-1,-2.958633817E0,-3.575309247E-1,3.113765078E0
3.511636667E-1,1.014923733E0,-9.273660636E-1,6.810200615E0,6.947583063E0
3.611666667E-1,-6.865999424E-1,-3.450254846E-1,7.965073069E0,8.002052928E0
3.711686668E-1,-4.340582599E-1,4.970133305E-4,4.493646625E0,4.514561641E0
3.811706667E-1,1.364169737E0,1.921286305E0,1.716199309E0,2.915071218E0
3.911736667E-1,3.693503695E0,4.787723565E0,5.542675120E-1,6.072188975E0
4.011756667E-1,5.634730175E0,7.226087337E0,2.601361924E-1,9.167016591E0
4.111786667E-1,6.141962099E0,8.256525194E0,5.073921382E-2,1.029060159E1
4.211806667E-1,6.260087550E0,8.500983247E0,-5.505539453E-1,1.057159032E1
4.311836667E-1,5.458395107E0,8.274311839E0,-2.443841443E0,1.020934251E1
4.411856667E-1,5.130432968E0,7.294706166E0,-1.968891996E0,9.132941267E0
4.511876667E-1,5.257719836E0,7.140347859E0,5.007368374E-1,8.881380681E0
4.611906667E-1,4.958542369E0,7.595664110E0,1.357081450E0,9.171855088E0
4.711926667E-1,4.368067728E0,7.197526612E0,5.540757233E-1,8.437499921E0
4.811956667E-1,4.161956593E0,5.249498066E0,-1.176214206E0,6.801661009E0
4.911976667E-1,1.158766992E0,3.305007670E0,-1.182553173E0,3.696518449E0
5.012006667E-1,7.278522681E-1,1.568143131E0,-3.678982719E0,4.064942269E0
5.112026667E-1,7.329092326E-1,8.150773036E-1,-6.455364672E0,6.547766031E0
5.212046667E-1,7.556964898E-1,1.859870076E0,-6.370692312E0,6.679514534E0
5.312076667E-1,1.014438267E0,9.717031610E-1,-4.483808684E0,4.698705391E0
5.412096668E-1,1.267762746E0,-1.028545114E0,2.691530083E0,3.147929735E0
5.512126667E-1,1.919887066E0,-4.094543166E0,3.433538241E0,5.678066127E0
5.612146667E-1,5.389651293E-1,-5.576182004E0,-1.840985323E0,5.896907335E0
5.712176667E-1,2.285709781E0,-5.824368827E0,4.763080475E-1,6.274919186E0
5.812196668E-1,5.283536462E0,-6.176764727E0,1.402721307E0,8.248382090E0
5.912216667E-1,5.777550171E0,-4.703335379E0,3.708885672E0,8.322096046E0
6.012246667E-1,4.554938309E0,-3.425783663E0,4.567116012E0,7.303561143E0
6.112266667E-1,2.412175847E0,-3.175001847E0,2.318537951E0,4.612466506E0
6.212296668E-1,1.505939866E0,-2.574871699E0,8.265669362E-1,3.095324223E0
6.312316667E-1,1.018063834E0,-1.762780568E0,-9.385482788E-2,2.037807162E0
6.412336667E-1,5.229102100E-1,-1.240460488E0,-1.276499217E0,1.855162409E0
6.512366667E-1,8.730474767E-1,-1.540346053E0,-5.568642604E-1,1.856064563E0
6.612386667E-1,1.125361556E0,-8.319962221E-1,-7.070025589E-1,1.567963317E0
6.712416667E-1,1.231954105E0,7.681194842E-2,-5.051707810E-1,1.333719802E0
6.812436667E-1,1.470052580E0,-1.338740489E0,1.673041010E0,2.598527835E0
6.912466667E-1,1.357746132E-1,-2.478405504E0,4.417267370E-1,2.521121001E0
7.012486667E-1,-4.315033921E-1,-8.825307834E-1,-5.176118652E-1,1.110395337E0
7.112506666E-1,1.455476933E0,1.248860013E0,7.192199506E-2,1.919176180E0
7.212536667E-1,1.733873542E0,8.321687150E-1,-6.819712865E-1,2.040565379E0
7.312556667E-1,2.134848256E0,6.225933963E-1,1.315617821E0,2.583805306E0
7.412586667E-1,1.390365264E0,4.589830399E-2,8.740707979E0,8.850717383E0
7.512606668E-1,-2.058735561E-1,-1.436110078E0,3.217079580E0,3.529078789E0
7.612636667E-1,-1.624344229E0,-2.293162204E0,-3.253825822E0,4.299356876E0
7.712656667E-1,-1.697081253E0,-7.724896932E-1,-5.205403043E0,5.529289823E0
7.812676667E-1,-1.500305928E0,-8.145013529E-1,-6.768832734E0,6.980789848E0
7.912706668E-1,-1.067844396E0,-1.248077656E0,-4.490996082E0,4.781948902E0
8.012726667E-1,-1.010079753E0,-1.250811229E0,-1.018740503E0,1.903318694E0
8.112756667E-1,-1.022182174E0,-1.168039799E0,6.344427788E-1,1.676809771E0
8.212776667E-1,2.204526747E-1,-1.040652359E-1,1.404491698E0,1.425491454E0
8.312796667E-1,-6.896095774E-1,-6.596483713E-1,2.322347850E0,2.510776151E0
8.412826667E-1,-1.173374067E0,3.928896224E-1,1.400324972E0,1.868710514E0
8.512846667E-1,-3.698882841E-2,2.849279775E0,-1.811349149E0,3.376499541E0
8.612876667E-1,2.049672011E-1,3.323663796E0,2.401159108E-1,3.338623704E0
8.712896667E-1,-1.159369109E-1,3.731826346E0,-5.645030630E-1,3.776060507E0
8.812926667E-1,-5.031977112E-1,4.025077659E0,-1.805769882E0,4.440187267E0
8.912946667E-1,-3.665028558E-1,3.903811085E0,-2.491986247E0,4.645864912E0
9.012966667E-1,7.906373309E-1,3.689130562E0,-4.157018327E0,5.613875048E0
9.112996667E-1,1.564081655E0,4.997789465E0,-4.118205678E0,6.662121957E0
9.213016666E-1,2.359564793E0,1.072610316E1,-2.781128722E0,1.132923263E1
9.313046667E-1,2.206436448E0,1.521487847E1,-7.636159587E-1,1.539298535E1
9.413066667E-1,1.901980992E0,1.463932300E1,-8.457073581E-1,1.478656588E1
9.513086667E-1,1.150744173E0,1.157469436E1,1.976738960E0,1.179852782E1
9.613116666E-1,1.749022947E0,7.883879217E0,3.716316022E0,8.889636525E0
9.713136667E-1,1.800511189E0,5.988836385E0,3.920043540E0,7.380700722E0
9.813166667E-1,2.333769363E0,6.110568398E0,5.064350660E0,8.272434538E0
9.913186667E-1,6.940797007E-1,6.274928368E0,4.519496580E0,7.764169111E0
1.001321667E0,7.110703207E-1,7.891643735E0,3.767439690E0,8.773668768E0
1.011323667E0,4.468850776E-1,8.281179394E0,4.377439938E0,9.377612641E0
