"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.993166658E-3,2.936138409E-1,-1.233317018E-1,-3.201028973E-1,4.515369986E-1
1.499516657E-2,5.506720591E-1,1.885022458E-1,-8.844808298E-1,1.058810253E0
2.499716659E-2,7.584797645E-1,3.227245695E-1,-1.461327365E0,1.677772442E0
3.499916662E-2,7.795186311E-1,-1.057360046E0,-1.350532569E0,1.884037628E0
4.500116664E-2,5.263517350E-1,-2.291398976E0,-1.483684194E0,2.780085287E0
5.500316666E-2,8.503857154E-1,-4.614451927E-1,-3.936192380E0,4.053356385E0
6.500516657E-2,8.138382787E-1,-1.395967554E-1,-2.951030683E0,3.064376297E0
7.500687498E-2,-2.723364079E-1,-2.836103367E0,1.168929160E0,3.079617640E0
8.500887500E-2,-1.948305119E0,-9.930070527E-1,3.531424139E0,4.153662516E0
9.500987490E-2,-1.182495285E0,1.279003580E0,1.833814298E0,2.529233112E0
1.050118749E-1,4.734385264E-1,-8.859554976E-1,9.467949579E0,9.521088720E0
1.150138750E-1,-5.157641816E-1,2.644145124E0,-5.427724707E-1,2.748111731E0
1.250158750E-1,6.470335883E-1,4.237483908E0,-8.786260128E-1,4.375717770E0
1.350178750E-1,9.015640551E-1,4.758900300E0,4.646475885E0,6.711906433E0
1.450198749E-1,-1.140037483E0,7.476665816E-1,3.123066292E0,3.407672790E0
1.550218749E-1,-1.199714751E0,-8.315544650E-2,2.250150086E0,2.551353703E0
1.650238750E-1,9.961088544E-1,6.259746218E-1,8.058831418E-1,1.426017081E0
1.750258750E-1,1.047700008E0,-6.782411284E-1,-1.176832842E0,1.715407203E0
1.850278750E-1,1.849185458E0,2.006116467E-1,-1.581359008E0,2.441398821E0
1.950298749E-1,1.469186023E0,8.440820514E-1,-2.624633843E-1,1.714604650E0
2.050318749E-1,3.491313994E-1,4.945551610E-1,-5.430379343E-1,8.132451902E-1
2.150338750E-1,4.117778832E-1,9.784363029E-1,-2.217947130E0,2.458899774E0
2.250358750E-1,-4.510021752E-1,5.566631893E-1,6.910689694E-1,9.954160883E-1
2.350378749E-1,-2.502297227E0,-2.304241216E0,-1.258736545E0,3.627042416E0
2.450398749E-1,-3.200299240E0,-4.523169801E0,-3.059520507E-1,5.549287066E0
2.550418749E-1,-1.358240368E0,-4.175932023E0,2.833394644E0,5.226026250E0
2.650438750E-1,6.971296084E-1,-2.932567807E0,4.412724084E-1,3.046418384E0
2.750458750E-1,1.781650118E0,-1.582793622E0,-5.235754770E-1,2.440009031E0
2.850478749E-1,8.814508027E-1,-3.003706275E-1,-2.303949732E0,2.485027646E0
2.950498749E-1,3.066560555E-1,1.284070923E0,-4.614488107E0,4.799622544E0
3.050518750E-1,-3.564801800E-1,2.462342618E0,-5.482638833E0,6.020758911E0
3.150538750E-1,-1.119375762E0,2.349270477E0,-3.619223590E0,4.457673527E0
3.250558750E-1,-1.622626317E0,1.614241995E0,5.640259302E-1,2.357290528E0
3.350578749E-1,-1.304120879E0,1.376225380E0,4.606396145E0,4.981326431E0
3.450598749E-1,-5.417918926E-1,1.665476175E0,4.396419708E0,4.732425973E0
3.550618750E-1,1.018818855E-1,1.641207161E0,2.333366489E0,2.854564772E0
3.650638750E-1,-4.941844475E-1,2.867823050E0,-9.711336422E0,1.013798217E1
3.750648750E-1,-1.501898856E0,-1.730077237E0,-1.294366437E1,1.314485887E1
3.850668749E-1,-2.298416512E0,-4.028846482E0,-1.071972969E0,4.760614297E0
3.950688749E-1,-1.040000394E0,-8.832828815E-1,5.374162458E0,5.544674164E0
4.050708750E-1,2.196639876E0,3.971905419E0,4.638822464E0,6.489987154E0
4.150728750E-1,3.765791652E0,7.073406596E0,3.183789042E0,8.622689853E0
4.250748750E-1,4.214492948E0,9.703099449E0,1.357555659E0,1.066560111E1
4.350768749E-1,3.717247483E0,7.867606416E0,4.645640318E0,9.864032316E0
4.450788749E-1,4.093047448E0,4.146478136E0,4.763895577E0,7.526022815E0
4.550808750E-1,4.481318355E0,1.489887067E0,4.747385963E0,6.696241569E0
4.650828750E-1,4.031623617E0,1.131652722E0,3.401541107E0,5.394915086E0
4.750848749E-1,2.320355265E0,1.178810662E0,3.046633244E-1,2.620393649E0
4.850868749E-1,1.696224636E-1,5.517122787E-1,4.360917753E-1,7.234184509E-1
4.950888749E-1,-2.488466223E0,-2.297283029E0,9.683659211E0,1.025881227E1
5.050908750E-1,-2.825368756E-1,-3.197022168E0,1.023881842E1,1.073005967E1
5.150928750E-1,2.061208422E0,-4.378213817E0,1.423360809E1,1.503372661E1
5.250948749E-1,3.154848833E0,-4.799143762E0,6.111130900E0,8.386344429E0
5.350968749E-1,5.445462821E0,-3.851860912E0,-1.037572630E1,1.233473121E1
5.450988750E-1,6.595058162E0,-2.158723899E0,-1.650375682E1,1.790332009E1
5.551008750E-1,2.999798216E0,-2.944368365E0,-2.045297797E1,2.088043108E1
5.651028750E-1,2.144072823E0,-3.145242442E0,-8.705891903E0,9.501692066E0
5.751048749E-1,2.028758714E0,-2.068853071E-1,-5.554364288E0,5.916893281E0
5.851068749E-1,1.971272398E0,5.094035804E-1,-3.146853350E0,3.748078559E0
5.951088750E-1,2.522710442E0,1.792015184E0,-3.002732933E0,4.311819971E0
6.051108750E-1,8.730179483E-1,2.518647212E-1,-2.566871538E0,2.722944302E0
6.151128750E-1,1.620939980E0,1.087889090E-1,3.215318983E0,3.602437732E0
6.251138749E-1,2.754351983E0,5.998202455E-1,3.808282784E0,4.738064682E0
6.351168749E-1,7.349499840E-1,-1.780512249E-1,5.303426936E0,5.357069253E0
6.451178750E-1,-3.394986963E-1,-5.602860510E-1,3.603122113E0,3.662194531E0
