"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.800333340E-3,1.143073650E-1,9.959866476E-1,-1.561153954E-1,1.014607112E0
1.580233325E-2,2.374196135E-1,4.683447245E-1,5.211939061E-1,7.398364289E-1
2.580533328E-2,2.698944645E-1,2.099457398E-2,6.301228559E-1,6.858123706E-1
3.580733330E-2,5.167126000E-2,-4.931971452E-1,7.789251387E-2,5.019766796E-1
4.580933333E-2,-1.201080953E-1,-7.468211474E-1,5.196315300E-1,9.177062208E-1
5.581233324E-2,-1.877833307E-2,-5.732494743E-1,6.904672909E-1,8.976149873E-1
6.581433327E-2,1.619591027E-1,-3.203193904E-1,5.899559927E-1,6.905674016E-1
7.581633329E-2,5.436903374E-1,-2.253926218E-2,3.935176134E-1,6.715380208E-1
8.581933333E-2,7.213664635E-1,-3.458512576E-1,8.338217229E-1,1.155526431E0
9.582133335E-2,-4.089738509E-1,-1.271606852E0,1.838347644E0,2.272392056E0
1.058233333E-1,-3.959342676E-1,-8.360682231E-1,6.678485066E-1,1.140962596E0
1.158253333E-1,1.424317121E0,-3.759220990E-1,-4.975670618E-1,1.554853584E0
1.258283333E-1,-2.317743022E0,-2.353776780E0,7.591124332E-1,3.389461540E0
1.358303333E-1,-4.096142964E0,-3.101144204E0,4.086946464E-1,5.153883378E0
1.458323332E-1,-2.485545539E0,-2.141874562E0,-2.708512151E-1,3.292252063E0
1.558353333E-1,-1.306119896E0,-1.586955670E0,-5.206296498E-1,2.120243551E0
1.658373333E-1,7.805728841E-1,-1.428268377E0,-6.160182023E-1,1.740322674E0
1.758393333E-1,1.918020635E0,-1.058024290E0,-3.574356151E-1,2.219454612E0
1.858423332E-1,1.424019206E0,3.088805556E-1,-2.943470818E-1,1.486565875E0
1.958443333E-1,-2.452187759E-1,1.995848976E0,1.304671687E-1,2.015084878E0
2.058463333E-1,-1.816446313E0,1.542953326E0,2.905075661E0,3.757611844E0
2.158493333E-1,-1.385034065E0,8.010679597E-1,4.448745856E0,4.727723440E0
2.258513334E-1,1.739824399E-1,1.343459192E-1,-1.631557354E0,1.646298307E0
2.358533333E-1,-1.853517660E-1,2.921198042E-1,-3.040691303E0,3.060309275E0
2.458563333E-1,-1.447885493E0,8.546060164E-1,-2.215353890E0,2.781099909E0
2.558583333E-1,-1.660907453E0,3.996834292E-1,8.506079096E-1,1.908374761E0
2.658603333E-1,-1.213320637E0,-2.978042480E-1,3.408401061E0,3.630155937E0
2.758633333E-1,-5.192918068E-1,-5.183887044E-1,5.961417621E-1,9.453971811E-1
2.858653333E-1,-6.168520153E-2,-1.088682923E0,-2.237336497E0,2.488917470E0
2.958673333E-1,6.857751927E-1,-1.921029320E0,-4.536271073E0,4.973770854E0
