"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.633845828E-2,-9.546544343E-2,2.125959903E-1,-8.671625465E-1,8.979318393E-1
2.634045831E-2,-6.738711387E-2,4.636321610E-1,-5.977895075E-1,7.595051673E-1
3.634345834E-2,-1.731334242E-1,4.973629940E-1,-3.777628756E-1,6.481125832E-1
4.634645837E-2,-2.481561247E-1,4.867029351E-1,-2.194875187E-1,5.887579979E-1
5.634845828E-2,-2.910401890E-1,3.901379228E-1,-2.434067237E-1,5.442047625E-1
6.635145831E-2,-2.303013593E-1,4.196537903E-1,-5.506697202E-1,7.296472850E-1
7.635445835E-2,-2.078147221E-1,3.844769409E-1,-8.480211014E-1,9.540174344E-1
8.635645837E-2,-1.823088750E-1,1.397978631E-1,-1.000110104E0,1.026157975E0
9.635945829E-2,-1.189879149E-2,-9.396095484E-2,-7.941097730E-1,7.997378157E-1
1.063614583E-1,1.200404137E-1,5.206653178E-2,-6.374558491E-1,6.507461749E-1
1.163644583E-1,7.118955821E-2,3.109979054E-1,-5.944577640E-1,6.746611621E-1
1.263674584E-1,6.881032616E-2,4.239266431E-1,-2.446346390E-1,4.942618399E-1
1.363694583E-1,1.920827883E-1,4.615084523E-1,2.088473403E-1,5.417592276E-1
1.463724583E-1,1.988681898E-1,3.149555933E-1,3.225534654E-1,4.927335189E-1
1.563744583E-1,1.556865022E-1,2.222409725E-1,2.563705856E-1,3.733031127E-1
1.663774584E-1,4.192453623E-4,2.434836146E-1,3.405494410E-1,4.186387083E-1
1.763804583E-1,6.664977998E-2,1.610124385E-1,2.709073484E-1,3.221148707E-1
1.863824583E-1,1.017330739E-1,1.339632189E-1,-3.009620368E-2,1.708845921E-1
1.963854583E-1,-1.765686634E-1,2.463809100E-1,-3.092662525E-1,4.330423312E-1
2.063874584E-1,-4.582784504E-1,4.108218634E-1,-5.268031400E-1,8.101328841E-1
2.163904583E-1,-5.537649438E-1,4.813544869E-1,-6.066842920E-1,9.520628053E-1
2.263934583E-1,-3.800406584E-1,4.606614831E-1,-5.707139754E-1,8.260474235E-1
2.363954583E-1,-1.485754108E-1,3.925498992E-1,-3.204028594E-1,5.280417298E-1
2.463984584E-1,4.172865450E-3,2.567623490E-1,-2.360696375E-1,3.488168437E-1
2.564014583E-1,4.160557061E-2,1.227681398E-1,1.064310193E-2,1.300627360E-1
2.664034583E-1,-3.986017674E-2,1.371815264E-1,5.882679015E-1,6.053649551E-1
2.764064583E-1,-2.258527976E-1,2.946949911E-1,1.016348407E0,1.082043764E0
2.864084584E-1,-4.802142799E-1,6.118716493E-1,4.964134061E-1,9.227236529E-1
2.964114583E-1,-8.228693032E-1,8.330127606E-1,-5.638247859E-1,1.299585526E0
3.064144583E-1,-1.248110985E0,8.946976697E-1,-1.124922431E0,1.903605901E0
3.164164583E-1,-1.368935511E0,8.371356323E-1,-4.761604053E-1,1.673770961E0
3.264194584E-1,-8.993754423E-1,7.196308637E-1,9.819691175E-1,1.513607649E0
3.364214583E-1,-3.818269828E-1,5.594317728E-1,1.973408970E0,2.086408090E0
3.464244583E-1,-3.300990048E-1,7.412407109E-1,2.175533182E0,2.321927598E0
3.564274583E-1,-9.015244402E-1,1.345164240E0,9.230666059E-1,1.863938064E0
3.664294584E-1,-1.580966806E0,1.443964935E0,9.549497187E-2,2.143270880E0
3.764324583E-1,-1.339520946E0,1.841295810E0,-5.626787317E-1,2.345483741E0
3.864344583E-1,-1.240677128E0,1.705242797E0,-1.539827989E0,2.611168889E0
3.964374583E-1,-4.166560690E-1,1.224094424E0,-2.282671714E0,2.623470906E0
