"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.168374904E-3,-6.441292763E-3,5.707046199E-1,-1.939024419E0,2.021277059E0
8.833625005E-3,-2.438686538E-1,2.765399712E-1,-1.695679091E0,1.735302237E0
1.883562503E-2,-3.509931529E-1,-1.049464113E-1,-9.808330035E-1,1.047016391E0
2.883862506E-2,-4.553051412E-1,-3.855092669E-1,3.465352356E-2,5.975960451E-1
3.884062509E-2,-1.823126757E-1,-3.502458787E-1,2.170774133E0,2.206393080E0
4.884262499E-2,3.088955390E-1,-2.339003205E-2,3.477460186E0,3.491230856E0
5.884462502E-2,5.079131252E-1,4.519114172E-1,2.825207373E0,2.905855532E0
6.884662504E-2,5.718056506E-1,1.078831168E0,1.478055080E0,1.917155500E0
7.884862507E-2,3.344116187E-1,1.721643067E0,1.986878031E-1,1.765039043E0
8.885062509E-2,9.625043213E-2,2.087868217E0,-9.057009602E-1,2.277883242E0
9.885262500E-2,-1.517013323E-1,1.999349850E0,-1.516784697E0,2.514169631E0
1.088556250E-1,-1.037062168E-1,1.603281681E0,-1.332181667E0,2.087097296E0
1.188576251E-1,4.071661842E-1,9.207028690E-1,-1.081130294E0,1.477268014E0
1.288596251E-1,5.786036235E-1,2.217074141E-1,-9.667540777E-1,1.148281227E0
1.388616251E-1,4.181548566E-1,-3.003208897E-1,-6.830021507E-1,8.552999817E-1
1.488636250E-1,6.741781175E-2,-6.611803418E-1,-3.612479997E-1,7.564421478E-1
1.588656250E-1,-4.902393311E-1,-9.037026742E-1,1.299660623E-1,1.036293541E0
1.688676251E-1,-1.001333342E0,-8.957750192E-1,5.368445635E-1,1.446818382E0
1.788696251E-1,-1.436972542E0,-6.907488343E-1,8.855473620E-1,1.823792250E0
1.888726250E-1,-1.594181367E0,-2.950852928E-1,1.545326126E0,2.239759451E0
1.988746250E-1,-1.969371468E0,1.507119834E-2,1.862255740E0,2.710469989E0
2.088766251E-1,-2.060236614E0,1.262314457E-1,1.798329300E0,2.737607999E0
2.188786251E-1,-1.709208963E0,7.614565820E-2,1.559439551E0,2.314961156E0
2.288806251E-1,-1.055368631E0,-1.279367861E-1,1.208079777E0,1.609231965E0
2.388826250E-1,-5.024360383E-1,-1.107088715E0,1.193238959E0,1.703498345E0
2.488846250E-1,-2.020846846E0,-1.107753836E0,2.106996798E0,3.122559214E0
2.588866251E-1,-3.075880724E0,-1.426416856E0,6.218122083E-1,3.447079590E0
2.688886251E-1,-2.815926087E0,-2.237799012E0,-5.400599474E-1,3.637148457E0
2.788916250E-1,-1.674192035E0,-2.762093112E0,-5.659636974E-1,3.279084054E0
2.888936250E-1,7.654806358E-1,-3.013018478E0,2.466513437E-1,3.118505706E0
2.988956250E-1,3.338256985E0,-2.810054021E0,1.060553942E0,4.490560985E0
3.088976251E-1,4.461379057E0,-2.496125199E0,1.443024995E0,5.311954936E0
3.188996251E-1,3.888360110E0,-2.289300118E0,6.290448632E0,7.741445819E0
3.289016250E-1,2.910564150E0,-1.916295999E0,1.470965448E1,1.511679559E1
3.389036250E-1,4.836832868E0,-2.642399730E0,9.935081298E0,1.136147301E1
3.489056251E-1,6.098321990E0,-4.813244323E0,1.106280104E1,1.351822543E1
3.589086251E-1,5.936416097E0,-7.459982979E0,6.004803962E0,1.126721140E1
3.689106250E-1,1.356342655E0,-7.281249969E0,-3.482068377E0,8.184196154E0
3.789126250E-1,5.466240317E-1,-6.133971294E0,-3.896862254E0,7.287656488E0
3.889146250E-1,2.471402586E0,-5.990205803E0,-2.167440051E0,6.832875872E0
3.989166251E-1,3.296685328E0,-5.464164555E0,-5.305913172E0,8.299273644E0
4.089186251E-1,1.800615562E0,-4.419020073E0,-5.731046095E0,7.457536065E0
4.189206250E-1,4.966445173E-1,-4.211040752E0,-2.406722733E0,4.875636810E0
4.289226250E-1,-3.596330718E-1,-5.515580292E0,2.819802207E0,6.205017839E0
4.389246251E-1,-1.015802423E0,-6.674071587E0,2.853547073E0,7.329243959E0
4.489276251E-1,-1.525178521E0,-7.764483166E0,9.837139267E-1,7.973773351E0
4.589296251E-1,-1.360806127E0,-8.847033164E0,1.619855322E0,9.096467467E0
4.689316250E-1,-1.344744702E0,-9.423470979E0,1.580815217E0,9.649306729E0
4.789336250E-1,-4.500067598E-1,-9.022391746E0,1.952885828E0,9.242284456E0
4.889356251E-1,3.419434172E-1,-9.174497706E0,2.043809447E0,9.405609523E0
4.989376251E-1,-4.182718009E-1,-1.089240031E1,2.257592422E-1,1.090276584E1
5.089396250E-1,-5.122119981E-1,-1.130567099E1,2.309235030E-1,1.131962381E1
5.189416250E-1,-2.720773762E-1,-1.128748965E1,1.348642749E0,1.137102836E1
5.289446251E-1,1.025778504E0,-1.187993305E1,1.881029980E0,1.207159081E1
5.389466251E-1,2.912686689E0,-1.290081714E1,1.522916672E0,1.331292988E1
5.489486251E-1,5.194887410E0,-1.245506752E1,1.151653562E0,1.354407133E1
5.589506250E-1,1.150531832E1,-7.696206983E0,6.877873365E0,1.545668443E1
5.689526250E-1,1.500396238E1,-3.251851802E0,1.143052658E1,1.914028122E1
5.789546251E-1,1.399655846E1,-1.822732362E0,1.204581388E1,1.855606731E1
5.889566251E-1,1.493803269E1,-4.064189100E-1,1.023572174E1,1.811297867E1
5.989586251E-1,1.401736636E1,-4.832101008E-1,8.126679000E0,1.620996494E1
6.089616250E-1,8.742995410E0,-3.783656650E0,7.852383775E0,1.234568578E1
6.189636250E-1,7.412160941E0,-4.251181887E0,1.081495628E1,1.378317658E1
6.289656251E-1,8.946587858E0,-2.358134125E0,9.923940014E0,1.356785968E1
6.389676251E-1,1.042655615E1,-1.084445080E0,8.995924909E0,1.381360775E1
6.489696250E-1,1.167203413E1,1.672695440E-1,7.244017823E0,1.373827333E1
6.589716250E-1,1.266086262E1,1.149881271E0,4.061937338E0,1.334612318E1
6.689736251E-1,1.340975879E1,1.520012945E0,1.729448515E0,1.360599362E1
6.789756251E-1,1.361003996E1,2.150931607E0,2.021215221E0,1.392641395E1
6.889776251E-1,1.561353578E1,3.851042302E0,2.752282653E0,1.631527156E1
6.989800001E-1,1.797529986E1,6.758365048E0,2.966276128E0,1.943156446E1
7.089820000E-1,1.873421232E1,9.091375442E0,2.830220191E0,2.101508898E1
7.189840000E-1,1.853161916E1,1.058609859E1,1.298502290E0,2.138159256E1
7.289860001E-1,1.868788717E1,1.259227595E1,-1.077742417E0,2.256023202E1
7.389880001E-1,1.836184993E1,1.405634858E1,-3.307728964E0,2.335978466E1
7.489900001E-1,1.765361295E1,1.450604390E1,-5.420301082E0,2.348307952E1
7.589920000E-1,1.698487508E1,1.444034225E1,-6.712136961E0,2.328223031E1
7.689940000E-1,1.615157435E1,1.408547824E1,-6.503419429E0,2.239572538E1
7.789970001E-1,1.508435224E1,1.334423490E1,-5.853072808E0,2.097295279E1
7.889990001E-1,1.355301207E1,1.235404869E1,-4.841685179E0,1.896703905E1
7.990010000E-1,1.160123838E1,1.126452764E1,-5.084086182E0,1.695070049E1
8.090030000E-1,9.509576492E0,1.026055954E1,-6.222196423E0,1.531100439E1
8.190050001E-1,8.106485056E0,8.613343343E0,-9.052140625E0,1.489449675E1
8.290070001E-1,7.801021832E0,6.373208368E0,-1.501213679E1,1.807866083E1
8.390090001E-1,6.835475789E0,8.614266618E0,-7.070287106E0,1.307357175E1
8.490110000E-1,5.297978500E0,8.273065798E0,-2.544662059E0,1.014827566E1
8.590140000E-1,4.052545247E0,5.594554541E0,-2.240491655E0,7.262366442E0
8.690160001E-1,3.299236468E0,4.502085326E0,-3.320550739E0,6.494597044E0
8.790180001E-1,3.652094883E0,6.583185976E0,-1.593499582E0,7.695152730E0
8.890200000E-1,3.032594956E0,4.869803855E0,-1.166056423E0,5.854170251E0
8.990220000E-1,2.004183451E0,2.549069690E0,-5.606310368E-1,3.290716449E0
9.090240001E-1,-7.058700264E-2,2.512491263E0,1.648443528E0,3.005821175E0
9.190260001E-1,-5.664373219E-2,-3.087867808E-1,-1.752299434E0,1.780199734E0
9.290280001E-1,-1.046864440E0,-4.073228311E0,-3.971853379E0,5.784698203E0
9.390300000E-1,-2.878969012E0,-6.095203085E0,-9.760441339E-1,6.811213209E0
9.490330000E-1,-3.854042509E0,-8.249675766E0,2.519681584E0,9.447729314E0
