"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.471749973E-3,-6.413907328E-1,-2.888041406E-1,-9.133713377E-1,1.152838716E0
8.527250029E-3,-5.783396217E-1,-1.146505965E-1,-2.016236901E-2,5.899389786E-1
1.852725004E-2,-1.166414273E-1,2.618297654E-1,5.989490104E-1,6.640029861E-1
2.852625004E-2,2.637591273E-1,4.374370003E-1,5.180410874E-1,7.275208414E-1
3.852525004E-2,3.565506390E-1,5.803864396E-1,2.987319088E-1,7.437859441E-1
4.852425004E-2,2.411073062E-1,5.522082688E-1,-1.193235451E-1,6.142514254E-1
5.852425005E-2,-2.154380295E-1,4.210109290E-1,-1.169408047E-1,4.871744028E-1
6.852324994E-2,-5.786708665E-1,1.932133475E-1,6.283300996E-2,6.133020109E-1
7.852216670E-2,-6.900328428E-1,-5.635751098E-2,2.021616340E-2,6.926255745E-1
8.852216671E-2,-6.313381997E-1,-2.984434949E-1,-3.088815057E-1,7.635864238E-1
9.852116671E-2,-7.029089963E-1,-3.216863233E-1,-7.647310227E-1,1.087371457E0
1.085201667E-1,-7.540279868E-1,-1.523200408E-1,-1.475993936E0,1.664427138E0
1.185191667E-1,-8.695698452E-1,1.472401991E-4,-2.355161986E0,2.510565617E0
1.285191666E-1,-1.269357428E0,-9.968475770E-2,-2.920235737E0,3.185746708E0
1.385181666E-1,-1.858690985E0,-4.585616018E-1,-2.552397925E0,3.190571436E0
1.485171666E-1,-2.366126392E0,-7.484966670E-1,-1.275127460E0,2.790116737E0
1.585171666E-1,-2.740332699E0,-8.695537654E-1,4.063586837E-1,2.903562369E0
1.685161666E-1,-2.107773016E0,-6.658315095E-1,1.209816400E0,2.519859998E0
1.785151666E-1,-8.245085701E-1,-2.105763620E-1,1.148459812E0,1.429376342E0
1.885151666E-1,3.393776590E-1,1.709277083E-1,8.504857028E-1,9.315145772E-1
1.985141666E-1,9.793799704E-1,6.854277219E-1,-1.375927026E0,1.822682493E0
2.085131666E-1,1.176845852E0,1.210051605E0,-3.581838248E0,3.959640928E0
2.185121666E-1,1.817337283E0,1.841523267E0,-4.362484807E0,5.072001226E0
