"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.462208345E-3,-1.849271412E0,-6.299809147E-1,-1.612323523E0,2.533035304E0
1.646220835E-2,-1.747691536E0,-5.460711774E-1,-1.901873549E0,2.640026976E0
2.646120836E-2,-1.520384535E0,-2.345426372E-1,-1.947195902E0,2.481562263E0
3.646120836E-2,-7.467461568E-1,6.098132832E-1,-2.746436607E0,2.910741504E0
4.646020837E-2,-1.001424266E0,9.983331352E-1,-2.299364346E0,2.699369557E0
5.646020838E-2,-2.352650314E0,7.100732973E-1,-2.594826491E0,3.573834371E0
6.645920838E-2,-3.743530717E0,9.952706560E-2,-3.194719827E0,4.922414310E0
7.645920839E-2,-5.123473611E0,-2.116997583E-1,-3.236913920E0,6.064025920E0
8.645820839E-2,-5.282902624E0,-3.561617991E-1,-3.365552664E0,6.273982475E0
9.645820840E-2,-4.894712409E0,-7.945892447E-1,-3.854283414E0,6.280532005E0
1.064572084E-1,-4.661967790E0,-1.481327474E0,-3.462877815E0,5.993312734E0
1.164572084E-1,-1.771003215E0,-2.076185480E0,-9.939687735E-1,2.904302404E0
1.264562084E-1,1.209470684E0,-2.244482964E0,1.084672537E0,2.770746763E0
1.364562083E-1,1.948893203E0,-2.038806277E0,3.730425938E0,4.676643393E0
1.464552083E-1,1.665967926E0,-2.139878469E0,7.256951864E0,7.747120714E0
1.564552083E-1,1.373113931E0,-2.900406367E0,7.953424830E0,8.576407493E0
1.664552083E-1,1.477531608E0,-2.875953019E0,3.038682784E0,4.437093472E0
1.764542083E-1,8.718556680E-1,-1.970492964E0,-1.047352098E0,2.395813274E0
1.864542083E-1,1.269542785E0,-7.411003777E-1,-1.946446289E0,2.439184661E0
1.964532083E-1,2.124377939E0,4.357972218E-1,3.381772256E-1,2.194826800E0
2.064532083E-1,3.257713636E0,1.284571883E0,1.898099172E0,3.983165013E0
2.164522083E-1,4.211022626E0,2.090816675E0,2.099105980E0,5.148832085E0
2.264522084E-1,3.596708302E0,4.418722450E0,-6.412296420E-1,5.733462667E0
2.364512084E-1,2.440937570E0,6.302081083E0,-2.982069458E0,7.386957455E0
2.464512084E-1,1.110016270E0,6.038012638E0,-1.874744807E0,6.419065417E0
2.564502084E-1,-1.019998473E1,-3.016280347E-1,9.953849691E-1,1.025287565E1
2.664502084E-1,-5.963510925E0,-5.041849989E0,4.478266109E0,9.002143145E0
2.764492084E-1,-1.252630298E0,-4.694899601E0,5.942190807E0,7.675988309E0
2.864492084E-1,-1.698250988E0,-2.157814949E0,6.000700386E0,6.599138345E0
2.964482084E-1,-7.451130295E-1,3.227553113E0,1.960290742E0,3.849030048E0
3.064482084E-1,7.844574818E-1,-1.479734692E0,-5.242297804E-1,1.754937367E0
3.164472084E-1,8.978405482E-1,-4.081269110E0,-1.756726361E0,4.533096370E0
3.264472084E-1,-1.941035861E-1,-1.458814816E0,-4.839022942E0,5.057861199E0
3.364462084E-1,-7.092538100E-1,-1.572744597E0,-3.159848202E0,3.600167663E0
3.464462083E-1,-1.318693602E0,-1.958017344E0,-9.524395090E-1,2.545569829E0
3.564462083E-1,-2.664711828E0,-1.690731761E0,-9.831110787E-1,3.305415316E0
3.664452083E-1,-3.808890602E0,-1.488459323E0,-3.088086494E0,5.124396254E0
3.764452083E-1,2.295986994E0,9.665704751E-1,-3.079788126E0,3.961175288E0
3.864442083E-1,-4.960530422E0,-2.967937322E0,-2.820023232E0,6.431799518E0
3.964442083E-1,-9.001554608E0,-6.306337856E0,-4.299361190E0,1.180179601E1
4.064432083E-1,-7.749395596E0,-5.428385442E0,-5.294627461E0,1.084221290E1
4.164432083E-1,-9.272532123E-1,-3.415007830E0,-3.981562096E0,5.326810840E0
4.264422084E-1,-1.331235588E-2,-8.339012450E-1,-8.769950489E0,8.809517586E0
4.364422084E-1,-4.199475544E0,6.901483253E-1,-9.038093859E0,9.989946955E0
4.464412084E-1,-2.367234732E0,8.037565094E-1,-8.157836473E0,8.532298678E0
4.564412084E-1,-1.989754862E0,-6.873032894E-1,-7.592527079E0,7.878957905E0
4.664402084E-1,-2.310931892E0,-3.150570133E0,-5.830777960E0,7.018865292E0
4.764402084E-1,-1.059744102E0,-4.142553777E0,-6.689410588E0,7.939270960E0
4.864392084E-1,3.197137651E0,-3.017638071E0,-8.004596738E0,9.132436566E0
4.964392084E-1,7.218905786E0,-6.831259654E-1,-4.958755792E0,8.784561506E0
5.064382084E-1,1.070005147E1,7.129703003E-1,-1.429599203E0,1.081864973E1
5.164382084E-1,1.292378033E1,4.303351915E-1,2.023824833E0,1.308835946E1
5.264372084E-1,1.489171221E1,-8.283867359E-2,7.070124553E0,1.648504219E1
5.364372084E-1,1.448980969E1,-2.496714306E-1,9.687638242E0,1.743178865E1
5.464372083E-1,1.201722801E1,-3.987605193E-1,1.005263138E1,1.567252937E1
5.564362083E-1,6.054873084E0,2.648332608E-1,8.052738034E0,1.007860182E1
5.664362083E-1,5.586666062E0,2.243319953E0,4.975854220E0,7.810406348E0
5.764352083E-1,6.974695655E0,4.377430582E0,1.843546404E0,8.438420547E0
5.864352083E-1,6.758242257E0,5.462029737E0,1.625830007E-1,8.691032187E0
5.964342083E-1,5.697989447E0,4.898337975E0,1.309542418E-2,7.514051513E0
6.064342083E-1,6.273865929E0,5.817171489E0,6.780150604E-1,8.582574337E0
6.164332083E-1,7.170323026E0,6.824383621E0,-1.890942764E-1,9.900580829E0
6.264332084E-1,6.557902615E0,6.895165336E0,-1.820484985E0,9.688320665E0
6.364322084E-1,5.309027984E0,5.737741742E0,-3.422172423E0,8.533388689E0
6.464322084E-1,1.723681991E0,3.554037661E0,-3.869744622E0,5.529664252E0
6.564312084E-1,-2.752965608E0,9.288477480E-2,-3.142622305E0,4.178937924E0
6.664312084E-1,-5.640116045E0,-2.971719886E0,-2.606304576E0,6.887296394E0
6.764302084E-1,-7.220327829E0,-4.959435824E0,-4.729955413E0,9.954979451E0
6.864302917E-1,-5.556641779E0,-6.331568592E0,-4.847939361E0,9.719441586E0
6.964292917E-1,-2.652925011E0,-3.055944642E0,-6.955559472E0,8.047149579E0
7.064292917E-1,-1.352890166E0,2.184416272E0,-9.111878704E0,9.467223445E0
7.164282918E-1,-3.940005934E-1,5.228641047E0,-7.291237598E0,8.980872418E0
7.264282916E-1,1.299888080E0,4.752993151E0,-2.746586881E0,5.641311231E0
7.364282917E-1,-7.999797928E-1,3.581848773E0,-9.855750954E-1,3.800127178E0
7.464272917E-1,-3.388721087E0,2.432679693E0,-6.198902285E-1,4.217300676E0
7.564272917E-1,-5.278234792E0,7.503392708E-1,-1.294975834E0,5.486322443E0
7.664262917E-1,-5.953875298E0,-4.781671697E-1,-3.602660183E0,6.975416496E0
