"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.332775004E-2,-3.282755506E-1,-2.851207602E-1,-2.591807574E-1,5.061949723E-1
3.333175008E-2,4.636725068E-2,4.573224306E-2,2.989277905E-1,3.059398371E-1
4.333475011E-2,3.119653273E-1,1.713187408E-1,6.824191833E-1,7.696547395E-1
5.333875003E-2,4.063791490E-1,1.537735856E-1,8.309413844E-1,9.376854018E-1
6.334175006E-2,3.864114922E-1,4.028310585E-1,6.973079485E-1,8.932105452E-1
7.334575010E-2,5.222136605E-1,7.050724661E-1,3.498646402E-1,9.445843298E-1
8.334875002E-2,8.572328049E-1,1.086602703E0,-5.863880217E-2,1.385276876E0
9.335275006E-2,1.294775859E0,1.053080031E0,1.510043442E-2,1.669026692E0
1.033557501E-1,1.674306348E0,7.165312546E-1,1.969523495E-1,1.831804851E0
1.133597500E-1,1.814402711E0,6.292533749E-1,6.844838351E-2,1.921640495E0
1.233627500E-1,1.790237339E0,5.030932653E-1,-3.237538987E-1,1.887556396E0
1.333667501E-1,1.640419979E0,3.803759962E-1,-8.883554873E-1,1.903901016E0
1.433697500E-1,1.543312930E0,4.630304825E-1,-1.778662190E0,2.399969003E0
1.533737500E-1,1.654355648E0,5.596779406E-2,-2.923195013E0,3.359329410E0
1.633767501E-1,1.669228626E0,-5.539213568E-1,-3.803017074E0,4.189999038E0
1.733797501E-1,1.475680525E0,-5.984046346E-1,-3.833393067E0,4.150978622E0
1.833837500E-1,1.301984891E0,-3.549388540E-1,-3.488357642E0,3.740292139E0
1.933867501E-1,1.333118976E0,-1.962641323E-1,-3.089155950E0,3.370253744E0
2.033907501E-1,1.647039320E0,3.027910459E-1,-2.052227683E0,2.648784514E0
2.133937500E-1,2.105263098E0,1.063793299E0,-7.607262647E-1,2.478405404E0
2.233977501E-1,2.411633810E0,1.526354250E0,-4.027158684E-1,2.882345399E0
2.334007501E-1,2.527816231E0,2.159271491E0,-4.887985772E-1,3.360242895E0
2.434047500E-1,2.413003228E0,2.788771618E0,-7.657794285E-1,3.766463839E0
2.534077500E-1,2.197975088E0,3.177638941E0,-1.052619270E0,4.004558784E0
2.634117501E-1,1.870921021E0,3.368048841E0,-1.284285954E0,4.061217659E0
2.734147500E-1,1.550207089E0,3.303323087E0,-1.460043316E0,3.930243240E0
2.834187500E-1,1.345363338E0,2.916883528E0,-1.512501612E0,3.550475060E0
2.934217501E-1,1.185629393E0,2.409221249E0,-1.629984453E0,3.141164338E0
3.034257501E-1,9.535688987E-1,2.130819524E0,-1.752359076E0,2.918980613E0
3.134287500E-1,6.630233842E-1,2.089113674E0,-1.815601391E0,2.846120932E0
3.234320000E-1,5.020185471E-1,2.109618689E0,-1.708105009E0,2.760459447E0
3.334360000E-1,4.303319755E-1,1.960372603E0,-1.666952890E0,2.609018645E0
3.434390001E-1,3.864629477E-1,1.753413329E0,-1.733456197E0,2.495732818E0
3.534430000E-1,3.629685429E-1,1.921951718E0,-1.551000849E0,2.496246824E0
3.634460000E-1,4.576893434E-1,1.789988247E0,-1.272998489E0,2.243671681E0
3.734500001E-1,5.662016791E-1,9.231747794E-1,-1.223749731E0,1.634135679E0
3.834530001E-1,4.870724791E-1,1.179348314E-1,-1.286559936E0,1.380718905E0
3.934570000E-1,1.308352509E-1,3.687254190E-2,-1.545014470E0,1.550982643E0
4.034600001E-1,-5.393354774E-1,7.371935606E-1,-1.851895643E0,2.064910307E0
4.134640001E-1,-1.250460689E0,1.757021061E0,-1.848901284E0,2.840635650E0
4.234670000E-1,-1.458817155E0,2.413633558E0,-1.494419097E0,3.191717857E0
4.334710001E-1,-1.095854460E0,2.676198683E0,-1.086487513E0,3.089238014E0
4.434740001E-1,-3.934547558E-1,2.932302636E0,-4.304462886E-1,2.989730657E0
4.534770000E-1,2.223175710E-1,2.866665301E0,-2.648613274E-2,2.875395028E0
4.634810000E-1,5.776888266E-1,2.230370125E0,-1.202889204E-2,2.304000861E0
4.734840001E-1,5.681675130E-1,1.487756195E0,-9.483832955E-2,1.595376798E0
4.834880000E-1,1.178746051E-1,1.240064632E0,2.609588957E-1,1.272695666E0
4.934910000E-1,-6.416649672E-1,1.440216578E0,8.136014664E-1,1.774233656E0
