"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.369958282E-3,6.940089494E-2,7.734538990E-1,-1.749971073E0,1.914535498E0
1.637095830E-2,4.115618286E-1,2.610278928E-1,-2.203822596E0,2.257067286E0
2.637095831E-2,-2.089321542E0,-9.614635170E-2,-1.720864803E0,2.708483763E0
3.637195833E-2,-1.788642803E0,6.295878357E-1,-1.124735320E0,2.204688971E0
4.637295834E-2,-4.147658104E-1,1.744065970E0,1.141229146E0,2.125135465E0
5.637295835E-2,6.014149274E-1,1.711261336E0,1.434320245E0,2.312442397E0
6.637395825E-2,1.948972871E0,7.613022155E-1,-1.144448622E0,2.384919069E0
7.637395826E-2,3.333798775E0,1.422725509E0,-3.796076721E0,5.248672272E0
8.637495828E-2,3.799524239E0,2.078994482E0,-5.807130066E0,7.244402122E0
9.637495829E-2,4.578389152E0,1.726180214E0,-6.658613888E0,8.263079587E0
1.063759583E-1,2.606159272E0,-2.533513758E-1,-5.662581047E0,6.238675917E0
1.163759583E-1,1.546976795E0,-1.091742990E0,-4.532924711E0,4.912478641E0
1.263769583E-1,1.862913259E0,-1.445579351E0,1.367321679E0,2.725750180E0
1.363779583E-1,2.380376203E0,-9.060284042E-1,5.487707199E0,6.049959392E0
1.463779582E-1,1.815424366E0,-6.587435147E-1,5.934537386E0,6.240868741E0
1.563789583E-1,7.095916329E-1,-2.729281461E-1,2.654540597E0,2.761267071E0
1.663789583E-1,3.524264516E-1,2.731276824E-1,-2.067879510E-1,4.914920054E-1
1.763799583E-1,6.811529687E-1,3.001222305E-1,-3.012908258E0,3.103491403E0
1.863799583E-1,3.142562298E-1,-2.430583759E-1,-5.374514460E0,5.389178048E0
1.963809583E-1,-1.073447491E0,-8.331270736E-1,-5.722471154E0,5.881587060E0
2.063809583E-1,-1.107385900E0,-8.050393885E-1,-4.329029378E0,4.540362023E0
2.163819583E-1,-8.679034618E-1,-6.885321549E-1,-3.385051959E0,3.561728473E0
2.263829582E-1,-1.208351892E0,-1.271826853E0,-1.070040464E0,2.054907403E0
2.363829582E-1,-2.458570579E0,-2.781670467E0,9.625218630E-1,3.835193374E0
2.463839583E-1,-2.257681884E0,-4.916390376E0,8.591979956E0,1.015333154E1
2.563839583E-1,-2.311706064E0,-1.650744846E0,5.281261311E0,5.996721146E0
2.663849583E-1,-1.805833909E0,1.455718277E0,-3.459371240E0,4.165021150E0
2.763849583E-1,4.946953845E-1,2.909152047E0,-4.664478877E0,5.519533708E0
2.863859583E-1,2.355215926E0,4.511218092E0,-8.098234634E0,9.564493449E0
2.963859583E-1,2.046448734E0,4.134163899E0,-9.711408927E0,1.075131280E1
3.063869583E-1,1.112829073E0,3.055260518E0,-5.743040489E0,6.599660555E0
3.163879582E-1,6.099786133E-2,4.755456436E-1,2.953358459E0,2.992021154E0
3.263879583E-1,3.902424417E-1,-3.051658633E0,-4.258842909E-1,3.105847228E0
3.363889583E-1,1.115578726E0,-4.127349847E0,-4.190777226E0,5.986831082E0
3.463889583E-1,2.715301646E0,-3.564287830E0,-1.691736898E0,4.789465993E0
3.563899583E-1,4.373050141E0,-3.300794459E0,-2.382015324E-1,5.484118121E0
3.663899583E-1,5.007576535E0,-1.630141743E0,2.264934186E0,5.732635670E0
3.763909583E-1,5.553110061E0,-1.174215043E0,-3.416192476E0,6.624664772E0
