"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.560666598E-3,2.423939860E-1,2.018574326E-1,-4.278434005E0,4.290046481E0
8.439333411E-3,-7.519852620E-1,-1.256610498E-1,-5.157481018E0,5.213528842E0
1.843804168E-2,-1.158966089E0,-4.645671308E-2,-5.042117207E0,5.173809675E0
2.843704168E-2,-1.371826959E0,3.481135453E-1,-3.733749495E0,3.992991052E0
3.843704169E-2,-1.825161003E0,5.652401045E-1,-2.375485153E0,3.048546994E0
4.843604169E-2,-1.438748927E0,-6.456937719E-2,-1.439663431E0,2.036368943E0
5.843504169E-2,-1.437445290E0,-8.328412179E-1,-3.451389205E-1,1.696759951E0
6.843404169E-2,-1.196754305E0,-1.439183082E0,-9.299938023E-2,1.874064486E0
7.843404170E-2,-2.534858617E-1,-1.416061437E0,9.771515965E-2,1.441885338E0
8.843304170E-2,8.531584650E-2,-1.565197304E0,3.777476728E-2,1.567975869E0
9.843204170E-2,-3.687362364E-1,-1.749003358E0,-9.409280956E-2,1.789925310E0
1.084320417E-1,-8.440447024E-1,-1.822731193E0,-8.924079001E-2,2.010652725E0
1.184310417E-1,-1.295598270E0,-1.859464864E0,1.306431699E-1,2.270077552E0
1.284300417E-1,-1.543622832E0,-1.272967645E0,2.496534796E0,3.199359946E0
1.384290417E-1,-1.360830977E0,-1.340839639E-2,7.143422325E0,7.271899563E0
1.484290417E-1,-5.624533215E-1,1.452546163E0,1.100971300E1,1.111935359E1
1.584280417E-1,7.622687602E-1,2.019303474E0,1.300045838E1,1.317841258E1
1.684270417E-1,2.196152219E0,1.162576160E0,1.215526674E1,1.240665859E1
1.784270417E-1,2.260309623E0,-1.220869319E0,5.864705844E0,6.402678824E0
1.884260417E-1,-8.944898012E-1,-3.798350703E0,-5.725728053E-1,3.944035964E0
1.984250417E-1,-3.240541825E0,-4.395631211E0,-3.302213870E0,6.381794536E0
2.084240417E-1,-1.593558931E0,-4.032758270E0,-4.322284614E0,6.122476102E0
2.184240418E-1,6.180180962E-1,-3.540357515E0,-4.241093102E0,5.559042040E0
2.284230418E-1,2.446591973E-1,-2.372484070E0,-4.038862470E0,4.690516905E0
2.384220418E-1,-1.901142793E0,-1.349899023E0,-4.441214057E0,5.016069536E0
2.484220418E-1,-1.123475829E0,-2.137918044E0,-3.902210117E0,4.589132303E0
2.584210418E-1,1.159449069E0,-2.957039282E0,-2.823693529E0,4.249899834E0
2.684200418E-1,3.571889210E0,-3.293207404E0,-3.415801882E0,5.938965401E0
2.784190418E-1,1.299679334E0,-4.526001608E0,-4.681763831E0,6.640238663E0
2.884190417E-1,-1.045420646E1,-6.056768167E0,-4.616924642E0,1.293409705E1
2.984180417E-1,-8.804763642E0,-5.058179508E0,-3.682162435E0,1.080126673E1
3.084170417E-1,4.955778390E-2,-3.351259146E0,-4.848708855E0,5.894350804E0
3.184170417E-1,-1.795421188E0,3.910384524E0,-6.861545600E0,8.099101950E0
3.284160417E-1,-1.500279323E0,4.280443109E0,-4.386002893E0,6.309520792E0
3.384150417E-1,-7.211259967E-1,-2.131868807E0,-1.480701529E0,2.693949579E0
3.484140417E-1,-1.662552567E0,-7.736556280E0,-2.611282310E0,8.332897420E0
3.584140417E-1,-4.076176769E0,-9.277133882E0,-4.769755071E0,1.119959792E1
3.684130417E-1,-4.562899585E0,-9.171979895E0,-5.675604551E0,1.171143692E1
3.784120417E-1,-4.293425097E0,-7.560528191E0,-6.813662751E0,1.104631548E1
3.884120417E-1,-2.328500729E0,-6.085654582E0,-5.655280214E0,8.627821372E0
3.984110417E-1,-1.865538074E0,-6.948418853E0,-6.689036951E0,9.823643529E0
4.084100417E-1,-3.213009625E0,-9.759094141E0,-7.407651569E0,1.266635903E1
4.184090417E-1,-4.429272289E0,-1.141243997E1,-6.223395102E0,1.373291250E1
4.284090417E-1,-3.783805754E0,-8.039800485E0,-2.922393360E0,9.353927558E0
4.384080417E-1,-1.878491703E0,-5.381559185E0,-1.453428361E0,5.882377440E0
4.484070417E-1,-1.454262174E0,-6.780430101E0,5.839889091E-1,6.959177672E0
4.584060417E-1,-4.721731889E-1,-8.584073936E0,1.024026970E0,8.657823288E0
4.684060417E-1,1.511039223E0,-1.019410477E1,2.864001310E-1,1.030946345E1
4.784050417E-1,5.983141782E0,-7.372249601E0,1.835272009E0,9.670381229E0
4.884040417E-1,1.006806569E1,-3.863258013E0,3.447835853E0,1.132158475E1
4.984040417E-1,1.102065197E1,-3.240538024E0,5.186001981E0,1.260358969E1
5.084030417E-1,9.019901417E0,-3.656265702E0,8.282704933E0,1.278006657E1
5.184020418E-1,5.791627343E0,-3.915983233E0,1.173507530E1,1.365979005E1
5.284020418E-1,5.932410169E0,-4.314845787E0,1.649259566E1,1.805040432E1
5.384010418E-1,7.772013211E0,-3.936971814E0,1.609864769E1,1.830492813E1
5.484000418E-1,9.023462956E0,-3.154579861E0,1.208649998E1,1.540966384E1
5.583990418E-1,1.110830641E1,-1.758949472E0,8.632094194E0,1.417749712E1
5.683990418E-1,1.512427001E1,1.089081922E0,5.336668357E0,1.607512588E1
5.783980417E-1,2.399825943E1,7.817125064E0,1.263822454E0,2.527095461E1
5.883970417E-1,3.128666171E1,1.059710539E1,-3.507310807E0,3.321829425E1
5.983960417E-1,2.821355695E1,8.694961703E0,-1.560724184E0,2.956421849E1
6.083960417E-1,1.454134822E1,4.155265331E-1,1.511515186E0,1.462559908E1
6.183950417E-1,2.643286753E0,-7.305574971E0,1.804256623E0,7.975821743E0
6.283940417E-1,-4.835574547E0,-9.835428371E0,2.062087258E0,1.115215837E1
6.383940417E-1,-5.505307903E0,-7.645730894E0,3.234270394E0,9.961230898E0
6.483930417E-1,-1.938281091E0,-2.110562430E0,6.378913497E0,6.992992547E0
6.583920417E-1,-5.846489136E-1,8.448671132E-1,8.959959270E0,9.018674233E0
6.683920417E-1,-2.734091381E0,-8.969804227E-2,9.527005287E0,9.911969086E0
6.783910417E-1,-5.731593980E0,-2.780592533E0,6.126458791E0,8.838346096E0
6.883900417E-1,-6.361267185E0,-1.786803269E0,3.139812718E0,7.315518438E0
6.983890417E-1,-3.803208570E0,9.780824733E-1,2.145852131E-1,3.932821832E0
7.083890417E-1,-8.555223481E-1,4.074518207E0,-2.508133333E0,4.860488651E0
7.183880417E-1,1.671564150E0,6.036062007E0,-5.989981270E0,8.666489882E0
7.283870417E-1,4.380590125E0,6.751249571E0,-9.496985098E0,1.244835999E1
7.383870417E-1,3.212347721E0,5.100210464E0,-1.405536859E1,1.529328973E1
7.483860417E-1,7.858967739E-1,1.053774680E0,-4.269236920E0,4.467041380E0
7.583850417E-1,3.553413763E0,-2.716699423E0,-3.321941791E0,5.571579883E0
