"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.512000035E-3,-2.054617440E0,-4.736595511E-2,-1.713072803E0,2.675502717E0
1.251100004E-2,-1.581585295E0,-8.107237592E-2,-1.978807704E0,2.534494961E0
2.251000004E-2,-1.817459051E0,-4.514065102E-2,-1.388562859E0,2.287641120E0
3.251000005E-2,-2.287828959E0,5.213346778E-1,-4.327185166E-1,2.386042017E0
4.250900005E-2,-1.888189895E0,1.440029613E0,-7.669553035E-1,2.495429182E0
5.250900006E-2,-9.509484690E-1,1.336674814E0,-3.057057660E0,3.469380937E0
6.250800006E-2,-8.226798534E-2,4.318977137E-1,-5.258360106E0,5.276708696E0
7.250800007E-2,-8.626514196E-2,9.439832658E-2,-6.024161754E0,6.025518862E0
8.250700007E-2,-2.089760376E0,-6.567125574E-1,-5.403495015E0,5.830619880E0
9.250600007E-2,-3.454487645E0,-1.764631943E0,-4.394933345E0,5.861983444E0
1.025060001E-1,-2.386018327E0,-2.584737121E0,-7.707688576E-1,3.601115671E0
1.125050001E-1,3.177903235E-2,-3.139953636E0,-1.516674185E-1,3.143775079E0
1.225050001E-1,2.487492077E0,-2.569198438E0,-1.647239587E0,3.937231985E0
1.325040000E-1,3.558135097E0,-1.816003679E0,-1.768929500E0,4.368902186E0
1.425040000E-1,3.478536366E0,-1.128565831E0,-2.041873434E0,4.188451170E0
1.525030000E-1,2.306962218E0,-4.328950294E-1,3.698208364E0,4.380207516E0
1.625020000E-1,1.541556134E0,7.469975140E-1,1.153767681E1,1.166414964E1
1.725020000E-1,1.679693095E0,4.786463490E-1,1.337083388E1,1.348442323E1
1.825010000E-1,3.273852535E0,-1.499757167E0,9.073822101E0,9.762255349E0
1.925010000E-1,3.121012166E0,-2.487837648E0,2.546025630E0,4.734163031E0
2.025000000E-1,3.256856726E0,-2.544419107E0,-2.386297240E0,4.772378741E0
2.125000000E-1,-1.460039516E0,-3.669440940E0,-8.272967564E0,9.167251743E0
