"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.035166607E-3,1.663173249E-1,8.566007209E-1,-3.384209960E0,3.494896751E0
1.703816664E-2,-1.071575359E-1,1.570289059E0,-3.315698719E0,3.670306317E0
2.704116667E-2,-9.471875399E-2,1.837751228E0,-2.429579499E0,3.047811963E0
3.704416659E-2,-3.750883591E-1,1.710522832E0,-1.065891865E0,2.050050025E0
4.704616661E-2,-6.241657126E-1,1.642815583E0,4.343721092E-1,1.810277605E0
5.704916664E-2,-5.090720433E-1,1.559013873E0,1.381119938E0,2.144101417E0
6.705216668E-2,-4.793477225E-1,1.384494951E0,2.212846604E0,2.653919856E0
7.705416658E-2,-5.244209844E-1,1.152631216E0,2.554299440E0,2.850968558E0
8.705716662E-2,-6.993337163E-1,1.054631882E0,2.391697143E0,2.705832825E0
9.706016665E-2,-9.620535010E-1,1.145264309E0,1.778875614E0,2.324129025E0
1.070621667E-1,-1.036064048E0,1.510935727E0,7.764219457E-1,1.989770470E0
1.170651666E-1,-8.006124616E-1,2.182381441E0,-3.106684148E-1,2.345268414E0
1.270681666E-1,-5.947340450E-1,2.755250115E0,-6.346316439E-1,2.889267919E0
1.370711667E-1,-5.860377735E-1,3.071067588E0,3.813472188E-1,3.149654283E0
1.470731667E-1,-5.689367142E-1,2.919442270E0,2.158331843E0,3.674946053E0
1.570761666E-1,-7.266966391E-1,2.517204704E0,4.205051449E0,4.954479308E0
1.670791666E-1,-6.844089907E-1,1.854688858E0,5.124992718E0,5.493071708E0
1.770812083E-1,-5.441456893E-1,9.405199599E-1,4.034081787E0,4.177856890E0
1.870842082E-1,-9.192419422E-1,5.715618217E-1,1.596813199E0,1.929119244E0
1.970872083E-1,-1.505261005E0,8.460266161E-1,-2.447966069E-1,1.743988849E0
2.070892083E-1,-2.097074950E0,1.427942687E0,-1.055894880E0,2.748027959E0
2.170922083E-1,-2.432606311E0,1.797932859E0,-8.911554265E-1,3.153457471E0
2.270952082E-1,-2.252740402E0,1.308743688E0,2.688959062E-1,2.619151460E0
2.370972083E-1,-2.055081709E0,5.025032812E-1,1.602600773E0,2.654091109E0
2.471002083E-1,-1.709599849E0,-2.852271795E-1,2.084920051E0,2.711268671E0
2.571032083E-1,-1.122841991E0,-1.136556051E0,2.005848738E0,2.564364045E0
2.671062083E-1,-4.789328626E-1,-2.007736219E0,1.760540500E0,2.712910663E0
2.771082083E-1,-1.372899923E-1,-2.413046497E0,1.098256204E0,2.654770918E0
2.871112083E-1,-6.206848651E-2,-2.158303776E0,2.626978576E-2,2.159355874E0
2.971142083E-1,1.464768451E-1,-1.436572008E0,-9.673808992E-1,1.738108283E0
3.071162082E-1,3.886562383E-1,-3.655611983E-1,-1.496084384E0,1.588381927E0
3.171192083E-1,5.090840301E-1,1.117709890E-1,-2.081577197E0,2.145838515E0
3.271222083E-1,5.924410594E-1,5.995588750E-2,-2.225260243E0,2.303554702E0
3.371242083E-1,4.809264708E-1,-8.796024978E-2,-2.261631094E0,2.313871751E0
3.471272083E-1,3.826645964E-1,-3.664745334E-1,-2.498149797E0,2.553720460E0
3.571302083E-1,4.965329817E-1,-8.866776288E-1,-2.190780966E0,2.415007963E0
3.671332083E-1,6.793491027E-1,-1.695604246E0,-9.724141824E-1,2.069342481E0
3.771352083E-1,9.232896772E-1,-2.394137479E0,4.825958508E-1,2.610987716E0
3.871382083E-1,8.788493764E-1,-2.922601228E0,1.322655968E0,3.326167911E0
3.971412083E-1,6.579886392E-1,-3.073222287E0,1.271134982E0,3.390195926E0
4.071432083E-1,4.539705142E-1,-2.555279725E0,9.492346501E-1,2.763438099E0
4.171462082E-1,5.040212184E-1,-1.903708113E0,6.685940266E-2,1.970434508E0
4.271492083E-1,4.679526687E-1,-1.264663868E0,-1.474133352E0,1.997854734E0
4.371512083E-1,4.178584027E-1,-6.102244887E-1,-2.991607436E0,3.081670752E0
4.471542083E-1,4.906381112E-1,-2.168907702E-2,-3.924985607E0,3.955592014E0
4.571572082E-1,5.662566429E-1,4.967382190E-1,-4.099415651E0,4.168045600E0
4.671602083E-1,6.056304775E-1,9.807277536E-1,-3.576952314E0,3.758085026E0
4.771622083E-1,7.759893979E-1,1.324398146E0,-2.714340656E0,3.118306462E0
4.871652083E-1,1.096695728E0,1.310304602E0,-1.528692552E0,2.292714676E0
4.971682082E-1,1.315638432E0,1.029511659E0,-2.746571678E-1,1.692995954E0
5.071702083E-1,1.333418061E0,7.576439050E-1,4.833980888E-1,1.608011730E0
5.171732083E-1,1.344199596E0,5.517511627E-1,7.109506720E-1,1.617638018E0
5.271762083E-1,1.397036937E0,4.958617213E-1,6.911151624E-1,1.635613407E0
5.371782082E-1,1.305722139E0,6.124993479E-1,4.073012549E-1,1.498652751E0
5.471812083E-1,9.771030647E-1,8.799907529E-1,-1.188200998E-1,1.320315243E0
5.571842083E-1,5.142903909E-1,1.237348600E0,-7.276795560E-1,1.524809398E0
5.671862083E-1,-1.810039227E-1,1.167069746E0,-1.513515519E0,1.919776924E0
5.771892082E-1,-9.820908858E-1,9.024639416E-1,-1.967266470E0,2.376779552E0
5.871922083E-1,-1.593828488E0,7.271398580E-1,-1.656850655E0,2.411260192E0
5.971952083E-1,-1.707974177E0,9.121136016E-1,-3.180955482E-1,1.962221137E0
6.071972083E-1,-1.272715338E0,1.303523294E0,1.465092387E0,2.337835112E0
6.172002082E-1,-7.249697370E-1,1.523345858E0,3.083979410E0,3.515265669E0
6.272032083E-1,-3.362507873E-1,1.462561128E0,4.518154060E0,4.760868172E0
6.372052083E-1,6.322345778E-2,1.007742475E0,5.197430949E0,5.294603911E0
6.472082083E-1,5.109817805E-1,2.421916723E-1,4.830273753E0,4.863260606E0
6.572112083E-1,8.103670791E-1,-4.992335182E-1,4.044475213E0,4.154961932E0
6.672132083E-1,9.610983583E-1,-1.033804100E0,3.176135622E0,3.475672375E0
6.772162083E-1,1.232347330E0,-9.549614131E-1,2.566095028E0,3.002578048E0
6.872192083E-1,1.714540162E0,-2.085731059E-1,2.213738304E0,2.807808396E0
6.972222083E-1,1.914372411E0,3.064034557E-1,2.087602168E0,2.848997652E0
7.072242083E-1,1.813513642E0,4.959216553E-1,1.977368120E0,2.728507779E0
7.172272083E-1,1.335621438E0,3.311693376E-1,1.816195468E0,2.278623210E0
7.272302083E-1,6.505352665E-1,-1.357635766E-1,1.341428454E0,1.497016426E0
