"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.462199993E-2,-4.686101881E-1,9.901727611E-1,-9.399410856E-1,1.443442707E0
2.462199994E-2,-1.870252392E-1,9.278718477E-1,-8.672683811E-1,1.283775312E0
3.462299996E-2,-1.076764762E-1,8.442326903E-1,-7.579108304E-1,1.139627959E0
4.462399997E-2,-1.618091217E-1,7.830304688E-1,-6.546899325E-1,1.033410768E0
5.462499999E-2,-2.340912321E-1,6.626357138E-1,-6.728098691E-1,9.729120793E-1
6.462600001E-2,-2.354778993E-1,3.901911324E-1,-4.604185313E-1,6.478303673E-1
7.462600002E-2,-8.486765742E-2,6.884979486E-2,8.629671693E-2,1.392477536E-1
8.462699992E-2,3.106157899E-2,-7.376613379E-2,2.736409217E-1,2.851063279E-1
9.462799993E-2,8.421540052E-2,8.582543135E-3,1.837569380E-1,2.023178341E-1
1.046290000E-1,1.629990301E-1,4.469319284E-2,-1.541922462E-1,2.287824602E-1
1.146300000E-1,2.525812975E-1,6.562680960E-2,-5.358534604E-1,5.960227521E-1
1.246300000E-1,3.076483279E-1,2.968216234E-1,-6.893914032E-1,8.111788191E-1
1.346310000E-1,4.580694124E-1,6.512646335E-1,-7.301540977E-1,1.080323200E0
1.446320000E-1,6.819432199E-1,9.637784296E-1,-8.145732737E-1,1.434379669E0
1.546329999E-1,8.698654220E-1,1.301264514E0,-8.598821783E-1,1.785875849E0
1.646339999E-1,1.014940397E0,1.458352302E0,-6.857415712E-1,1.904504384E0
1.746339999E-1,1.172681319E0,1.094773017E0,-5.138422018E-1,1.684560252E0
1.846350000E-1,1.262575243E0,6.855942214E-1,-3.124594170E-1,1.470294721E0
1.946360000E-1,1.208023644E0,5.100923824E-1,2.447878361E-2,1.311531385E0
2.046370000E-1,1.140417844E0,3.538588732E-1,4.626387191E-1,1.280548143E0
2.146370000E-1,1.296261637E0,3.053299069E-2,7.570045120E-1,1.501426763E0
2.246380000E-1,1.622967502E0,-2.440206814E-1,7.487055588E-1,1.803920625E0
2.346389999E-1,1.875385662E0,-3.735435247E-1,4.923039830E-1,1.974580806E0
2.446399999E-1,2.176956102E0,-4.658973724E-1,1.643126070E-2,2.226312695E0
2.546409999E-1,2.652080673E0,-3.474602652E-1,-6.944200087E-1,2.763418115E0
2.646406667E-1,2.861334102E0,-2.107628882E-2,-1.586573555E0,3.271833232E0
2.746416667E-1,2.487824199E0,1.618450820E-1,-2.221025105E0,3.338924317E0
2.846426666E-1,2.159362707E0,7.344278276E-2,-3.224721891E0,3.881632700E0
2.946436666E-1,2.090005666E0,-6.207404137E-2,-3.813417224E0,4.349037571E0
3.046446666E-1,2.001096998E0,9.105401158E-2,-3.440689970E0,3.981334889E0
3.146446666E-1,1.868966297E0,6.096137470E-1,-3.068004232E0,3.643804867E0
3.246456666E-1,1.722782397E0,1.254721262E0,-3.142625813E0,3.797157047E0
3.346466667E-1,1.724936073E0,1.795387566E0,-3.096150974E0,3.973030559E0
3.446476667E-1,1.621967044E0,2.158691447E0,-2.658169379E0,3.789009145E0
3.546486666E-1,1.310115152E0,2.128647868E0,-2.374112227E0,3.447310883E0
3.646486666E-1,9.643520415E-1,1.837102187E0,-1.851262974E0,2.780664292E0
3.746496666E-1,5.816459298E-1,1.362363825E0,-1.429758832E0,2.058775728E0
3.846506666E-1,1.632567461E-1,9.481347889E-1,-1.234011594E0,1.564735427E0
3.946516666E-1,-7.420452878E-2,6.771192670E-1,-1.264047571E0,1.435901486E0
4.046526666E-1,4.515738867E-2,5.464644027E-1,-1.055807172E0,1.189702197E0
4.146526667E-1,4.581272268E-1,5.955260503E-1,6.118175626E-2,7.538401951E-1
4.246536667E-1,7.481681266E-1,6.858251864E-1,9.214358175E-1,1.370823000E0
4.346546666E-1,8.116899385E-1,6.398268950E-1,4.171479660E-1,1.114554367E0
4.446556666E-1,8.611233960E-1,5.022758245E-1,-9.520933539E-1,1.378512336E0
4.546556666E-1,8.388222617E-1,5.008339012E-1,-2.030664321E0,2.253454009E0
4.646566666E-1,6.465579904E-1,5.611929542E-1,-2.439736698E0,2.585592760E0
4.746576666E-1,4.571320307E-1,8.300988007E-1,-2.821020766E0,2.975935463E0
4.846586667E-1,2.851568302E-1,1.098282516E0,-3.080310867E0,3.282659583E0
4.946596667E-1,1.929491264E-1,1.192514489E0,-3.147291307E0,3.371166377E0
5.046596667E-1,2.987477876E-1,1.260280795E0,-2.941662859E0,3.214177702E0
5.146606666E-1,5.685718480E-1,1.384513662E0,-2.445942348E0,2.867540060E0
5.246616666E-1,7.806705326E-1,1.584743376E0,-1.724475458E0,2.468739285E0
5.346626666E-1,1.024991468E0,1.913425601E0,-9.074767596E-1,2.352725889E0
5.446636666E-1,1.350306720E0,2.322142174E0,-4.479709786E-1,2.723297728E0
5.546636666E-1,1.663114777E0,2.768649302E0,-2.363812941E-1,3.238401741E0
5.646646667E-1,1.712503577E0,2.846638880E0,-1.937065601E-1,3.327693442E0
5.746656667E-1,1.681906413E0,2.904638582E0,-3.902104282E-1,3.379052922E0
5.846666666E-1,1.507765075E0,2.966955867E0,4.873893982E-1,3.363589015E0
5.946676666E-1,9.347641801E-1,3.198893570E0,1.882087741E0,3.827395774E0
6.046676666E-1,1.316735406E-1,3.485798023E0,2.526631000E0,4.307202107E0
6.146686666E-1,-5.922643273E-1,3.533006688E0,2.789135315E0,4.540064878E0
6.246696666E-1,-9.580205302E-1,3.444785360E0,3.373308411E0,4.915644327E0
6.346706667E-1,-7.965596102E-1,3.707203136E0,3.595982078E0,5.225796533E0
6.446716667E-1,-5.676679781E-1,4.008316031E0,3.381141926E0,5.274558281E0
6.546716667E-1,-2.246568593E-1,4.487211471E0,3.532433369E0,5.715209795E0
6.646726666E-1,4.519379490E-1,5.017892193E0,3.571529022E0,6.175703160E0
6.746736666E-1,8.622702543E-1,5.536402227E0,3.172927254E0,6.439155765E0
6.846746666E-1,9.996148449E-1,6.133288339E0,2.151364301E0,6.576079687E0
